country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Luxembourg,1850,LUX,192785,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,,,,,,0.33,3.122,0.482,2.499,0.234,1.216,0.043,0.225,,,,,,,,,,,,,,,,0.018,,,,,0.018,,,,,,,,0.602,0.064,,
Luxembourg,1851,LUX,193905,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958,,,,,,,,,0.328,3.07,0.476,2.453,0.237,1.22,0.044,0.227,,,,,,,,,,,,,,,,0.018,,,,,0.017,,,0.015,0,0,0,0,0.595,0.064,,
Luxembourg,1852,LUX,194957,,,,,,,,,,,,,,,,,,,,,,,,,,,1.437,,,,,,,,,0.327,3.068,0.479,2.457,0.239,1.224,0.045,0.228,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.015,0,0,0,0,0.598,0.064,,
Luxembourg,1853,LUX,195940,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,,,,,,,,,0.326,3.105,0.489,2.498,0.241,1.228,0.045,0.23,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.015,0,0,0,0,0.608,0.064,,
Luxembourg,1854,LUX,196929,,,,,,,,,,,,,,,,,,,,,,,,,,,2.422,,,,,,,,,0.325,3.12,0.496,2.516,0.243,1.233,0.046,0.232,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.015,0,0,0,0,0.614,0.064,,
Luxembourg,1855,LUX,197922,,,,,,,,,,,,,,,,,,,,,,,,,,,2.912,,,,,,,,,0.324,3.079,0.491,2.479,0.245,1.237,0.046,0.233,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.015,0,0,0,0,0.609,0.064,,
Luxembourg,1856,LUX,198920,,,,,,,,,,,,,,,,,,,,,,,,,,,3.406,,,,,,,,,0.324,3.082,0.494,2.483,0.247,1.243,0.047,0.235,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.015,0,0,0,0,0.613,0.064,,
Luxembourg,1857,LUX,199924,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,0.324,3.069,0.494,2.469,0.25,1.248,0.047,0.236,,,,,,,,,,,,,,,,0.017,,,,,0.017,,,0.014,0,0,0,0,0.614,0.065,,
Luxembourg,1858,LUX,200932,,,,,,,,,,,,,,,,,,,,,,,,,,,4.387,,,,,,,,,0.324,3.026,0.488,2.426,0.252,1.254,0.048,0.237,,,,,,,,,,,,,,,,0.017,,,,,0.016,,,0.014,0,0,0,0,0.608,0.065,,
Luxembourg,1859,LUX,201639,,,,,,,,,,,,,,,,,,,,,,,,,,,4.863,,,,,,,,,0.324,2.959,0.475,2.357,0.254,1.261,0.048,0.238,,,,,,,,,,,,,,,,0.017,,,,,0.016,,,0.014,0,0,0,0,0.597,0.065,,
Luxembourg,1860,LUX,202043,,,,,,,,,,,,,,,,,,,,,,,,,,,5.289,,,,,,,,,0.325,2.863,0.427,2.111,0.257,1.27,0.048,0.239,,,,,,,,,,,,,,,,0.017,,,,,0.015,,,0.014,0,0,0,0,0.579,0.066,,
Luxembourg,1861,LUX,202145,,,,,,,,,,,,,,,,,,,,,,,,,,,5.677,,,,,,,,,0.326,2.768,0.388,1.92,0.257,1.27,0.049,0.241,,,,,,,,,,,,,,,,0.016,,,,,0.014,,,0.014,0,0,0,0,0.56,0.066,,
Luxembourg,1862,LUX,201942,,,,,,,,,,,,,,,,,,,,,,,,,,,6.035,,,,,,,,,0.327,2.685,0.357,1.769,0.257,1.271,0.049,0.242,,,,,,,,,,,,,,,,0.016,,,,,0.013,,,0.014,0,0,0,0,0.542,0.066,,
Luxembourg,1863,LUX,201435,,,,,,,,,,,,,,,,,,,,,,,,,,,6.357,,,,,,,,,0.329,2.579,0.322,1.599,0.257,1.275,0.049,0.244,,,,,,,,,,,,,,,,0.016,,,,,0.012,,,0.014,0,0,0,0,0.519,0.066,,
Luxembourg,1864,LUX,200930,,,,,,,,,,,,,,,,,,,,,,,,,,,6.661,,,,,,,,,0.331,2.555,0.304,1.515,0.257,1.279,0.05,0.247,,,,,,,,,,,,,,,,0.016,,,,,0.012,,,0.014,0,0,0,0,0.513,0.066,,
Luxembourg,1865,LUX,200425,,,,,,,,,,,,,,,,,,,,,,,,,,,6.931,,,,,,,,,0.332,2.446,0.27,1.349,0.257,1.282,0.05,0.249,,,,,,,,,,,,,,,,0.015,,,,,0.011,,,0.013,0,0,0,0,0.49,0.066,,
Luxembourg,1866,LUX,199922,,,,,,,,,,,,,,,,,,,,,,,,,,,7.173,,,,,,,,,0.332,2.361,0.242,1.209,0.257,1.285,0.05,0.251,,,,,,,,,,,,,,,,0.015,,,,,0.009,,,0.013,0,0,0,0,0.472,0.066,,
