country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Madagascar,1850,MDG,2612685,,,,,,,,,,,,,,,,,,,,,,,,,,,11.155,,,,,,,,,0.112,5.418,11.155,4.269,3.716,1.422,0.341,0.13,,,,,,,,,,,,,,,,0.423,,,,,0.423,,,,,,,,14.154,0.294,,
Madagascar,1851,MDG,2630135,,,,,,,,,,,,,,,,,,,,,,,,,,,21.003,,,,,,,,,0.112,5.232,9.849,3.745,3.732,1.419,0.347,0.132,,,,,,,,,,,,,,,,0.385,,,,,0.349,,,0.296,0,0,0,0,13.761,0.295,,
Madagascar,1852,MDG,2641482,,,,,,,,,,,,,,,,,,,,,,,,,,,30.694,,,,,,,,,0.112,5.218,9.691,3.669,3.747,1.419,0.354,0.134,,,,,,,,,,,,,,,,0.369,,,,,0.339,,,0.295,0,0,0,0,13.783,0.297,,
Madagascar,1853,MDG,2646637,,,,,,,,,,,,,,,,,,,,,,,,,,,41.938,,,,,,,,,0.113,5.488,11.244,4.248,3.763,1.422,0.361,0.136,,,,,,,,,,,,,,,,0.374,,,,,0.387,,,0.299,0,0,0,0,14.525,0.299,,
Madagascar,1854,MDG,2651799,,,,,,,,,,,,,,,,,,,,,,,,,,,52.155,,,,,,,,,0.113,5.335,10.217,3.853,3.779,1.425,0.367,0.138,,,,,,,,,,,,,,,,0.369,,,,,0.351,,,0.297,0,0,0,0,14.147,0.3,,
Madagascar,1855,MDG,2656969,,,,,,,,,,,,,,,,,,,,,,,,,,,62.075,,,,,,,,,0.114,5.192,9.919,3.733,3.795,1.428,0.372,0.14,,,,,,,,,,,,,,,,0.365,,,,,0.345,,,0.295,0,0,0,0,13.795,0.302,,
Madagascar,1856,MDG,2662145,,,,,,,,,,,,,,,,,,,,,,,,,,,71.132,,,,,,,,,0.114,5.04,9.057,3.402,3.81,1.431,0.377,0.142,,,,,,,,,,,,,,,,0.356,,,,,0.305,,,0.291,0,0,0,0,13.418,0.304,,
Madagascar,1857,MDG,2667329,,,,,,,,,,,,,,,,,,,,,,,,,,,83.044,,,,,,,,,0.115,5.722,11.913,4.466,3.826,1.434,0.382,0.143,,,,,,,,,,,,,,,,0.362,,,,,0.404,,,0.294,0,0,0,0,15.263,0.306,,
Madagascar,1858,MDG,2672520,,,,,,,,,,,,,,,,,,,,,,,,,,,92.496,,,,,,,,,0.115,5.145,9.451,3.536,3.842,1.438,0.385,0.144,,,,,,,,,,,,,,,,0.357,,,,,0.318,,,0.292,0,0,0,0,13.751,0.307,,
Madagascar,1859,MDG,2677718,,,,,,,,,,,,,,,,,,,,,,,,,,,103.767,,,,,,,,,0.115,5.562,11.272,4.209,3.858,1.441,0.388,0.145,,,,,,,,,,,,,,,,0.358,,,,,0.371,,,0.293,0,0,0,0,14.892,0.309,,
