country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Malawi,1850,MWI,2126398,,,,,,,,,,,,,,,,,,,,,,,,,,,1.481,,,,,,,,,0.087,0.572,1.481,0.697,0.339,0.159,0.034,0.016,,,,,,,,,,,,,,,,0.056,,,,,0.056,,,,,,,,1.216,0.184,,
Malawi,1851,MWI,2144568,,,,,,,,,,,,,,,,,,,,,,,,,,,2.825,,,,,,,,,0.086,0.546,1.344,0.627,0.339,0.158,0.034,0.016,,,,,,,,,,,,,,,,0.052,,,,,0.048,,,0.023,0,0,0,0,1.172,0.184,,
Malawi,1852,MWI,2153584,,,,,,,,,,,,,,,,,,,,,,,,,,,3.961,,,,,,,,,0.086,0.521,1.136,0.528,0.339,0.158,0.035,0.016,,,,,,,,,,,,,,,,0.048,,,,,0.04,,,0.022,0,0,0,0,1.122,0.185,,
Malawi,1853,MWI,2153242,,,,,,,,,,,,,,,,,,,,,,,,,,,5.055,,,,,,,,,0.086,0.522,1.094,0.508,0.34,0.158,0.036,0.017,,,,,,,,,,,,,,,,0.045,,,,,0.038,,,0.022,0,0,0,0,1.124,0.185,,
Malawi,1854,MWI,2152900,,,,,,,,,,,,,,,,,,,,,,,,,,,6.212,,,,,,,,,0.086,0.52,1.157,0.537,0.34,0.158,0.036,0.017,,,,,,,,,,,,,,,,0.044,,,,,0.04,,,0.022,0,0,0,0,1.118,0.185,,
Malawi,1855,MWI,2152558,,,,,,,,,,,,,,,,,,,,,,,,,,,7.257,,,,,,,,,0.086,0.508,1.046,0.486,0.34,0.158,0.037,0.017,,,,,,,,,,,,,,,,0.043,,,,,0.036,,,0.021,0,0,0,0,1.093,0.186,,
Malawi,1856,MWI,2152216,,,,,,,,,,,,,,,,,,,,,,,,,,,8.322,,,,,,,,,0.086,0.524,1.064,0.494,0.341,0.158,0.037,0.017,,,,,,,,,,,,,,,,0.042,,,,,0.036,,,0.021,0,0,0,0,1.129,0.186,,
Malawi,1857,MWI,2151874,,,,,,,,,,,,,,,,,,,,,,,,,,,9.367,,,,,,,,,0.087,0.507,1.046,0.486,0.341,0.158,0.038,0.018,,,,,,,,,,,,,,,,0.041,,,,,0.035,,,0.021,0,0,0,0,1.091,0.186,,
Malawi,1858,MWI,2151531,,,,,,,,,,,,,,,,,,,,,,,,,,,10.379,,,,,,,,,0.087,0.502,1.012,0.47,0.341,0.159,0.038,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.034,,,0.021,0,0,0,0,1.081,0.186,,
Malawi,1859,MWI,2150968,,,,,,,,,,,,,,,,,,,,,,,,,,,11.377,,,,,,,,,0.087,0.502,0.998,0.464,0.342,0.159,0.038,0.018,,,,,,,,,,,,,,,,0.039,,,,,0.033,,,0.021,0,0,0,0,1.08,0.187,,
Malawi,1860,MWI,2150183,,,,,,,,,,,,,,,,,,,,,,,,,,,12.376,,,,,,,,,0.087,0.496,0.998,0.464,0.342,0.159,0.038,0.018,,,,,,,,,,,,,,,,0.039,,,,,0.036,,,0.02,0,0,0,0,1.067,0.187,,
Malawi,1861,MWI,2149178,,,,,,,,,,,,,,,,,,,,,,,,,,,13.412,,,,,,,,,0.088,0.504,1.036,0.482,0.344,0.16,0.039,0.018,,,,,,,,,,,,,,,,0.039,,,,,0.037,,,0.02,0,0,0,0,1.083,0.188,,
Malawi,1862,MWI,2147952,,,,,,,,,,,,,,,,,,,,,,,,,,,14.762,,,,,,,,,0.088,0.59,1.35,0.628,0.345,0.161,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.049,,,0.021,0,0,0,0,1.267,0.189,,
Malawi,1863,MWI,2146506,,,,,,,,,,,,,,,,,,,,,,,,,,,15.882,,,,,,,,,0.09,0.526,1.121,0.522,0.349,0.163,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.041,,,0.021,0,0,0,0,1.13,0.193,,
Malawi,1864,MWI,2145060,,,,,,,,,,,,,,,,,,,,,,,,,,,17.003,,,,,,,,,0.09,0.521,1.121,0.523,0.35,0.163,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.043,,,0.021,0,0,0,0,1.117,0.194,,
Malawi,1865,MWI,2143615,,,,,,,,,,,,,,,,,,,,,,,,,,,18.064,,,,,,,,,0.091,0.516,1.061,0.495,0.351,0.164,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.041,,,0.021,0,0,0,0,1.107,0.195,,
Malawi,1866,MWI,2142170,,,,,,,,,,,,,,,,,,,,,,,,,,,19.145,,,,,,,,,0.091,0.519,1.081,0.505,0.353,0.165,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.041,,,0.021,0,0,0,0,1.112,0.196,,
Malawi,1867,MWI,2140726,,,,,,,,,,,,,,,,,,,,,,,,,,,20.193,,,,,,,,,0.092,0.509,1.048,0.489,0.354,0.165,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.041,,,0.021,0,0,0,0,1.09,0.197,,
Malawi,1868,MWI,2139284,,,,,,,,,,,,,,,,,,,,,,,,,,,21.281,,,,,,,,,0.093,0.518,1.088,0.509,0.355,0.166,0.039,0.018,,,,,,,,,,,,,,,,0.04,,,,,0.043,,,0.021,0,0,0,0,1.108,0.198,,
