country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Mali,1850,MLI,1502290,,,,,,,,,,,,,,,,,,,,,,,,,,,1.427,,,,,,,,,0.216,2.427,1.427,0.95,2.961,1.971,0.274,0.182,,,,,,,,,,,,,,,,0.054,,,,,0.054,,,,,,,,3.646,0.324,,
Mali,1851,MLI,1514635,,,,,,,,,,,,,,,,,,,,,,,,,,,3.245,,,,,,,,,0.215,2.469,1.818,1.2,2.964,1.957,0.279,0.184,,,,,,,,,,,,,,,,0.059,,,,,0.064,,,0.044,0,0,0,0,3.74,0.325,,
Mali,1852,MLI,1526940,,,,,,,,,,,,,,,,,,,,,,,,,,,5.275,,,,,,,,,0.214,2.477,2.03,1.33,2.968,1.943,0.285,0.186,,,,,,,,,,,,,,,,0.063,,,,,0.071,,,0.044,0,0,0,0,3.783,0.326,,
Mali,1853,MLI,1539205,,,,,,,,,,,,,,,,,,,,,,,,,,,7.439,,,,,,,,,0.213,2.472,2.164,1.406,2.971,1.93,0.29,0.188,,,,,,,,,,,,,,,,0.066,,,,,0.074,,,0.044,0,0,0,0,3.805,0.327,,
Mali,1854,MLI,1551513,,,,,,,,,,,,,,,,,,,,,,,,,,,9.692,,,,,,,,,0.211,2.46,2.253,1.452,2.974,1.917,0.295,0.19,,,,,,,,,,,,,,,,0.069,,,,,0.077,,,0.044,0,0,0,0,3.817,0.328,,
Mali,1855,MLI,1563864,,,,,,,,,,,,,,,,,,,,,,,,,,,12.01,,,,,,,,,0.21,2.446,2.318,1.482,2.977,1.903,0.299,0.191,,,,,,,,,,,,,,,,0.071,,,,,0.081,,,0.044,0,0,0,0,3.825,0.329,,
Mali,1856,MLI,1576258,,,,,,,,,,,,,,,,,,,,,,,,,,,14.374,,,,,,,,,0.209,2.429,2.364,1.5,2.98,1.89,0.303,0.192,,,,,,,,,,,,,,,,0.072,,,,,0.08,,,0.044,0,0,0,0,3.828,0.33,,
Mali,1857,MLI,1588695,,,,,,,,,,,,,,,,,,,,,,,,,,,16.774,,,,,,,,,0.208,2.411,2.4,1.51,2.983,1.878,0.307,0.193,,,,,,,,,,,,,,,,0.073,,,,,0.081,,,0.044,0,0,0,0,3.83,0.331,,
Mali,1858,MLI,1601176,,,,,,,,,,,,,,,,,,,,,,,,,,,19.201,,,,,,,,,0.207,2.392,2.428,1.516,2.986,1.865,0.31,0.193,,,,,,,,,,,,,,,,0.074,,,,,0.082,,,0.044,0,0,0,0,3.831,0.332,,
Mali,1859,MLI,1613701,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65,,,,,,,,,0.206,2.373,2.449,1.518,2.989,1.852,0.312,0.193,,,,,,,,,,,,,,,,0.075,,,,,0.081,,,0.044,0,0,0,0,3.83,0.333,,
