country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Malta,1850,MLT,160270,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,0.085,0.309,0.033,0.204,0.029,0.181,0.003,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.05,0.014,,
Malta,1851,MLT,161084,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,0.085,0.295,0.03,0.187,0.029,0.181,0.003,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.048,0.014,,
Malta,1852,MLT,161901,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,0.085,0.281,0.028,0.172,0.029,0.181,0.003,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.046,0.014,,
Malta,1853,MLT,162723,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116,,,,,,,,,0.085,0.272,0.026,0.158,0.029,0.181,0.003,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.044,0.014,,
Malta,1854,MLT,163548,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,0.085,0.265,0.024,0.146,0.03,0.18,0.003,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.043,0.014,,
Malta,1855,MLT,164378,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163,,,,,,,,,0.085,0.258,0.022,0.136,0.03,0.18,0.003,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.042,0.014,,
Malta,1856,MLT,165211,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,,,,,,,,,0.085,0.252,0.021,0.126,0.03,0.18,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.042,0.014,,
Malta,1857,MLT,166049,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203,,,,,,,,,0.085,0.247,0.019,0.117,0.03,0.18,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.041,0.014,,
Malta,1858,MLT,166891,,,,,,,,,,,,,,,,,,,,,,,,,,,0.221,,,,,,,,,0.085,0.242,0.018,0.109,0.03,0.179,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.04,0.014,,
Malta,1859,MLT,167737,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,0.085,0.238,0.017,0.102,0.03,0.179,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.04,0.014,,
Malta,1860,MLT,168587,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,,,0.085,0.233,0.016,0.095,0.03,0.179,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.039,0.014,,
Malta,1861,MLT,169442,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,0.085,0.23,0.015,0.088,0.03,0.179,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.039,0.014,,
Malta,1862,MLT,170300,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283,,,,,,,,,0.085,0.226,0.014,0.082,0.03,0.179,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.039,0.015,,
Malta,1863,MLT,171163,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296,,,,,,,,,0.085,0.223,0.013,0.077,0.031,0.178,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.038,0.015,,
Malta,1864,MLT,172030,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,0.085,0.22,0.012,0.072,0.031,0.178,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.038,0.015,,
Malta,1865,MLT,172901,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,0.085,0.218,0.012,0.068,0.031,0.178,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.038,0.015,,
Malta,1866,MLT,173777,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,,,,,,,,,0.085,0.215,0.011,0.064,0.031,0.178,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1867,MLT,174656,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342,,,,,,,,,0.085,0.213,0.01,0.06,0.031,0.178,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1868,MLT,175541,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352,,,,,,,,,0.085,0.21,0.01,0.056,0.031,0.177,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1869,MLT,176429,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361,,,,,,,,,0.085,0.208,0.009,0.053,0.031,0.177,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1870,MLT,177322,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,0.084,0.206,0.009,0.05,0.031,0.177,0.004,0.021,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1871,MLT,178219,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,,,,,,,0.084,0.205,0.008,0.047,0.031,0.177,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.036,0.015,,
Malta,1872,MLT,179121,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,,,,,,,,,0.084,0.203,0.008,0.045,0.032,0.176,0.004,0.022,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.036,0.015,,
Malta,1873,MLT,180027,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394,,,,,,,,,0.084,0.202,0.008,0.042,0.032,0.176,0.004,0.023,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.036,0.015,,
Malta,1874,MLT,180937,,,,,,,,,,,,,,,,,,,,,,,,,,,0.401,,,,,,,,,0.084,0.202,0.007,0.04,0.032,0.176,0.004,0.024,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1875,MLT,181852,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,,,,,,,,,0.085,0.201,0.007,0.038,0.032,0.175,0.004,0.025,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1876,MLT,182771,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415,,,,,,,,,0.085,0.201,0.007,0.036,0.032,0.175,0.005,0.026,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.015,,
Malta,1877,MLT,183695,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421,,,,,,,,,0.085,0.2,0.006,0.034,0.032,0.175,0.005,0.026,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1878,MLT,184623,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427,,,,,,,,,0.085,0.2,0.006,0.032,0.032,0.174,0.005,0.027,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1879,MLT,185556,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433,,,,,,,,,0.085,0.199,0.006,0.031,0.032,0.174,0.005,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1880,MLT,186494,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,,,,,,,,,0.085,0.198,0.005,0.029,0.032,0.174,0.005,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1881,MLT,187436,,,,,,,,,,,,,,,,,,,,,,,,,,,0.443,,,,,,,,,0.085,0.198,0.005,0.028,0.033,0.174,0.005,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1882,MLT,188383,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448,,,,,,,,,0.085,0.197,0.005,0.026,0.033,0.174,0.005,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1883,MLT,189334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,,,,,,,,,0.085,0.196,0.005,0.025,0.033,0.173,0.005,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1884,MLT,190290,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,,,,,,,,,0.085,0.196,0.005,0.024,0.033,0.173,0.005,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1885,MLT,191250,,,,,,,,,,,,,,,,,,,,,,,,,,,0.462,,,,,,,,,0.085,0.195,0.004,0.023,0.033,0.173,0.005,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.037,0.016,,
Malta,1886,MLT,192216,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,,,,,,,,,0.085,0.195,0.004,0.021,0.033,0.173,0.006,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.038,0.016,,
Malta,1887,MLT,193186,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,0.085,0.195,0.004,0.02,0.033,0.173,0.006,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.038,0.016,,
Malta,1888,MLT,194160,,,,,,,,,,,,,,,,,,,,,,,,,,,0.474,,,,,,,,,0.085,0.195,0.004,0.019,0.034,0.173,0.006,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.038,0.016,,
Malta,1889,MLT,195140,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477,,,,,,,,,0.085,0.195,0.004,0.018,0.034,0.172,0.006,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.038,0.017,,
Malta,1890,MLT,196124,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,0.085,0.192,0.003,0.015,0.034,0.172,0.005,0.027,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.038,0.017,,
Malta,1891,MLT,197113,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,,,,,,0.085,0.193,0.002,0.011,0.034,0.172,0.006,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.038,0.017,,
Malta,1892,MLT,198107,,,,,,,,,,,,,,,,,,,,,,,,,,,0.484,,,,,,,,,0.085,0.193,0.002,0.008,0.034,0.172,0.006,0.031,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.038,0.017,,
Malta,1893,MLT,199106,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,0.085,0.194,0.001,0.004,0.034,0.172,0.006,0.032,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.039,0.017,,
Malta,1894,MLT,200109,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,0.085,0.195,0,0.001,0.034,0.172,0.007,0.033,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.039,0.017,,
Malta,1895,MLT,201118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,,,,,,,,,0.085,0.197,0,-0.001,0.034,0.171,0.007,0.034,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.04,0.017,,
