country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Marshall Islands,1850,MHL,11618,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
Marshall Islands,1851,MHL,11908,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1852,MHL,12204,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1853,MHL,12508,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1854,MHL,12819,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1855,MHL,13138,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1856,MHL,13464,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1857,MHL,13799,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1858,MHL,14143,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1859,MHL,14494,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1860,MHL,14855,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1861,MHL,15224,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1862,MHL,15602,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1863,MHL,15990,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1864,MHL,16388,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1865,MHL,16795,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1866,MHL,17212,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1867,MHL,17640,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1868,MHL,18078,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1869,MHL,18527,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1870,MHL,18987,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1871,MHL,19459,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1872,MHL,19942,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1873,MHL,20437,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1874,MHL,20945,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1875,MHL,21465,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1876,MHL,21998,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1877,MHL,22544,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1878,MHL,23103,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1879,MHL,23677,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1880,MHL,24264,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1881,MHL,24866,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1882,MHL,25483,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1883,MHL,26115,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1884,MHL,26763,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1885,MHL,27427,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1886,MHL,28107,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1887,MHL,28804,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1888,MHL,29518,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1889,MHL,30250,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
Marshall Islands,1890,MHL,31000,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,0,0,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,,,,
