country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Mauritius,1850,MUS,182748,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,,,,,,,,,0.302,0.453,0.028,0.154,0.06,0.329,0.012,0.067,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.083,0.055,,
Mauritius,1851,MUS,192864,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,0.311,0.474,0.026,0.135,0.066,0.34,0.012,0.065,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.091,0.06,,
Mauritius,1852,MUS,203990,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,0.313,0.457,0.02,0.096,0.07,0.345,0.013,0.062,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.093,0.064,,
Mauritius,1853,MUS,216207,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,0.309,0.449,0.017,0.078,0.074,0.343,0.013,0.059,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.097,0.067,,
Mauritius,1854,MUS,229154,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.303,0.418,0.01,0.043,0.078,0.339,0.013,0.057,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.096,0.069,,
Mauritius,1855,MUS,242877,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114,,,,,,,,,0.298,0.432,0.013,0.055,0.081,0.335,0.013,0.054,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.105,0.072,,
Mauritius,1856,MUS,257421,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,0.289,0.404,0.008,0.031,0.084,0.327,0.013,0.052,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.003,0,0,0,0,0.104,0.074,,
Mauritius,1857,MUS,272836,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,0.284,0.379,0.002,0.008,0.088,0.322,0.013,0.049,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.003,0,0,0,0,0.103,0.077,,
Mauritius,1858,MUS,289174,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,0.284,0.406,0.01,0.034,0.093,0.323,0.014,0.047,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.003,0,0,0,0,0.118,0.082,,
Mauritius,1859,MUS,302896,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138,,,,,,,,,0.293,0.398,0.004,0.015,0.101,0.333,0.014,0.045,,,,,,,,,,,,,,,,0,,,,,0,,,0.003,0,0,0,0,0.121,0.089,,
