country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Mexico,1850,MEX,7688866,8075747840,,,,,,,,,,,,,,,,,,,,,,,,,,21.827,,,,,,,,,0.263,3.128,21.827,2.839,7.83,1.018,0.551,0.072,,,,,,,,,,,,,,,,0.827,,,,,0.827,,,,,,,,24.054,2.025,,
Mexico,1851,MEX,7776783,,,,,,,,,,,,,,,,,,,,,,,,,,,42.681,,,,,,,,,0.263,3.077,20.854,2.682,7.913,1.018,0.559,0.072,,,,,,,,,,,,,,,,0.782,,,,,0.74,,,0.52,0,0,0,0,23.928,2.045,,
Mexico,1852,MEX,7874465,,,,,,,,,,,,,,,,,,,,,,,,,,,63.621,,,,,,,,,0.262,3.073,20.94,2.659,7.997,1.016,0.567,0.072,,,,,,,,,,,,,,,,0.765,,,,,0.733,,,0.522,0,0,0,0,24.201,2.066,,
Mexico,1853,MEX,7982109,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,,,,,,,,,0.261,3.043,21.179,2.653,8.08,1.012,0.574,0.072,,,,,,,,,,,,,,,,0.756,,,,,0.729,,,0.522,0,0,0,0,24.293,2.087,,
Mexico,1854,MEX,8091222,,,,,,,,,,,,,,,,,,,,,,,,,,,105.602,,,,,,,,,0.26,3,20.803,2.571,8.163,1.009,0.582,0.072,,,,,,,,,,,,,,,,0.747,,,,,0.714,,,0.52,0,0,0,0,24.274,2.108,,
Mexico,1855,MEX,8201826,,,,,,,,,,,,,,,,,,,,,,,,,,,127.112,,,,,,,,,0.259,3.022,21.51,2.623,8.243,1.005,0.589,0.072,,,,,,,,,,,,,,,,0.747,,,,,0.747,,,0.523,0,0,0,0,24.786,2.125,,
Mexico,1856,MEX,8313940,,,,0.008,,,21.326,,,2.565,,,0.001,,,0.008,0.001,,,,,0.008,21.326,0.008,,,148.43,,,,,,,,,0.26,2.967,21.318,2.564,8.332,1.002,0.595,0.072,,,,,,,0.003,0.657,0.003,,0,0.099,0,,,0.743,,,,,0.718,,,0.523,0,0,0,0,24.669,2.159,,
Mexico,1857,MEX,8427584,,,,0.007,-0.001,-8.081,21.721,0.395,1.851,2.577,,,0.001,,,0.007,0.001,,,,,0.015,43.046,0.015,,,170.143,,,,,,,,,0.259,2.965,21.713,2.576,8.421,0.999,0.602,0.071,,,,,,,0.003,0.672,0.003,,0,0.173,0,,,0.742,,,,,0.736,,,0.525,0,0,0,0,24.987,2.184,,
Mexico,1858,MEX,8542780,,,,0.015,0.008,111.345,21.108,-0.612,-2.82,2.471,,,0.002,,,0.015,0.002,,,,,0.031,64.154,0.031,,,191.236,,,,,,,,,0.259,2.93,21.093,2.469,8.503,0.995,0.607,0.071,,,,,,,0.005,0.647,0.005,,0,0.228,0,,,0.738,,,,,0.709,,,0.526,0,0,0,0,25.028,2.211,,
Mexico,1859,MEX,8642606,,,,0.008,-0.008,-48.459,20.921,-0.188,-0.889,2.421,,,0.001,,,0.008,0.001,,,,,0.039,85.075,0.039,,,212.149,,,,,,,,,0.257,2.903,20.913,2.42,8.585,0.993,0.612,0.071,,,,,,,0.003,0.626,0.003,,0.001,0.271,0.001,,,0.733,,,,,0.688,,,0.527,0,0,0,0,25.092,2.223,,
