country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Moldova,1830,MDA,780779,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Moldova,1831,MDA,787944,,,,0,0,19.577,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Moldova,1832,MDA,795175,,,,0,0,-33.186,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Moldova,1833,MDA,802472,,,,0,0,25.166,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Moldova,1850,MDA,937285,,,,0.001,,,4.589,,,4.896,,,0.001,,,0.001,0.001,,,,,0.002,4.589,0.002,0,0,4.588,0,,,,0,0,0,0,0.281,4.287,4.588,4.895,1.015,1.083,0.152,0.162,0,0,,,,,0.001,0.162,0.001,,0,0.162,0,,,0.174,,,,,0.174,,,,,,,,4.019,0.263,,
Moldova,1851,MDA,945951,,,,,,,,,,,,,,,,,,,,,,,,,,,8.825,,,,,,,,,0.278,4.153,4.237,4.479,1.017,1.075,0.155,0.164,,,,,,,,,,,,,,,,0.162,,,,,0.15,,,0.079,0,0,0,0,3.929,0.263,,
Moldova,1852,MDA,954697,,,,,,,,,,,,,,,,,,,,,,,,,,,12.844,,,,,,,,,0.277,4.067,4.02,4.211,1.019,1.067,0.158,0.165,,,,,,,,,,,,,,,,0.154,,,,,0.141,,,0.078,0,0,0,0,3.883,0.265,,
Moldova,1853,MDA,963524,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,,,,,,0.276,3.973,3.825,3.97,1.02,1.059,0.161,0.167,,,,,,,,,,,,,,,,0.149,,,,,0.132,,,0.077,0,0,0,0,3.828,0.266,,
Moldova,1854,MDA,972433,,,,,,,,,,,,,,,,,,,,,,,,,,,20.326,,,,,,,,,0.275,3.887,3.656,3.76,1.022,1.051,0.163,0.168,,,,,,,,,,,,,,,,0.144,,,,,0.125,,,0.076,0,0,0,0,3.78,0.267,,
Moldova,1855,MDA,981424,,,,0.004,,,3.509,,,3.576,,,0.004,,,0.004,0.004,,,,,0.005,8.098,0.005,0,0,23.832,0,,,,0,0,0,0,0.277,3.809,3.506,3.572,1.024,1.044,0.165,0.169,0,0,,,,,0.001,0.112,0.001,,0,0.044,0,,,0.14,0,,,,0.122,0,,0.075,0,0,0,0,3.738,0.272,,
