country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Montenegro,1850,MNE,202257,,,,,,,,,,,,,,,,,,,,,,,,,,,1.677,,,,,,,,,0.041,6.187,1.677,8.29,0.188,0.927,0.01,0.048,,,,,,,,,,,,,,,,0.064,,,,,0.064,,,,,,,,1.251,0.008,,
Montenegro,1851,MNE,205450,,,,,,,,,,,,,,,,,,,,,,,,,,,3.411,,,,,,,,,0.041,6.175,1.735,8.444,0.189,0.918,0.01,0.049,,,,,,,,,,,,,,,,0.063,,,,,0.062,,,0.029,0,0,0,0,1.269,0.008,,
Montenegro,1852,MNE,208694,,,,,,,,,,,,,,,,,,,,,,,,,,,5.236,,,,,,,,,0.04,6.362,1.824,8.741,0.19,0.91,0.01,0.049,,,,,,,,,,,,,,,,0.063,,,,,0.064,,,0.03,0,0,0,0,1.328,0.008,,
Montenegro,1853,MNE,211989,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,,,,,,,,,0.04,6.503,1.904,8.983,0.191,0.901,0.01,0.049,,,,,,,,,,,,,,,,0.064,,,,,0.066,,,0.03,0,0,0,0,1.379,0.009,,
Montenegro,1854,MNE,215336,,,,,,,,,,,,,,,,,,,,,,,,,,,9.094,,,,,,,,,0.04,6.512,1.954,9.075,0.192,0.892,0.01,0.048,,,,,,,,,,,,,,,,0.064,,,,,0.067,,,0.031,0,0,0,0,1.402,0.009,,
Montenegro,1855,MNE,218736,,,,,,,,,,,,,,,,,,,,,,,,,,,11.084,,,,,,,,,0.04,6.446,1.989,9.095,0.193,0.883,0.011,0.048,,,,,,,,,,,,,,,,0.065,,,,,0.069,,,0.031,0,0,0,0,1.41,0.009,,
Montenegro,1856,MNE,222189,,,,,,,,,,,,,,,,,,,,,,,,,,,13.121,,,,,,,,,0.039,6.449,2.037,9.167,0.194,0.875,0.011,0.048,,,,,,,,,,,,,,,,0.066,,,,,0.069,,,0.031,0,0,0,0,1.433,0.009,,
Montenegro,1857,MNE,225697,,,,,,,,,,,,,,,,,,,,,,,,,,,15.206,,,,,,,,,0.039,6.465,2.085,9.238,0.195,0.866,0.011,0.048,,,,,,,,,,,,,,,,0.066,,,,,0.071,,,0.031,0,0,0,0,1.459,0.009,,
Montenegro,1858,MNE,229261,,,,,,,,,,,,,,,,,,,,,,,,,,,17.344,,,,,,,,,0.039,6.512,2.138,9.327,0.197,0.858,0.011,0.048,,,,,,,,,,,,,,,,0.067,,,,,0.072,,,0.031,0,0,0,0,1.493,0.009,,
Montenegro,1859,MNE,232880,,,,,,,,,,,,,,,,,,,,,,,,,,,19.477,,,,,,,,,0.038,6.31,2.133,9.157,0.198,0.849,0.011,0.047,,,,,,,,,,,,,,,,0.067,,,,,0.07,,,0.031,0,0,0,0,1.47,0.009,,
Montenegro,1860,MNE,236557,,,,,,,,,,,,,,,,,,,,,,,,,,,21.577,,,,,,,,,0.038,6.156,2.1,8.879,0.199,0.841,0.011,0.047,,,,,,,,,,,,,,,,0.068,,,,,0.076,,,0.031,0,0,0,0,1.456,0.009,,
Montenegro,1861,MNE,240292,,,,,,,,,,,,,,,,,,,,,,,,,,,23.669,,,,,,,,,0.038,6.023,2.092,8.707,0.201,0.837,0.011,0.046,,,,,,,,,,,,,,,,0.069,,,,,0.076,,,0.032,0,0,0,0,1.447,0.009,,
Montenegro,1862,MNE,244086,,,,,,,,,,,,,,,,,,,,,,,,,,,25.728,,,,,,,,,0.037,5.795,2.059,8.437,0.203,0.832,0.011,0.046,,,,,,,,,,,,,,,,0.069,,,,,0.075,,,0.032,0,0,0,0,1.414,0.009,,
Montenegro,1863,MNE,247939,,,,,,,,,,,,,,,,,,,,,,,,,,,27.811,,,,,,,,,0.037,5.794,2.083,8.4,0.205,0.828,0.011,0.045,,,,,,,,,,,,,,,,0.07,,,,,0.077,,,0.032,0,0,0,0,1.437,0.009,,
Montenegro,1864,MNE,251854,,,,,,,,,,,,,,,,,,,,,,,,,,,29.844,,,,,,,,,0.037,5.498,2.033,8.07,0.207,0.824,0.011,0.045,,,,,,,,,,,,,,,,0.07,,,,,0.078,,,0.032,0,0,0,0,1.385,0.009,,
Montenegro,1865,MNE,255830,,,,,,,,,,,,,,,,,,,,,,,,,,,31.937,,,,,,,,,0.037,5.642,2.094,8.183,0.21,0.819,0.011,0.044,,,,,,,,,,,,,,,,0.071,,,,,0.081,,,0.032,0,0,0,0,1.443,0.009,,
Montenegro,1866,MNE,259869,,,,,,,,,,,,,,,,,,,,,,,,,,,34.058,,,,,,,,,0.036,5.644,2.121,8.162,0.212,0.815,0.011,0.044,,,,,,,,,,,,,,,,0.071,,,,,0.081,,,0.032,0,0,0,0,1.467,0.009,,
Montenegro,1867,MNE,263972,,,,,,,,,,,,,,,,,,,,,,,,,,,36.225,,,,,,,,,0.036,5.712,2.167,8.21,0.214,0.81,0.011,0.043,,,,,,,,,,,,,,,,0.072,,,,,0.084,,,0.032,0,0,0,0,1.508,0.01,,
Montenegro,1868,MNE,268140,,,,,,,,,,,,,,,,,,,,,,,,,,,38.359,,,,,,,,,0.036,5.476,2.134,7.957,0.216,0.806,0.011,0.043,,,,,,,,,,,,,,,,0.073,,,,,0.084,,,0.032,0,0,0,0,1.468,0.01,,
Montenegro,1869,MNE,272373,,,,,,,,,,,,,,,,,,,,,,,,,,,40.542,,,,,,,,,0.036,5.546,2.182,8.013,0.218,0.801,0.011,0.042,,,,,,,,,,,,,,,,0.073,,,,,0.084,,,0.032,0,0,0,0,1.511,0.01,,
Montenegro,1870,MNE,276674,,,,,,,,,,,,,,,,,,,,,,,,,,,42.754,,,,,,,,,0.035,5.581,2.212,7.996,0.22,0.796,0.012,0.042,,,,,,,,,,,,,,,,0.073,,,,,0.078,,,0.032,0,0,0,0,1.544,0.01,,
Montenegro,1871,MNE,281042,,,,,,,,,,,,,,,,,,,,,,,,,,,44.921,,,,,,,,,0.035,5.327,2.167,7.712,0.223,0.793,0.012,0.042,,,,,,,,,,,,,,,,0.073,,,,,0.076,,,0.032,0,0,0,0,1.497,0.01,,
Montenegro,1872,MNE,285479,,,,,,,,,,,,,,,,,,,,,,,,,,,47.141,,,,,,,,,0.035,5.416,2.22,7.776,0.225,0.789,0.012,0.042,,,,,,,,,,,,,,,,0.073,,,,,0.073,,,0.032,0,0,0,0,1.546,0.01,,
Montenegro,1873,MNE,289986,,,,,,,,,,,,,,,,,,,,,,,,,,,49.413,,,,,,,,,0.035,5.497,2.272,7.834,0.228,0.785,0.012,0.043,,,,,,,,,,,,,,,,0.074,,,,,0.076,,,0.032,0,0,0,0,1.594,0.01,,
Montenegro,1874,MNE,294565,,,,,,,,,,,,,,,,,,,,,,,,,,,51.696,,,,,,,,,0.035,5.434,2.283,7.75,0.23,0.78,0.013,0.044,,,,,,,,,,,,,,,,0.073,,,,,0.072,,,0.032,0,0,0,0,1.601,0.01,,
Montenegro,1875,MNE,299215,,,,,,,,,,,,,,,,,,,,,,,,,,,53.975,,,,,,,,,0.035,5.323,2.279,7.618,0.232,0.776,0.014,0.046,,,,,,,,,,,,,,,,0.073,,,,,0.07,,,0.032,0,0,0,0,1.593,0.01,,
Montenegro,1876,MNE,303940,,,,,,,,,,,,,,,,,,,,,,,,,,,56.283,,,,,,,,,0.035,5.319,2.308,7.593,0.235,0.772,0.014,0.047,,,,,,,,,,,,,,,,0.073,,,,,0.07,,,0.032,0,0,0,0,1.617,0.011,,
Montenegro,1877,MNE,308738,,,,,,,,,,,,,,,,,,,,,,,,,,,58.627,,,,,,,,,0.035,5.337,2.344,7.592,0.237,0.768,0.015,0.048,,,,,,,,,,,,,,,,0.073,,,,,0.074,,,0.032,0,0,0,0,1.648,0.011,,
Montenegro,1878,MNE,313613,,,,,,,,,,,,,,,,,,,,,,,,,,,61.018,,,,,,,,,0.035,5.389,2.391,7.625,0.239,0.763,0.015,0.049,,,,,,,,,,,,,,,,0.073,,,,,0.073,,,0.032,0,0,0,0,1.69,0.011,,
Montenegro,1879,MNE,318564,,,,,,,,,,,,,,,,,,,,,,,,,,,63.367,,,,,,,,,0.034,5.158,2.349,7.374,0.242,0.759,0.016,0.05,,,,,,,,,,,,,,,,0.073,,,,,0.072,,,0.032,0,0,0,0,1.643,0.011,,
Montenegro,1880,MNE,323594,,,,,,,,,,,,,,,,,,,,,,,,,,,65.741,,,,,,,,,0.034,5.145,2.374,7.335,0.244,0.755,0.016,0.05,,,,,,,,,,,,,,,,0.073,,,,,0.07,,,0.031,0,0,0,0,1.665,0.011,,
