country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Morocco,1850,MAR,2861280,,,,,,,,,,,,,,,,,,,,,,,,,,,6.087,,,,,,,,,0.233,1.822,6.087,2.127,2.683,0.938,0.228,0.08,,,,,,,,,,,,,,,,0.231,,,,,0.231,,,,,,,,5.214,0.665,,
Morocco,1851,MAR,2880537,,,,,,,,,,,,,,,,,,,,,,,,,,,12.173,,,,,,,,,0.233,1.822,6.086,2.113,2.712,0.941,0.232,0.081,,,,,,,,,,,,,,,,0.223,,,,,0.216,,,0.143,0,0,0,0,5.248,0.672,,
Morocco,1852,MAR,2904635,,,,,,,,,,,,,,,,,,,,,,,,,,,18.259,,,,,,,,,0.234,1.82,6.086,2.095,2.743,0.944,0.237,0.082,,,,,,,,,,,,,,,,0.22,,,,,0.213,,,0.142,0,0,0,0,5.285,0.679,,
Morocco,1853,MAR,2933630,,,,,,,,,,,,,,,,,,,,,,,,,,,24.345,,,,,,,,,0.234,1.814,6.086,2.075,2.775,0.946,0.241,0.082,,,,,,,,,,,,,,,,0.217,,,,,0.209,,,0.141,0,0,0,0,5.322,0.687,,
Morocco,1854,MAR,2962913,,,,,,,,,,,,,,,,,,,,,,,,,,,30.431,,,,,,,,,0.235,1.808,6.086,2.054,2.806,0.947,0.245,0.083,,,,,,,,,,,,,,,,0.215,,,,,0.209,,,0.14,0,0,0,0,5.358,0.695,,
Morocco,1855,MAR,2992489,,,,,,,,,,,,,,,,,,,,,,,,,,,36.517,,,,,,,,,0.235,1.802,6.086,2.034,2.837,0.948,0.249,0.083,,,,,,,,,,,,,,,,0.215,,,,,0.211,,,0.14,0,0,0,0,5.394,0.703,,
Morocco,1856,MAR,3022361,,,,,,,,,,,,,,,,,,,,,,,,,,,42.603,,,,,,,,,0.235,1.796,6.086,2.014,2.869,0.949,0.252,0.083,,,,,,,,,,,,,,,,0.213,,,,,0.205,,,0.139,0,0,0,0,5.429,0.711,,
Morocco,1857,MAR,3052530,,,,,,,,,,,,,,,,,,,,,,,,,,,48.687,,,,,,,,,0.236,1.79,6.084,1.993,2.9,0.95,0.255,0.084,,,,,,,,,,,,,,,,0.212,,,,,0.206,,,0.139,0,0,0,0,5.463,0.719,,
Morocco,1858,MAR,3083000,,,,,,,,,,,,,,,,,,,,,,,,,,,54.769,,,,,,,,,0.236,1.783,6.082,1.973,2.931,0.951,0.257,0.083,,,,,,,,,,,,,,,,0.211,,,,,0.204,,,0.139,0,0,0,0,5.497,0.727,,
Morocco,1859,MAR,3113775,,,,,,,,,,,,,,,,,,,,,,,,,,,60.848,,,,,,,,,0.236,1.776,6.079,1.952,2.963,0.952,0.259,0.083,,,,,,,,,,,,,,,,0.21,,,,,0.2,,,0.138,0,0,0,0,5.53,0.735,,
