country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Mozambique,1850,MOZ,4676306,,,,,,,,,,,,,,,,,,,,,,,,,,,20.126,,,,,,,,,0.155,1.955,20.126,4.304,1.078,0.231,0.378,0.081,,,,,,,,,,,,,,,,0.763,,,,,0.763,,,,,,,,9.144,0.726,,
Mozambique,1851,MOZ,4722272,,,,,,,,,,,,,,,,,,,,,,,,,,,41.694,,,,,,,,,0.155,2.074,21.568,4.567,1.086,0.23,0.385,0.081,,,,,,,,,,,,,,,,0.764,,,,,0.765,,,0.237,0,0,0,0,9.793,0.73,,
Mozambique,1852,MOZ,4743293,,,,,,,,,,,,,,,,,,,,,,,,,,,63.405,,,,,,,,,0.155,2.073,21.71,4.577,1.094,0.231,0.392,0.083,,,,,,,,,,,,,,,,0.762,,,,,0.76,,,0.236,0,0,0,0,9.835,0.734,,
Mozambique,1853,MOZ,4738754,,,,,,,,,,,,,,,,,,,,,,,,,,,87.118,,,,,,,,,0.156,2.194,23.714,5.004,1.102,0.233,0.398,0.084,,,,,,,,,,,,,,,,0.776,,,,,0.816,,,0.239,0,0,0,0,10.396,0.738,,
Mozambique,1854,MOZ,4734215,,,,,,,,,,,,,,,,,,,,,,,,,,,109.058,,,,,,,,,0.157,2.112,21.94,4.634,1.11,0.235,0.405,0.085,,,,,,,,,,,,,,,,0.771,,,,,0.753,,,0.237,0,0,0,0,9.999,0.742,,
Mozambique,1855,MOZ,4729675,,,,,,,,,,,,,,,,,,,,,,,,,,,129.71,,,,,,,,,0.158,2.037,20.652,4.366,1.118,0.236,0.41,0.087,,,,,,,,,,,,,,,,0.762,,,,,0.717,,,0.235,0,0,0,0,9.635,0.747,,
Mozambique,1856,MOZ,4725136,,,,,,,,,,,,,,,,,,,,,,,,,,,151.771,,,,,,,,,0.159,2.143,22.061,4.669,1.126,0.238,0.416,0.088,,,,,,,,,,,,,,,,0.759,,,,,0.743,,,0.234,0,0,0,0,10.125,0.751,,
Mozambique,1857,MOZ,4720597,,,,,,,,,,,,,,,,,,,,,,,,,,,172.888,,,,,,,,,0.16,2.117,21.117,4.473,1.135,0.24,0.42,0.089,,,,,,,,,,,,,,,,0.754,,,,,0.716,,,0.233,0,0,0,0,9.994,0.755,,
Mozambique,1858,MOZ,4716057,,,,,,,,,,,,,,,,,,,,,,,,,,,193.245,,,,,,,,,0.161,2.102,20.357,4.317,1.143,0.242,0.424,0.09,,,,,,,,,,,,,,,,0.746,,,,,0.684,,,0.232,0,0,0,0,9.911,0.759,,
Mozambique,1859,MOZ,4710576,,,,,,,,,,,,,,,,,,,,,,,,,,,213.174,,,,,,,,,0.162,2.04,19.928,4.231,1.151,0.244,0.427,0.091,,,,,,,,,,,,,,,,0.736,,,,,0.656,,,0.23,0,0,0,0,9.611,0.763,,
Mozambique,1860,MOZ,4704156,,,,,,,,,,,,,,,,,,,,,,,,,,,230.952,,,,,,,,,0.163,1.903,17.778,3.779,1.159,0.246,0.429,0.091,,,,,,,,,,,,,,,,0.728,,,,,0.639,,,0.227,0,0,0,0,8.952,0.767,,
Mozambique,1861,MOZ,4696800,,,,,,,,,,,,,,,,,,,,,,,,,,,247.725,,,,,,,,,0.164,1.812,16.773,3.571,1.164,0.248,0.43,0.092,,,,,,,,,,,,,,,,0.718,,,,,0.606,,,0.225,0,0,0,0,8.511,0.769,,
Mozambique,1862,MOZ,4688514,,,,,,,,,,,,,,,,,,,,,,,,,,,263.543,,,,,,,,,0.165,1.723,15.818,3.374,1.168,0.249,0.432,0.092,,,,,,,,,,,,,,,,0.708,,,,,0.577,,,0.221,0,0,0,0,8.077,0.772,,
Mozambique,1863,MOZ,4679299,,,,,,,,,,,,,,,,,,,,,,,,,,,278.403,,,,,,,,,0.166,1.664,14.861,3.176,1.174,0.251,0.433,0.092,,,,,,,,,,,,,,,,0.697,,,,,0.549,,,0.218,0,0,0,0,7.787,0.775,,
Mozambique,1864,MOZ,4670099,,,,,,,,,,,,,,,,,,,,,,,,,,,293.461,,,,,,,,,0.167,1.666,15.058,3.224,1.179,0.252,0.434,0.093,,,,,,,,,,,,,,,,0.689,,,,,0.575,,,0.215,0,0,0,0,7.782,0.778,,
