country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Myanmar,1850,MMR,3932075,,,,,,,,,,,,,,,,,,,,,,,,,,,45.768,,,,,,,,,0.184,12.141,45.768,11.64,5.332,1.356,1.701,0.433,,,,,,,,,,,,,,,,1.735,,,,,1.735,,,,,,,,47.738,0.725,,
Myanmar,1851,MMR,3941836,,,,,,,,,,,,,,,,,,,,,,,,,,,97.82,,,,,,,,,0.185,13.127,52.052,13.205,5.353,1.358,1.736,0.441,,,,,,,,,,,,,,,,1.792,,,,,1.846,,,1.194,0,0,0,0,51.745,0.729,,
Myanmar,1852,MMR,3951619,,,,,,,,,,,,,,,,,,,,,,,,,,,150.247,,,,,,,,,0.185,13.197,52.427,13.267,5.374,1.36,1.771,0.448,,,,,,,,,,,,,,,,1.807,,,,,1.835,,,1.192,0,0,0,0,52.149,0.732,,
Myanmar,1853,MMR,3961426,,,,,,,,,,,,,,,,,,,,,,,,,,,206.782,,,,,,,,,0.186,13.776,56.535,14.271,5.395,1.362,1.804,0.455,,,,,,,,,,,,,,,,1.843,,,,,1.946,,,1.204,0,0,0,0,54.572,0.735,,
Myanmar,1854,MMR,3971249,,,,,,,,,,,,,,,,,,,,,,,,,,,261.637,,,,,,,,,0.186,13.661,54.855,13.813,5.416,1.364,1.835,0.462,,,,,,,,,,,,,,,,1.851,,,,,1.882,,,1.204,0,0,0,0,54.25,0.739,,
Myanmar,1855,MMR,3981090,,,,,,,,,,,,,,,,,,,,,,,,,,,319.164,,,,,,,,,0.186,13.912,57.527,14.45,5.438,1.366,1.863,0.468,,,,,,,,,,,,,,,,1.876,,,,,1.998,,,1.21,0,0,0,0,55.384,0.742,,
Myanmar,1856,MMR,3990948,,,,,,,,,,,,,,,,,,,,,,,,,,,378.384,,,,,,,,,0.187,14.298,59.22,14.839,5.459,1.368,1.889,0.473,,,,,,,,,,,,,,,,1.893,,,,,1.995,,,1.216,0,0,0,0,57.061,0.745,,
Myanmar,1857,MMR,4000822,,,,,,,,,,,,,,,,,,,,,,,,,,,429.852,,,,,,,,,0.187,13.418,51.468,12.864,5.48,1.37,1.91,0.477,,,,,,,,,,,,,,,,1.874,,,,,1.744,,,1.21,0,0,0,0,53.684,0.748,,
Myanmar,1858,MMR,4010714,,,,,,,,,,,,,,,,,,,,,,,,,,,484.555,,,,,,,,,0.187,13.942,54.703,13.639,5.501,1.372,1.927,0.481,,,,,,,,,,,,,,,,1.87,,,,,1.839,,,1.211,0,0,0,0,55.918,0.751,,
Myanmar,1859,MMR,4020623,,,,,,,,,,,,,,,,,,,,,,,,,,,540.775,,,,,,,,,0.188,14.161,56.22,13.983,5.523,1.374,1.94,0.482,,,,,,,,,,,,,,,,1.868,,,,,1.85,,,1.211,0,0,0,0,56.935,0.755,,
