country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Namibia,1850,NAM,119203,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,0.195,4.466,0.62,5.202,0.44,3.687,0.163,1.372,,,,,,,,,,,,,,,,0.024,,,,,0.024,,,,,,,,0.532,0.023,,
Namibia,1851,NAM,119393,,,,,,,,,,,,,,,,,,,,,,,,,,,1.238,,,,,,,,,0.198,4.501,0.618,5.177,0.445,3.731,0.167,1.398,,,,,,,,,,,,,,,,0.023,,,,,0.022,,,0.015,0,0,0,0,0.537,0.024,,
Namibia,1852,NAM,120149,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848,,,,,,,,,0.199,4.506,0.61,5.078,0.451,3.756,0.17,1.417,,,,,,,,,,,,,,,,0.022,,,,,0.021,,,0.015,0,0,0,0,0.541,0.024,,
Namibia,1853,NAM,121470,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,,,,,,,,,0.199,4.479,0.602,4.953,0.457,3.764,0.173,1.427,,,,,,,,,,,,,,,,0.022,,,,,0.021,,,0.015,0,0,0,0,0.544,0.024,,
Namibia,1854,NAM,122806,,,,,,,,,,,,,,,,,,,,,,,,,,,3.043,,,,,,,,,0.2,4.44,0.593,4.831,0.463,3.771,0.176,1.436,,,,,,,,,,,,,,,,0.022,,,,,0.02,,,0.015,0,0,0,0,0.545,0.025,,
Namibia,1855,NAM,124157,,,,,,,,,,,,,,,,,,,,,,,,,,,3.631,,,,,,,,,0.2,4.407,0.587,4.731,0.469,3.777,0.179,1.442,,,,,,,,,,,,,,,,0.021,,,,,0.02,,,0.015,0,0,0,0,0.547,0.025,,
Namibia,1856,NAM,125522,,,,,,,,,,,,,,,,,,,,,,,,,,,4.225,,,,,,,,,0.2,4.434,0.594,4.732,0.475,3.783,0.181,1.446,,,,,,,,,,,,,,,,0.021,,,,,0.02,,,0.015,0,0,0,0,0.557,0.025,,
Namibia,1857,NAM,126902,,,,,,,,,,,,,,,,,,,,,,,,,,,4.803,,,,,,,,,0.201,4.37,0.578,4.558,0.481,3.788,0.184,1.446,,,,,,,,,,,,,,,,0.021,,,,,0.02,,,0.015,0,0,0,0,0.555,0.025,,
Namibia,1858,NAM,128297,,,,,,,,,,,,,,,,,,,,,,,,,,,5.374,,,,,,,,,0.201,4.353,0.571,4.453,0.487,3.793,0.185,1.443,,,,,,,,,,,,,,,,0.021,,,,,0.019,,,0.015,0,0,0,0,0.558,0.026,,
Namibia,1859,NAM,129708,,,,,,,,,,,,,,,,,,,,,,,,,,,5.938,,,,,,,,,0.201,4.307,0.563,4.344,0.492,3.797,0.186,1.437,,,,,,,,,,,,,,,,0.021,,,,,0.019,,,0.015,0,0,0,0,0.559,0.026,,
Namibia,1860,NAM,131133,,,,,,,,,,,,,,,,,,,,,,,,,,,6.509,,,,,,,,,0.201,4.313,0.571,4.353,0.498,3.8,0.187,1.426,,,,,,,,,,,,,,,,0.021,,,,,0.021,,,0.015,0,0,0,0,0.566,0.026,,
Namibia,1861,NAM,132575,,,,,,,,,,,,,,,,,,,,,,,,,,,7.082,,,,,,,,,0.201,4.294,0.573,4.322,0.505,3.811,0.187,1.414,,,,,,,,,,,,,,,,0.021,,,,,0.021,,,0.015,0,0,0,0,0.569,0.027,,
