country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Nauru,1850,NRU,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.039,0.09,0,0,0,0.077,0,0.012,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0,0,,
Nauru,1851,NRU,1883,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.039,0.09,0,0,0,0.078,0,0.013,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1852,NRU,1884,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.039,0.091,0,0,0,0.079,0,0.013,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1853,NRU,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.04,0.092,0,0,0,0.079,0,0.013,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1854,NRU,1885,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.04,0.093,0,0,0,0.08,0,0.013,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1855,NRU,1886,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.041,0.094,0,0,0,0.081,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1856,NRU,1887,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.041,0.095,0,0,0,0.082,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1857,NRU,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.042,0.096,0,0,0,0.082,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1858,NRU,1888,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.042,0.097,0,0,0,0.083,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1859,NRU,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.043,0.098,0,0,0,0.084,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1860,NRU,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.043,0.099,0,0,0,0.085,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1861,NRU,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.043,0.099,0,0,0,0.085,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1862,NRU,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.044,0.1,0,0,0,0.086,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1863,NRU,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.044,0.101,0,0,0,0.087,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1864,NRU,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.045,0.102,0,0,0,0.088,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1865,NRU,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.045,0.103,0,0,0,0.089,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1866,NRU,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.045,0.104,0,0,0,0.089,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1867,NRU,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.046,0.104,0,0,0,0.09,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1868,NRU,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.046,0.105,0,0,0,0.091,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1869,NRU,1897,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.047,0.106,0,0,0,0.092,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1870,NRU,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.047,0.107,0,0,0,0.093,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1871,NRU,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.048,0.109,0,0,0,0.094,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1872,NRU,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.049,0.111,0,0,0,0.096,0,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1873,NRU,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.05,0.113,0,0,0,0.097,0,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1874,NRU,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.051,0.116,0,0,0,0.099,0,0.017,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1875,NRU,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.052,0.118,0,0,0,0.1,0,0.018,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1876,NRU,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.054,0.121,0,0,0,0.102,0,0.019,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1877,NRU,1903,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.055,0.124,0,0,0,0.103,0,0.02,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1878,NRU,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.056,0.126,0,0,0,0.105,0,0.021,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1879,NRU,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.057,0.129,0,0,0,0.106,0,0.022,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1880,NRU,1905,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.058,0.131,0,0,0,0.108,0,0.023,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1881,NRU,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.059,0.132,0,0,0,0.109,0,0.023,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1882,NRU,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.059,0.134,0,0,0,0.111,0,0.023,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1883,NRU,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.06,0.135,0,0,0,0.112,0,0.023,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1884,NRU,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.061,0.137,0,0,0,0.113,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1885,NRU,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.061,0.139,0,0,0,0.115,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1886,NRU,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.062,0.14,0,0,0,0.116,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1887,NRU,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.063,0.142,0,0,0,0.118,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1888,NRU,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.064,0.143,0,0,0,0.119,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1889,NRU,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.064,0.145,0,0,0,0.121,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1890,NRU,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.065,0.148,0,0,0,0.122,0,0.026,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1891,NRU,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.066,0.149,0,0,0,0.124,0,0.025,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1892,NRU,1914,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.067,0.151,0,0,0,0.126,0,0.025,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1893,NRU,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.068,0.152,0,0,0,0.128,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1894,NRU,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.068,0.154,0,0,0,0.13,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1895,NRU,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.069,0.156,0,0,0,0.132,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1896,NRU,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.07,0.157,0,0,0,0.134,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1897,NRU,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.071,0.159,0,0,0,0.135,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1898,NRU,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.072,0.161,0,0,0,0.137,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1899,NRU,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.073,0.163,0,0,0,0.139,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1900,NRU,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.074,0.165,0,0,0,0.141,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1901,NRU,1921,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.075,0.167,0,0,0,0.143,0,0.024,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1902,NRU,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.076,0.169,0,0,0,0.144,0,0.025,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1903,NRU,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.077,0.171,0,0,0,0.146,0,0.025,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1904,NRU,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.078,0.174,0,0,0,0.148,0,0.026,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1905,NRU,1924,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.078,0.176,0,0,0,0.149,0,0.027,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1906,NRU,1925,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.079,0.179,0,0,0,0.151,0,0.028,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1907,NRU,1926,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.08,0.181,0,0,0,0.152,0,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1908,NRU,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.081,0.184,0,0,0,0.154,0,0.029,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1909,NRU,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.082,0.186,0,0,0,0.156,0,0.03,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1910,NRU,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.083,0.188,0,0,0,0.157,0,0.031,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
Nauru,1911,NRU,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0.084,0.19,0,0,0,0.159,0,0.031,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0,0,,
