country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Nepal,1850,NPL,4352082,,,,,,,,,,,,,,,,,,,,,,,,,,,4.242,,,,,,,,,0.197,2.041,4.242,0.975,4.879,1.121,0.649,0.149,,,,,,,,,,,,,,,,0.161,,,,,0.161,,,,,,,,8.883,0.856,,
Nepal,1851,NPL,4365747,,,,,,,,,,,,,,,,,,,,,,,,,,,7.977,,,,,,,,,0.197,1.983,3.736,0.856,4.898,1.122,0.662,0.152,,,,,,,,,,,,,,,,0.146,,,,,0.132,,,0.163,0,0,0,0,8.658,0.86,,
Nepal,1852,NPL,4379459,,,,,,,,,,,,,,,,,,,,,,,,,,,11.475,,,,,,,,,0.197,1.957,3.497,0.799,4.918,1.123,0.675,0.154,,,,,,,,,,,,,,,,0.138,,,,,0.122,,,0.16,0,0,0,0,8.568,0.864,,
Nepal,1853,NPL,4393218,,,,,,,,,,,,,,,,,,,,,,,,,,,14.818,,,,,,,,,0.197,1.94,3.343,0.761,4.937,1.124,0.687,0.156,,,,,,,,,,,,,,,,0.132,,,,,0.115,,,0.159,0,0,0,0,8.525,0.868,,
Nepal,1854,NPL,4407018,,,,,,,,,,,,,,,,,,,,,,,,,,,18.067,,,,,,,,,0.198,1.929,3.249,0.737,4.956,1.125,0.699,0.159,,,,,,,,,,,,,,,,0.128,,,,,0.111,,,0.157,0,0,0,0,8.499,0.871,,
Nepal,1855,NPL,4420860,,,,,,,,,,,,,,,,,,,,,,,,,,,21.228,,,,,,,,,0.198,1.916,3.161,0.715,4.976,1.125,0.71,0.161,,,,,,,,,,,,,,,,0.125,,,,,0.11,,,0.156,0,0,0,0,8.473,0.875,,
Nepal,1856,NPL,4434742,,,,,,,,,,,,,,,,,,,,,,,,,,,24.367,,,,,,,,,0.198,1.909,3.138,0.708,4.995,1.126,0.719,0.162,,,,,,,,,,,,,,,,0.122,,,,,0.106,,,0.154,0,0,0,0,8.464,0.879,,
Nepal,1857,NPL,4448667,,,,,,,,,,,,,,,,,,,,,,,,,,,27.418,,,,,,,,,0.198,1.891,3.051,0.686,5.014,1.127,0.727,0.163,,,,,,,,,,,,,,,,0.12,,,,,0.103,,,0.153,0,0,0,0,8.414,0.882,,
Nepal,1858,NPL,4462633,,,,,,,,,,,,,,,,,,,,,,,,,,,30.473,,,,,,,,,0.199,1.893,3.055,0.685,5.033,1.128,0.734,0.164,,,,,,,,,,,,,,,,0.118,,,,,0.103,,,0.152,0,0,0,0,8.45,0.886,,
Nepal,1859,NPL,4476640,,,,,,,,,,,,,,,,,,,,,,,,,,,33.483,,,,,,,,,0.199,1.879,3.01,0.672,5.053,1.129,0.739,0.165,,,,,,,,,,,,,,,,0.116,,,,,0.099,,,0.151,0,0,0,0,8.411,0.89,,
Nepal,1860,NPL,4490690,,,,,,,,,,,,,,,,,,,,,,,,,,,36.519,,,,,,,,,0.199,1.875,3.036,0.676,5.072,1.129,0.741,0.165,,,,,,,,,,,,,,,,0.115,,,,,0.109,,,0.151,0,0,0,0,8.422,0.893,,
Nepal,1861,NPL,4504781,,,,,,,,,,,,,,,,,,,,,,,,,,,39.571,,,,,,,,,0.199,1.874,3.052,0.677,5.091,1.13,0.743,0.165,,,,,,,,,,,,,,,,0.115,,,,,0.11,,,0.151,0,0,0,0,8.443,0.897,,
Nepal,1862,NPL,4518915,,,,,,,,,,,,,,,,,,,,,,,,,,,42.623,,,,,,,,,0.199,1.872,3.053,0.676,5.111,1.131,0.744,0.165,,,,,,,,,,,,,,,,0.114,,,,,0.111,,,0.151,0,0,0,0,8.458,0.9,,
Nepal,1863,NPL,4533090,,,,,,,,,,,,,,,,,,,,,,,,,,,45.705,,,,,,,,,0.199,1.868,3.081,0.68,5.13,1.132,0.745,0.164,,,,,,,,,,,,,,,,0.114,,,,,0.114,,,0.151,0,0,0,0,8.467,0.903,,
Nepal,1864,NPL,4547308,,,,,,,,,,,,,,,,,,,,,,,,,,,48.788,,,,,,,,,0.199,1.86,3.083,0.678,5.149,1.132,0.746,0.164,,,,,,,,,,,,,,,,0.115,,,,,0.118,,,0.151,0,0,0,0,8.458,0.907,,
Nepal,1865,NPL,4561568,,,,,,,,,,,,,,,,,,,,,,,,,,,51.984,,,,,,,,,0.2,1.874,3.196,0.701,5.169,1.133,0.747,0.164,,,,,,,,,,,,,,,,0.115,,,,,0.124,,,0.151,0,0,0,0,8.546,0.91,,
Nepal,1866,NPL,4575871,,,,,,,,,,,,,,,,,,,,,,,,,,,55.154,,,,,,,,,0.2,1.864,3.17,0.693,5.188,1.134,0.747,0.163,,,,,,,,,,,,,,,,0.116,,,,,0.122,,,0.151,0,0,0,0,8.53,0.914,,
Nepal,1867,NPL,4590217,,,,,,,,,,,,,,,,,,,,,,,,,,,58.324,,,,,,,,,0.2,1.86,3.169,0.69,5.207,1.134,0.748,0.163,,,,,,,,,,,,,,,,0.116,,,,,0.123,,,0.151,0,0,0,0,8.537,0.917,,
Nepal,1868,NPL,4604605,,,,,,,,,,,,,,,,,,,,,,,,,,,61.527,,,,,,,,,0.2,1.856,3.204,0.696,5.227,1.135,0.749,0.163,,,,,,,,,,,,,,,,0.116,,,,,0.126,,,0.151,0,0,0,0,8.548,0.921,,
Nepal,1869,NPL,4620129,,,,,,,,,,,,,,,,,,,,,,,,,,,64.754,,,,,,,,,0.2,1.853,3.226,0.698,5.246,1.135,0.751,0.162,,,,,,,,,,,,,,,,0.117,,,,,0.125,,,0.15,0,0,0,0,8.56,0.924,,
Nepal,1870,NPL,4636798,3011418112,,,,,,,,,,,,,,,,,,,,,,,,,,69.116,,,,,,,,,0.2,1.991,4.363,0.941,5.265,1.136,0.752,0.162,,,,,,,,,,,,,,,,0.119,,,,,0.154,,,0.151,0,0,0,0,9.234,0.928,,
Nepal,1871,NPL,4654618,,,,,,,,,,,,,,,,,,,,,,,,,,,73.955,,,,,,,,,0.2,2.056,4.839,1.04,5.293,1.137,0.764,0.164,,,,,,,,,,,,,,,,0.121,,,,,0.17,,,0.151,0,0,0,0,9.568,0.933,,
Nepal,1872,NPL,4673597,,,,,,,,,,,,,,,,,,,,,,,,,,,79.092,,,,,,,,,0.201,2.094,5.136,1.099,5.32,1.138,0.795,0.17,,,,,,,,,,,,,,,,0.123,,,,,0.168,,,0.151,0,0,0,0,9.786,0.939,,
