country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Nicaragua,1850,NIC,298221,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,,,,,,,,,0.303,23.569,7.91,26.524,0.531,1.78,0.028,0.094,,,,,,,,,,,,,,,,0.3,,,,,0.3,,,,,,,,7.029,0.09,,
Nicaragua,1851,NIC,302098,,,,,,,,,,,,,,,,,,,,,,,,,,,15.745,,,,,,,,,0.302,23.347,7.835,25.934,0.534,1.768,0.028,0.094,,,,,,,,,,,,,,,,0.288,,,,,0.278,,,0.174,0,0,0,0,7.053,0.091,,
Nicaragua,1852,NIC,305411,,,,,,,,,,,,,,,,,,,,,,,,,,,22.231,,,,,,,,,0.301,20.22,6.486,21.237,0.537,1.76,0.029,0.094,,,,,,,,,,,,,,,,0.267,,,,,0.227,,,0.163,0,0,0,0,6.176,0.092,,
Nicaragua,1853,NIC,308143,,,,,,,,,,,,,,,,,,,,,,,,,,,26.733,,,,,,,,,0.3,16.434,4.503,14.612,0.541,1.755,0.029,0.095,,,,,,,,,,,,,,,,0.238,,,,,0.155,,,0.149,0,0,0,0,5.064,0.092,,
Nicaragua,1854,NIC,310897,,,,,,,,,,,,,,,,,,,,,,,,,,,31.256,,,,,,,,,0.299,16.374,4.523,14.548,0.544,1.749,0.03,0.095,,,,,,,,,,,,,,,,0.221,,,,,0.155,,,0.142,0,0,0,0,5.091,0.093,,
Nicaragua,1855,NIC,313673,,,,,,,,,,,,,,,,,,,,,,,,,,,34.776,,,,,,,,,0.299,14.561,3.52,11.221,0.547,1.744,0.03,0.096,,,,,,,,,,,,,,,,0.204,,,,,0.122,,,0.135,0,0,0,0,4.567,0.094,,
Nicaragua,1856,NIC,316470,,,,,,,,,,,,,,,,,,,,,,,,,,,38.32,,,,,,,,,0.298,14.405,3.543,11.197,0.55,1.739,0.03,0.096,,,,,,,,,,,,,,,,0.192,,,,,0.119,,,0.13,0,0,0,0,4.559,0.094,,
Nicaragua,1857,NIC,319289,,,,,,,,,,,,,,,,,,,,,,,,,,,42.181,,,,,,,,,0.297,14.61,3.861,12.093,0.554,1.734,0.031,0.096,,,,,,,,,,,,,,,,0.184,,,,,0.131,,,0.127,0,0,0,0,4.665,0.095,,
Nicaragua,1858,NIC,322130,,,,,,,,,,,,,,,,,,,,,,,,,,,46.175,,,,,,,,,0.297,14.536,3.994,12.399,0.557,1.729,0.031,0.096,,,,,,,,,,,,,,,,0.178,,,,,0.134,,,0.125,0,0,0,0,4.682,0.096,,
Nicaragua,1859,NIC,324994,,,,,,,,,,,,,,,,,,,,,,,,,,,49.479,,,,,,,,,0.296,13.149,3.304,10.166,0.56,1.724,0.031,0.096,,,,,,,,,,,,,,,,0.171,,,,,0.109,,,0.121,0,0,0,0,4.274,0.096,,
Nicaragua,1860,NIC,327880,,,,,,,,,,,,,,,,,,,,,,,,,,,53.252,,,,,,,,,0.295,13.829,3.773,11.507,0.564,1.719,0.031,0.096,,,,,,,,,,,,,,,,0.168,,,,,0.136,,,0.12,0,0,0,0,4.534,0.097,,
