country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Niger,1850,NER,998548,,,,,,,,,,,,,,,,,,,,,,,,,,,1.392,,,,,,,,,0.203,3.616,1.392,1.394,1.952,1.955,0.172,0.172,,,,,,,,,,,,,,,,0.053,,,,,0.053,,,,,,,,3.61,0.203,,
Niger,1851,NER,1001816,,,,,,,,,,,,,,,,,,,,,,,,,,,2.673,,,,,,,,,0.202,3.548,1.281,1.279,1.954,1.95,0.175,0.175,,,,,,,,,,,,,,,,0.049,,,,,0.045,,,0.055,0,0,0,0,3.554,0.203,,
Niger,1852,NER,1005089,,,,,,,,,,,,,,,,,,,,,,,,,,,3.883,,,,,,,,,0.202,3.485,1.21,1.204,1.955,1.945,0.179,0.178,,,,,,,,,,,,,,,,0.047,,,,,0.042,,,0.054,0,0,0,0,3.503,0.203,,
Niger,1853,NER,1009375,,,,,,,,,,,,,,,,,,,,,,,,,,,5.019,,,,,,,,,0.202,3.423,1.135,1.125,1.957,1.939,0.182,0.18,,,,,,,,,,,,,,,,0.045,,,,,0.039,,,0.053,0,0,0,0,3.455,0.203,,
Niger,1854,NER,1013674,,,,,,,,,,,,,,,,,,,,,,,,,,,6.097,,,,,,,,,0.201,3.363,1.078,1.064,1.958,1.932,0.185,0.183,,,,,,,,,,,,,,,,0.043,,,,,0.037,,,0.052,0,0,0,0,3.409,0.204,,
Niger,1855,NER,1017985,,,,,,,,,,,,,,,,,,,,,,,,,,,7.129,,,,,,,,,0.2,3.297,1.032,1.014,1.96,1.925,0.188,0.185,,,,,,,,,,,,,,,,0.042,,,,,0.036,,,0.051,0,0,0,0,3.356,0.204,,
Niger,1856,NER,1022310,,,,,,,,,,,,,,,,,,,,,,,,,,,8.124,,,,,,,,,0.2,3.239,0.995,0.973,1.962,1.919,0.19,0.186,,,,,,,,,,,,,,,,0.041,,,,,0.034,,,0.051,0,0,0,0,3.311,0.204,,
Niger,1857,NER,1026648,,,,,,,,,,,,,,,,,,,,,,,,,,,9.091,,,,,,,,,0.199,3.168,0.967,0.942,1.963,1.912,0.193,0.188,,,,,,,,,,,,,,,,0.04,,,,,0.033,,,0.05,0,0,0,0,3.253,0.205,,
Niger,1858,NER,1031000,,,,,,,,,,,,,,,,,,,,,,,,,,,10.028,,,,,,,,,0.199,3.102,0.937,0.908,1.965,1.906,0.194,0.189,,,,,,,,,,,,,,,,0.039,,,,,0.031,,,0.049,0,0,0,0,3.198,0.205,,
Niger,1859,NER,1035572,,,,,,,,,,,,,,,,,,,,,,,,,,,10.953,,,,,,,,,0.198,3.038,0.925,0.893,1.967,1.899,0.196,0.189,,,,,,,,,,,,,,,,0.038,,,,,0.03,,,0.048,0,0,0,0,3.146,0.205,,
Niger,1860,NER,1040367,,,,,,,,,,,,,,,,,,,,,,,,,,,11.901,,,,,,,,,0.197,2.989,0.949,0.912,1.968,1.892,0.196,0.189,,,,,,,,,,,,,,,,0.038,,,,,0.034,,,0.048,0,0,0,0,3.11,0.205,,
Niger,1861,NER,1045389,,,,,,,,,,,,,,,,,,,,,,,,,,,12.861,,,,,,,,,0.197,2.939,0.959,0.918,1.972,1.887,0.197,0.188,,,,,,,,,,,,,,,,0.037,,,,,0.035,,,0.047,0,0,0,0,3.072,0.206,,
Niger,1862,NER,1050638,,,,,,,,,,,,,,,,,,,,,,,,,,,13.825,,,,,,,,,0.196,2.887,0.964,0.917,1.976,1.881,0.197,0.187,,,,,,,,,,,,,,,,0.037,,,,,0.035,,,0.047,0,0,0,0,3.033,0.206,,
Niger,1863,NER,1056118,,,,,,,,,,,,,,,,,,,,,,,,,,,14.789,,,,,,,,,0.196,2.829,0.965,0.914,1.981,1.875,0.197,0.187,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.046,0,0,0,0,2.988,0.207,,
Niger,1864,NER,1061622,,,,,,,,,,,,,,,,,,,,,,,,,,,15.753,,,,,,,,,0.195,2.802,0.964,0.908,1.985,1.869,0.197,0.186,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.046,0,0,0,0,2.975,0.207,,
Niger,1865,NER,1067149,,,,,,,,,,,,,,,,,,,,,,,,,,,16.714,,,,,,,,,0.195,2.74,0.961,0.901,1.989,1.864,0.198,0.185,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.045,0,0,0,0,2.924,0.208,,
Niger,1866,NER,1072699,,,,,,,,,,,,,,,,,,,,,,,,,,,17.672,,,,,,,,,0.194,2.681,0.958,0.893,1.993,1.858,0.198,0.184,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.045,0,0,0,0,2.876,0.208,,
Niger,1867,NER,1078274,,,,,,,,,,,,,,,,,,,,,,,,,,,18.626,,,,,,,,,0.194,2.601,0.954,0.885,1.997,1.852,0.198,0.184,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.044,0,0,0,0,2.804,0.209,,
Niger,1868,NER,1083872,,,,,,,,,,,,,,,,,,,,,,,,,,,19.576,,,,,,,,,0.193,2.573,0.95,0.877,2.001,1.846,0.198,0.183,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.044,0,0,0,0,2.789,0.209,,
Niger,1869,NER,1089712,,,,,,,,,,,,,,,,,,,,,,,,,,,20.522,,,,,,,,,0.192,2.517,0.946,0.868,2.005,1.84,0.199,0.182,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.043,0,0,0,0,2.743,0.21,,
Niger,1870,NER,1095798,,,,,,,,,,,,,,,,,,,,,,,,,,,21.552,,,,,,,,,0.192,2.499,1.031,0.94,2.009,1.833,0.199,0.182,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.043,0,0,0,0,2.739,0.21,,
Niger,1871,NER,1102133,,,,,,,,,,,,,,,,,,,,,,,,,,,22.629,,,,,,,,,0.191,2.473,1.076,0.976,2.013,1.826,0.202,0.183,,,,,,,,,,,,,,,,0.037,,,,,0.038,,,0.042,0,0,0,0,2.725,0.211,,
Niger,1872,NER,1108719,,,,,,,,,,,,,,,,,,,,,,,,,,,23.732,,,,,,,,,0.191,2.459,1.104,0.996,2.017,1.819,0.21,0.19,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.042,0,0,0,0,2.726,0.211,,
Niger,1873,NER,1115561,,,,,,,,,,,,,,,,,,,,,,,,,,,24.869,,,,,,,,,0.19,2.441,1.137,1.019,2.021,1.812,0.222,0.199,,,,,,,,,,,,,,,,0.037,,,,,0.038,,,0.041,0,0,0,0,2.723,0.212,,
Niger,1874,NER,1122439,,,,,,,,,,,,,,,,,,,,,,,,,,,26.007,,,,,,,,,0.19,2.418,1.138,1.014,2.025,1.804,0.237,0.211,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.041,0,0,0,0,2.714,0.213,,
Niger,1875,NER,1129354,,,,,,,,,,,,,,,,,,,,,,,,,,,27.149,,,,,,,,,0.189,2.396,1.142,1.011,2.029,1.797,0.253,0.224,,,,,,,,,,,,,,,,0.037,,,,,0.035,,,0.04,0,0,0,0,2.705,0.214,,
Niger,1876,NER,1136307,,,,,,,,,,,,,,,,,,,,,,,,,,,28.295,,,,,,,,,0.189,2.376,1.145,1.008,2.033,1.789,0.27,0.237,,,,,,,,,,,,,,,,0.037,,,,,0.035,,,0.04,0,0,0,0,2.7,0.215,,
Niger,1877,NER,1143297,,,,,,,,,,,,,,,,,,,,,,,,,,,29.447,,,,,,,,,0.189,2.362,1.153,1.008,2.037,1.782,0.285,0.249,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.039,0,0,0,0,2.701,0.216,,
Niger,1878,NER,1150325,,,,,,,,,,,,,,,,,,,,,,,,,,,30.627,,,,,,,,,0.188,2.377,1.18,1.026,2.041,1.775,0.299,0.26,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.039,0,0,0,0,2.734,0.216,,
Niger,1879,NER,1157391,,,,,,,,,,,,,,,,,,,,,,,,,,,31.788,,,,,,,,,0.188,2.323,1.161,1.003,2.045,1.767,0.31,0.268,,,,,,,,,,,,,,,,0.037,,,,,0.036,,,0.038,0,0,0,0,2.689,0.217,,
Niger,1880,NER,1164495,,,,,,,,,,,,,,,,,,,,,,,,,,,33.048,,,,,,,,,0.187,2.356,1.26,1.082,2.05,1.76,0.316,0.272,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,0.038,0,0,0,0,2.744,0.218,,
Niger,1881,NER,1171637,,,,,,,,,,,,,,,,,,,,,,,,,,,34.386,,,,,,,,,0.186,2.352,1.338,1.142,2.054,1.753,0.32,0.273,,,,,,,,,,,,,,,,0.037,,,,,0.04,,,0.037,0,0,0,0,2.756,0.218,,
Niger,1882,NER,1178817,,,,,,,,,,,,,,,,,,,,,,,,,,,35.783,,,,,,,,,0.186,2.354,1.397,1.185,2.058,1.746,0.323,0.274,,,,,,,,,,,,,,,,0.037,,,,,0.039,,,0.037,0,0,0,0,2.775,0.219,,
Niger,1883,NER,1186037,,,,,,,,,,,,,,,,,,,,,,,,,,,37.176,,,,,,,,,0.185,2.334,1.393,1.174,2.062,1.739,0.326,0.275,,,,,,,,,,,,,,,,0.037,,,,,0.04,,,0.036,0,0,0,0,2.769,0.219,,
