country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Nigeria,1850,NGA,13540231,,,,,,,,,,,,,,,,,,,,,,,,,,,8.304,,,,,,,,,0.159,0.778,8.304,0.613,4.428,0.327,0.667,0.049,,,,,,,,,,,,,,,,0.315,,,,,0.315,,,,,,,,10.538,2.148,,
Nigeria,1851,NGA,13610331,,,,,,,,,,,,,,,,,,,,,,,,,,,14.595,,,,,,,,,0.158,0.703,6.291,0.462,4.434,0.326,0.678,0.05,,,,,,,,,,,,,,,,0.267,,,,,0.223,,,0.161,0,0,0,0,9.571,2.157,,
Nigeria,1852,NGA,13680992,,,,,,,,,,,,,,,,,,,,,,,,,,,20.307,,,,,,,,,0.158,0.68,5.713,0.418,4.44,0.325,0.688,0.05,,,,,,,,,,,,,,,,0.244,,,,,0.2,,,0.157,0,0,0,0,9.298,2.166,,
Nigeria,1853,NGA,13752218,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,,,,,,,,,0.158,0.687,5.783,0.421,4.446,0.323,0.698,0.051,,,,,,,,,,,,,,,,0.233,,,,,0.199,,,0.156,0,0,0,0,9.445,2.174,,
Nigeria,1854,NGA,13823789,,,,,,,,,,,,,,,,,,,,,,,,,,,31.16,,,,,,,,,0.158,0.648,5.07,0.367,4.452,0.322,0.708,0.051,,,,,,,,,,,,,,,,0.22,,,,,0.174,,,0.152,0,0,0,0,8.961,2.183,,
Nigeria,1855,NGA,13895706,,,,,,,,,,,,,,,,,,,,,,,,,,,36.176,,,,,,,,,0.158,0.636,5.016,0.361,4.458,0.321,0.717,0.052,,,,,,,,,,,,,,,,0.213,,,,,0.174,,,0.15,0,0,0,0,8.834,2.191,,
Nigeria,1856,NGA,13967972,,,,,,,,,,,,,,,,,,,,,,,,,,,41.171,,,,,,,,,0.157,0.625,4.995,0.358,4.464,0.32,0.726,0.052,,,,,,,,,,,,,,,,0.206,,,,,0.168,,,0.147,0,0,0,0,8.727,2.199,,
Nigeria,1857,NGA,14040588,,,,,,,,,,,,,,,,,,,,,,,,,,,45.976,,,,,,,,,0.157,0.612,4.805,0.342,4.47,0.318,0.733,0.052,,,,,,,,,,,,,,,,0.2,,,,,0.163,,,0.144,0,0,0,0,8.588,2.207,,
Nigeria,1858,NGA,14113556,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74,,,,,,,,,0.157,0.606,4.764,0.338,4.477,0.317,0.74,0.052,,,,,,,,,,,,,,,,0.196,,,,,0.16,,,0.143,0,0,0,0,8.552,2.215,,
Nigeria,1859,NGA,14188092,,,,,,,,,,,,,,,,,,,,,,,,,,,55.506,,,,,,,,,0.157,0.601,4.765,0.336,4.483,0.316,0.746,0.053,,,,,,,,,,,,,,,,0.192,,,,,0.157,,,0.141,0,0,0,0,8.524,2.223,,
