country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
North Korea,1850,PRK,4443855,,,,,,,,,,,,,,,,,,,,,,,,,,,3.297,,,,,,,,,1.902,3.125,3.297,0.742,10.777,2.425,0.185,0.042,,,,,,,,,,,,,,,,0.125,,,,,0.125,,,,,,,,13.885,8.454,,
North Korea,1851,PRK,4458952,,,,,,,,,,,,,,,,,,,,,,,,,,,6.499,,,,,,,,,1.896,3.107,3.202,0.718,10.781,2.418,0.187,0.042,,,,,,,,,,,,,,,,0.119,,,,,0.114,,,0.136,0,0,0,0,13.855,8.456,,
North Korea,1852,PRK,4474069,,,,,,,,,,,,,,,,,,,,,,,,,,,10.003,,,,,,,,,1.891,3.177,3.503,0.783,10.785,2.411,0.19,0.042,,,,,,,,,,,,,,,,0.12,,,,,0.123,,,0.14,0,0,0,0,14.215,8.459,,
North Korea,1853,PRK,4489206,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51,,,,,,,,,1.885,3.18,3.507,0.781,10.789,2.403,0.192,0.043,,,,,,,,,,,,,,,,0.12,,,,,0.121,,,0.141,0,0,0,0,14.274,8.462,,
North Korea,1854,PRK,4504363,,,,,,,,,,,,,,,,,,,,,,,,,,,16.688,,,,,,,,,1.879,3.106,3.178,0.706,10.792,2.396,0.194,0.043,,,,,,,,,,,,,,,,0.118,,,,,0.109,,,0.14,0,0,0,0,13.993,8.464,,
North Korea,1855,PRK,4519541,,,,,,,,,,,,,,,,,,,,,,,,,,,19.901,,,,,,,,,1.873,3.113,3.212,0.711,10.796,2.389,0.197,0.044,,,,,,,,,,,,,,,,0.117,,,,,0.112,,,0.14,0,0,0,0,14.071,8.467,,
North Korea,1856,PRK,4534739,,,,,,,,,,,,,,,,,,,,,,,,,,,23.06,,,,,,,,,1.868,3.1,3.159,0.697,10.8,2.382,0.199,0.044,,,,,,,,,,,,,,,,0.115,,,,,0.106,,,0.139,0,0,0,0,14.056,8.47,,
North Korea,1857,PRK,4549957,,,,,,,,,,,,,,,,,,,,,,,,,,,26.614,,,,,,,,,1.862,3.184,3.554,0.781,10.804,2.375,0.201,0.044,,,,,,,,,,,,,,,,0.116,,,,,0.12,,,0.141,0,0,0,0,14.485,8.473,,
North Korea,1858,PRK,4565195,,,,,,,,,,,,,,,,,,,,,,,,,,,29.81,,,,,,,,,1.856,3.101,3.197,0.7,10.808,2.367,0.203,0.044,,,,,,,,,,,,,,,,0.115,,,,,0.107,,,0.141,0,0,0,0,14.156,8.475,,
North Korea,1859,PRK,4580454,,,,,,,,,,,,,,,,,,,,,,,,,,,33.364,,,,,,,,,1.851,3.174,3.553,0.776,10.812,2.36,0.204,0.045,,,,,,,,,,,,,,,,0.115,,,,,0.117,,,0.141,0,0,0,0,14.537,8.478,,
