country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
North Macedonia,1850,MKD,509765,,,,,,,,,,,,,,,,,,,,,,,,,,,1.324,,,,,,,,,0.124,2.302,1.324,2.598,0.451,0.885,0.041,0.081,,,,,,,,,,,,,,,,0.05,,,,,0.05,,,,,,,,1.174,0.063,,
North Macedonia,1851,MKD,514410,,,,,,,,,,,,,,,,,,,,,,,,,,,2.657,,,,,,,,,0.124,2.277,1.333,2.591,0.454,0.882,0.042,0.082,,,,,,,,,,,,,,,,0.049,,,,,0.047,,,0.025,0,0,0,0,1.171,0.064,,
North Macedonia,1852,MKD,519097,,,,,,,,,,,,,,,,,,,,,,,,,,,4.004,,,,,,,,,0.124,2.259,1.346,2.593,0.456,0.879,0.043,0.082,,,,,,,,,,,,,,,,0.048,,,,,0.047,,,0.025,0,0,0,0,1.173,0.064,,
North Macedonia,1853,MKD,523827,,,,,,,,,,,,,,,,,,,,,,,,,,,5.358,,,,,,,,,0.123,2.233,1.355,2.586,0.459,0.876,0.043,0.083,,,,,,,,,,,,,,,,0.048,,,,,0.047,,,0.025,0,0,0,0,1.17,0.065,,
North Macedonia,1854,MKD,528600,,,,,,,,,,,,,,,,,,,,,,,,,,,6.723,,,,,,,,,0.123,2.21,1.365,2.582,0.462,0.874,0.044,0.084,,,,,,,,,,,,,,,,0.048,,,,,0.047,,,0.025,0,0,0,0,1.168,0.065,,
North Macedonia,1855,MKD,533416,,,,,,,,,,,,,,,,,,,,,,,,,,,8.097,,,,,,,,,0.123,2.187,1.375,2.577,0.464,0.871,0.045,0.084,,,,,,,,,,,,,,,,0.048,,,,,0.048,,,0.025,0,0,0,0,1.167,0.065,,
North Macedonia,1856,MKD,538276,,,,,,,,,,,,,,,,,,,,,,,,,,,9.483,,,,,,,,,0.122,2.167,1.385,2.574,0.467,0.868,0.045,0.084,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.025,0,0,0,0,1.166,0.066,,
North Macedonia,1857,MKD,543180,,,,,,,,,,,,,,,,,,,,,,,,,,,10.881,,,,,,,,,0.122,2.152,1.398,2.574,0.47,0.865,0.046,0.084,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.025,0,0,0,0,1.169,0.066,,
North Macedonia,1858,MKD,548129,,,,,,,,,,,,,,,,,,,,,,,,,,,12.291,,,,,,,,,0.122,2.135,1.41,2.572,0.473,0.862,0.046,0.084,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.024,0,0,0,0,1.17,0.067,,
North Macedonia,1859,MKD,553123,,,,,,,,,,,,,,,,,,,,,,,,,,,13.709,,,,,,,,,0.121,2.112,1.418,2.564,0.475,0.859,0.047,0.084,,,,,,,,,,,,,,,,0.047,,,,,0.047,,,0.024,0,0,0,0,1.168,0.067,,
