country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
OECD (Jones et al.),1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.446,,72.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.797,408.387,,
OECD (Jones et al.),1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.97,,74.017,,,,,,,,,,,,,,,,,,,,,,,,,47.534,0,0.001,0.001,0,1944.665,411.068,,
OECD (Jones et al.),1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.395,,75.242,,,,,,,,,,,,,,,,,,,,,,,,,47.85,0,0.001,0.002,0,1993.423,422.42,,
OECD (Jones et al.),1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.662,,76.426,,,,,,,,,,,,,,,,,,,,,,,,,47.697,0.001,0.002,0.003,0,1987.948,435.436,,
OECD (Jones et al.),1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.913,,77.551,,,,,,,,,,,,,,,,,,,,,,,,,47.897,0.001,0.003,0.004,0,2049.898,481.587,,
OECD (Jones et al.),1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.064,,78.602,,,,,,,,,,,,,,,,,,,,,,,,,48.117,0.001,0.003,0.005,0,2057.313,488.713,,
OECD (Jones et al.),1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.516,,79.563,,,,,,,,,,,,,,,,,,,,,,,,,48.208,0.001,0.004,0.006,0,2097.993,510.851,,
OECD (Jones et al.),1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.143,,80.419,,,,,,,,,,,,,,,,,,,,,,,,,48.444,0.002,0.005,0.007,0,2142.807,515.409,,
OECD (Jones et al.),1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.404,,81.151,,,,,,,,,,,,,,,,,,,,,,,,,48.695,0.002,0.006,0.008,0,2184.81,520.165,,
OECD (Jones et al.),1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.198,,81.746,,,,,,,,,,,,,,,,,,,,,,,,,48.969,0.002,0.006,0.009,0,2252.944,541.753,,
