country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Palestine,1850,PSE,169606,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004,,,,,,,,,,,-0.004,-0.023,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
Palestine,1851,PSE,170431,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,,,,,,,,,,,-0.005,-0.03,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1852,PSE,171347,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.015,,,,,,,,,,,-0.006,-0.035,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1853,PSE,172357,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022,,,,,,,,,,,-0.007,-0.04,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1854,PSE,173460,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,,,,,,,-0.008,-0.044,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1855,PSE,174659,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,,,,,,,,,,,-0.008,-0.048,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1856,PSE,175953,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047,,,,,,,,,,,-0.009,-0.051,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1857,PSE,177345,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,,,,,,,,,,,-0.01,-0.055,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1858,PSE,178835,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.067,,,,,,,,,,,-0.01,-0.058,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1859,PSE,180424,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,,,,,,,,,,,-0.011,-0.062,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1860,PSE,182114,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092,,,,,,,,,,,-0.014,-0.076,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,0,0,,,,,
Palestine,1861,PSE,183906,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.108,,,,,,,,,,,-0.016,-0.088,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
Palestine,1862,PSE,185735,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.127,,,,,,,,,,,-0.018,-0.099,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
Palestine,1863,PSE,187603,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.147,,,,,,,,,,,-0.021,-0.11,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
Palestine,1864,PSE,189509,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,,,,,,,,,,,-0.023,-0.12,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
Palestine,1865,PSE,191455,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.195,,,,,,,,,,,-0.025,-0.129,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
Palestine,1866,PSE,193441,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.221,,,,,,,,,,,-0.027,-0.137,,,,,,,,,,,,,,,,,,,,0,,,,,-0.001,,,0,,0,0,,,,,
