country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Panama,1850,PAN,109736,,,,,,,,,,,,,,,,,,,,,,,,,,,3.429,,,,,,,,,0.481,25.509,3.429,31.247,0.22,2.006,0.022,0.199,,,,,,,,,,,,,,,,0.13,,,,,0.13,,,,,,,,2.799,0.053,,
Panama,1851,PAN,111620,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,0.479,24.371,3.161,28.322,0.223,2.002,0.022,0.199,,,,,,,,,,,,,,,,0.121,,,,,0.112,,,0.066,0,0,0,0,2.72,0.053,,
Panama,1852,PAN,113916,,,,,,,,,,,,,,,,,,,,,,,,,,,9.949,,,,,,,,,0.476,25.384,3.359,29.487,0.227,1.991,0.023,0.198,,,,,,,,,,,,,,,,0.12,,,,,0.118,,,0.068,0,0,0,0,2.892,0.054,,
Panama,1853,PAN,116636,,,,,,,,,,,,,,,,,,,,,,,,,,,13.707,,,,,,,,,0.471,26.625,3.758,32.216,0.23,1.973,0.023,0.195,,,,,,,,,,,,,,,,0.122,,,,,0.129,,,0.07,0,0,0,0,3.105,0.055,,
Panama,1854,PAN,119422,,,,,,,,,,,,,,,,,,,,,,,,,,,17.108,,,,,,,,,0.466,23.292,3.401,28.478,0.233,1.954,0.023,0.193,,,,,,,,,,,,,,,,0.121,,,,,0.117,,,0.069,0,0,0,0,2.782,0.056,,
Panama,1855,PAN,122274,,,,,,,,,,,,,,,,,,,,,,,,,,,20.349,,,,,,,,,0.461,23.189,3.241,26.506,0.237,1.936,0.023,0.191,,,,,,,,,,,,,,,,0.12,,,,,0.113,,,0.068,0,0,0,0,2.835,0.056,,
Panama,1856,PAN,125194,,,,,,,,,,,,,,,,,,,,,,,,,,,23.553,,,,,,,,,0.456,21.594,3.205,25.599,0.24,1.917,0.024,0.189,,,,,,,,,,,,,,,,0.118,,,,,0.108,,,0.067,0,0,0,0,2.703,0.057,,
Panama,1857,PAN,128184,,,,,,,,,,,,,,,,,,,,,,,,,,,26.591,,,,,,,,,0.45,20.938,3.038,23.697,0.243,1.899,0.024,0.186,,,,,,,,,,,,,,,,0.116,,,,,0.103,,,0.066,0,0,0,0,2.684,0.058,,
Panama,1858,PAN,131245,,,,,,,,,,,,,,,,,,,,,,,,,,,29.936,,,,,,,,,0.445,21.856,3.345,25.487,0.247,1.88,0.024,0.184,,,,,,,,,,,,,,,,0.116,,,,,0.112,,,0.066,0,0,0,0,2.869,0.058,,
Panama,1859,PAN,134379,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82,,,,,,,,,0.44,19.089,2.884,21.46,0.25,1.861,0.024,0.181,,,,,,,,,,,,,,,,0.113,,,,,0.095,,,0.065,0,0,0,0,2.565,0.059,,
