country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Paraguay,1850,PRY,344865,,,,,,,,,,,,,,,,,,,,,,,,,,,3.052,,,,,,,,,0.304,9.215,3.052,8.85,1.105,3.205,0.043,0.126,,,,,,,,,,,,,,,,0.116,,,,,0.116,,,,,,,,3.178,0.105,,
Paraguay,1851,PRY,350007,,,,,,,,,,,,,,,,,,,,,,,,,,,5.705,,,,,,,,,0.301,8.311,2.653,7.581,1.111,3.173,0.044,0.126,,,,,,,,,,,,,,,,0.105,,,,,0.094,,,0.09,0,0,0,0,2.909,0.105,,
Paraguay,1852,PRY,353485,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,,,0.3,7.947,2.465,6.972,1.116,3.158,0.045,0.127,,,,,,,,,,,,,,,,0.098,,,,,0.086,,,0.088,0,0,0,0,2.809,0.106,,
Paraguay,1853,PRY,355236,,,,,,,,,,,,,,,,,,,,,,,,,,,10.491,,,,,,,,,0.3,7.77,2.321,6.535,1.122,3.157,0.046,0.129,,,,,,,,,,,,,,,,0.093,,,,,0.08,,,0.086,0,0,0,0,2.76,0.107,,
Paraguay,1854,PRY,356996,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,,0.301,7.659,2.239,6.27,1.127,3.157,0.047,0.131,,,,,,,,,,,,,,,,0.09,,,,,0.077,,,0.084,0,0,0,0,2.734,0.107,,
Paraguay,1855,PRY,358765,,,,,,,,,,,,,,,,,,,,,,,,,,,14.934,,,,,,,,,0.301,7.59,2.204,6.143,1.132,3.156,0.047,0.132,,,,,,,,,,,,,,,,0.088,,,,,0.077,,,0.082,0,0,0,0,2.723,0.108,,
Paraguay,1856,PRY,360543,,,,,,,,,,,,,,,,,,,,,,,,,,,17.075,,,,,,,,,0.301,7.47,2.142,5.94,1.138,3.156,0.048,0.133,,,,,,,,,,,,,,,,0.085,,,,,0.072,,,0.081,0,0,0,0,2.693,0.108,,
Paraguay,1857,PRY,362329,,,,,,,,,,,,,,,,,,,,,,,,,,,19.18,,,,,,,,,0.301,7.377,2.105,5.808,1.143,3.155,0.049,0.134,,,,,,,,,,,,,,,,0.084,,,,,0.071,,,0.08,0,0,0,0,2.673,0.109,,
Paraguay,1858,PRY,364124,,,,,,,,,,,,,,,,,,,,,,,,,,,21.258,,,,,,,,,0.301,7.299,2.078,5.707,1.148,3.154,0.049,0.135,,,,,,,,,,,,,,,,0.082,,,,,0.07,,,0.078,0,0,0,0,2.658,0.11,,
Paraguay,1859,PRY,365928,,,,,,,,,,,,,,,,,,,,,,,,,,,23.332,,,,,,,,,0.301,7.25,2.074,5.667,1.154,3.153,0.049,0.135,,,,,,,,,,,,,,,,0.081,,,,,0.068,,,0.077,0,0,0,0,2.653,0.11,,
