country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Peru,1850,PER,3227122,1890945024,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,,,,,,,,,0.176,2.858,7.48,2.318,2.645,0.819,0.159,0.049,,,,,,,,,,,,,,,,0.283,,,,,0.283,,,,,,,,9.224,0.568,,
Peru,1851,PER,3226130,,,,,,,,,,,,,,,,,,,,,,,,,,,10.728,,,,,,,,,0.179,1.559,3.248,1.007,2.684,0.832,0.161,0.05,,,,,,,,,,,,,,,,0.197,,,,,0.115,,,0.138,0,0,0,0,5.028,0.576,,
Peru,1852,PER,3178284,,,,,,,,,,,,,,,,,,,,,,,,,,,18.646,,,,,,,,,0.184,2.906,7.918,2.491,2.724,0.857,0.164,0.052,,,,,,,,,,,,,,,,0.224,,,,,0.277,,,0.188,0,0,0,0,9.237,0.584,,
Peru,1853,PER,3082835,,,,,,,,,,,,,,,,,,,,,,,,,,,30.883,,,,,,,,,0.192,4.451,12.237,3.969,2.763,0.896,0.166,0.054,,,,,,,,,,,,,,,,0.275,,,,,0.421,,,0.239,0,0,0,0,13.721,0.592,,
Peru,1854,PER,2990253,,,,,,,,,,,,,,,,,,,,,,,,,,,36.342,,,,,,,,,0.201,2.379,5.459,1.826,2.803,0.937,0.168,0.056,,,,,,,,,,,,,,,,0.257,,,,,0.187,,,0.225,0,0,0,0,7.113,0.601,,
Peru,1855,PER,2900451,,,,,,,,,,,,,,,,,,,,,,,,,,,44.151,,,,,,,,,0.21,3.281,7.809,2.692,2.842,0.98,0.171,0.059,,,,,,,,,,,,,,,,0.259,,,,,0.271,,,0.228,0,0,0,0,9.516,0.609,,
Peru,1856,PER,2813346,,,,0.051,,,8.208,,,2.917,,,0.018,,,0.051,0.018,,,,,0.051,8.208,0.051,,,52.308,,,,,,,,,0.238,3.611,8.157,2.899,2.883,1.025,0.173,0.061,,,,,,,0.018,0.253,0.018,,0.001,0.038,0.001,,,0.262,,,,,0.275,,,0.231,0,0,0,0,10.16,0.669,,
Peru,1857,PER,2728857,,,,0.062,0.011,22.53,7.61,-0.597,-7.277,2.789,,,0.023,,,0.062,0.023,,,,,0.113,15.818,0.113,,,59.856,,,,,,,,,0.252,3.543,7.548,2.766,2.922,1.071,0.174,0.064,,,,,,,0.022,0.235,0.022,,0.002,0.064,0.002,,,0.261,,,,,0.256,,,0.232,0,0,0,0,9.669,0.688,,
Peru,1858,PER,2646905,,,,0.045,-0.017,-27.691,5.488,-2.122,-27.888,2.073,,,0.017,,,0.045,0.017,,,,,0.158,21.306,0.158,,,65.299,,,,,,,,,0.256,2.742,5.443,2.056,2.961,1.119,0.176,0.066,,,,,,,0.016,0.168,0.016,,0.002,0.076,0.002,,,0.252,,,,,0.183,,,0.226,0,0,0,0,7.258,0.678,,
Peru,1859,PER,2584669,,,,0.033,-0.012,-25.976,8.336,2.848,51.9,3.225,,,0.013,,,0.033,0.013,,,,,0.191,29.642,0.191,,,73.602,,,,,,,,,0.261,3.852,8.303,3.212,3.001,1.161,0.177,0.069,,,,,,,0.011,0.249,0.011,,0.003,0.094,0.003,,,0.254,,,,,0.273,,,0.228,0,0,0,0,9.956,0.674,,
Peru,1860,PER,2541637,,,,0.058,0.024,73.493,6.665,-1.672,-20.053,2.622,,,0.023,,,0.058,0.023,,,,,0.249,36.307,0.249,,,80.209,,,,,,,,,0.278,3.394,6.607,2.599,3.04,1.196,0.178,0.07,,,,,,,0.017,0.214,0.017,,0.003,0.105,0.003,,,0.253,,,,,0.238,,,0.227,0,0,0,0,8.626,0.706,,
Peru,1861,PER,2517312,,,,0.08,0.023,39.31,9.516,2.852,42.79,3.78,,,0.032,,,0.08,0.032,,,,,0.329,45.823,0.329,,,89.645,,,,,,,,,0.293,4.574,9.436,3.748,3.079,1.223,0.179,0.071,,,,,,,0.023,0.305,0.023,,0.004,0.122,0.004,,,0.26,,,,,0.341,,,0.233,0,0,0,0,11.515,0.737,,
Peru,1862,PER,2511215,,,,0.071,-0.01,-12.177,8.669,-0.847,-8.905,3.452,,,0.028,,,0.071,0.028,,,,,0.4,54.492,0.4,,,98.243,,,,,,,,,0.293,4.306,8.598,3.424,3.119,1.242,0.18,0.072,,,,,,,0.02,0.28,0.02,,0.005,0.134,0.005,,,0.264,,,,,0.314,,,0.236,0,0,0,0,10.814,0.735,,
Peru,1863,PER,2522878,,,,0.071,0,0.112,6.836,-1.833,-21.149,2.709,,,0.028,,,0.071,0.028,,,,,0.471,61.327,0.471,,,105.008,,,,,,,,,0.294,3.546,6.765,2.681,3.158,1.252,0.181,0.072,,,,,,,0.019,0.221,0.019,,0.006,0.14,0.006,,,0.263,,,,,0.25,,,0.235,0,0,0,0,8.946,0.743,,
Peru,1864,PER,2534595,,,,0.129,0.058,82.13,9.423,2.587,37.852,3.718,,,0.051,,,0.129,0.051,,,,,0.599,70.75,0.599,,,114.302,,,,,,,,,0.319,4.583,9.294,3.667,3.198,1.262,0.182,0.072,,,,,,,0.031,0.311,0.032,,0.007,0.151,0.007,,,0.269,,,,,0.355,,,0.24,0,0,0,0,11.617,0.809,,
Peru,1865,PER,2546366,,,,0.138,0.009,7.236,8.203,-1.22,-12.947,3.221,,,0.054,,,0.138,0.054,,,,,0.737,78.953,0.737,,,122.367,,,,,,,,,0.324,4.011,8.065,3.167,3.238,1.271,0.183,0.072,,,,,,,0.032,0.273,0.032,,0.008,0.158,0.008,,,0.271,,,,,0.314,,,0.241,0,0,0,0,10.213,0.826,,
Peru,1866,PER,2558193,,,,0.163,0.025,18.291,6.541,-1.662,-20.263,2.557,,,0.064,,,0.163,0.064,,,,,0.901,85.494,0.901,,,128.744,,,,,,,,,0.336,3.376,6.377,2.493,3.277,1.281,0.184,0.072,,,,,,,0.036,0.214,0.037,,0.009,0.162,0.009,,,0.27,,,,,0.245,,,0.24,0,0,0,0,8.638,0.859,,
Peru,1867,PER,2570074,,,,0.091,-0.072,-44.172,8.691,2.15,32.875,3.382,,,0.035,,,0.091,0.035,,,,,0.992,94.185,0.992,,,137.344,,,,,,,,,0.309,4.224,8.6,3.346,3.317,1.291,0.185,0.072,,,,,,,0.019,0.285,0.019,,0.01,0.168,0.01,,,0.273,,,,,0.335,,,0.242,0,0,0,0,10.857,0.795,,
