country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Philippines,1850,PHL,3616131,,,,,,,,,,,,,,,,,,,,,,,,,,,58.571,,,,,,,,,0.242,12.227,58.571,16.197,4.719,1.305,0.332,0.092,,,,,,,,,,,,,,,,2.22,,,,,2.22,,,,,,,,44.214,0.875,,
Philippines,1851,PHL,3668487,,,,,,,,,,,,,,,,,,,,,,,,,,,129.62,,,,,,,,,0.243,14.991,71.049,19.367,4.813,1.312,0.337,0.092,,,,,,,,,,,,,,,,2.375,,,,,2.52,,,1.388,0,0,0,0,54.995,0.89,,
Philippines,1852,PHL,3722665,,,,,,,,,,,,,,,,,,,,,,,,,,,189.155,,,,,,,,,0.243,12.616,59.534,15.992,4.908,1.318,0.342,0.092,,,,,,,,,,,,,,,,2.275,,,,,2.083,,,1.285,0,0,0,0,46.963,0.906,,
Philippines,1853,PHL,3778702,,,,,,,,,,,,,,,,,,,,,,,,,,,267.638,,,,,,,,,0.244,16.888,78.484,20.77,5.002,1.324,0.347,0.092,,,,,,,,,,,,,,,,2.385,,,,,2.701,,,1.379,0,0,0,0,63.813,0.921,,
Philippines,1854,PHL,3835568,,,,,,,,,,,,,,,,,,,,,,,,,,,328.054,,,,,,,,,0.244,12.857,60.416,15.751,5.097,1.329,0.351,0.092,,,,,,,,,,,,,,,,2.321,,,,,2.073,,,1.334,0,0,0,0,49.313,0.936,,
Philippines,1855,PHL,3893276,,,,,,,,,,,,,,,,,,,,,,,,,,,390.526,,,,,,,,,0.244,13.279,62.472,16.046,5.191,1.333,0.356,0.091,,,,,,,,,,,,,,,,2.295,,,,,2.17,,,1.321,0,0,0,0,51.7,0.952,,
Philippines,1856,PHL,3951836,,,,,,,,,,,,,,,,,,,,,,,,,,,450.959,,,,,,,,,0.245,11.546,60.433,15.292,5.286,1.338,0.36,0.091,,,,,,,,,,,,,,,,2.257,,,,,2.036,,,1.283,0,0,0,0,45.629,0.967,,
Philippines,1857,PHL,4011262,,,,,,,,,,,,,,,,,,,,,,,,,,,518.842,,,,,,,,,0.245,13.724,67.884,16.923,5.38,1.341,0.364,0.091,,,,,,,,,,,,,,,,2.262,,,,,2.3,,,1.289,0,0,0,0,55.05,0.982,,
Philippines,1858,PHL,4071566,,,,,,,,,,,,,,,,,,,,,,,,,,,582.663,,,,,,,,,0.245,12.904,63.821,15.675,5.475,1.345,0.367,0.09,,,,,,,,,,,,,,,,2.249,,,,,2.145,,,1.286,0,0,0,0,52.539,0.998,,
Philippines,1859,PHL,4132760,,,,,,,,,,,,,,,,,,,,,,,,,,,645.946,,,,,,,,,0.245,12.679,63.283,15.313,5.57,1.348,0.37,0.089,,,,,,,,,,,,,,,,2.231,,,,,2.083,,,1.28,0,0,0,0,52.4,1.013,,
Philippines,1860,PHL,4194858,,,,,,,,,,,,,,,,,,,,,,,,,,,704.974,,,,,,,,,0.245,11.9,59.027,14.071,5.665,1.35,0.372,0.089,,,,,,,,,,,,,,,,2.222,,,,,2.123,,,1.276,0,0,0,0,49.918,1.028,,
Philippines,1861,PHL,4257873,,,,,,,,,,,,,,,,,,,,,,,,,,,762.516,,,,,,,,,0.245,11.204,57.542,13.514,5.759,1.353,0.374,0.088,,,,,,,,,,,,,,,,2.21,,,,,2.079,,,1.267,0,0,0,0,47.704,1.044,,
Philippines,1862,PHL,4321817,,,,,,,,,,,,,,,,,,,,,,,,,,,824.275,,,,,,,,,0.245,12.274,61.759,14.29,5.854,1.355,0.376,0.087,,,,,,,,,,,,,,,,2.214,,,,,2.254,,,1.271,0,0,0,0,53.045,1.059,,
Philippines,1863,PHL,4386704,,,,,,,,,,,,,,,,,,,,,,,,,,,888.326,,,,,,,,,0.245,11.915,64.051,14.601,5.949,1.356,0.378,0.086,,,,,,,,,,,,,,,,2.224,,,,,2.366,,,1.273,0,0,0,0,52.266,1.074,,
Philippines,1864,PHL,4452548,,,,,,,,,,,,,,,,,,,,,,,,,,,944.796,,,,,,,,,0.245,10.135,56.471,12.683,6.044,1.357,0.38,0.085,,,,,,,,,,,,,,,,2.22,,,,,2.156,,,1.263,0,0,0,0,45.128,1.089,,
