country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Poland,1800,POL,9000000,,,,0.407,,,,,,,,,0.045,,,0.407,0.045,,,,,0.407,,0.407,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.24,,1.24,,0.051,,0.051,,,,,,,,,,,,,,,,,,,
Poland,1801,POL,9066429,,,,0.443,0.037,9.009,,,,,,,0.049,,,0.443,0.049,,,,,0.85,,0.85,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.386,,1.386,,0.103,,0.103,,,,,,,,,,,,,,,,,,,
Poland,1802,POL,9133349,,,,0.451,0.007,1.653,,,,,,,0.049,,,0.451,0.049,,,,,1.301,,1.301,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.118,,1.118,,0.151,,0.151,,,,,,,,,,,,,,,,,,,
Poland,1803,POL,9200762,,,,0.462,0.011,2.439,,,,,,,0.05,,,0.462,0.05,,,,,1.762,,1.762,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.563,,1.563,,0.197,,0.197,,,,,,,,,,,,,,,,,,,
Poland,1804,POL,9268673,,,,0.458,-0.004,-0.794,,,,,,,0.049,,,0.458,0.049,,,,,2.22,,2.22,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.442,,1.442,,0.24,,0.24,,,,,,,,,,,,,,,,,,,
Poland,1805,POL,9337085,,,,0.572,0.114,24.8,,,,,,,0.061,,,0.572,0.061,,,,,2.792,,2.792,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.829,,1.829,,0.292,,0.292,,,,,,,,,,,,,,,,,,,
Poland,1806,POL,9406002,,,,0.52,-0.051,-8.974,,,,,,,0.055,,,0.52,0.055,,,,,3.312,,3.312,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.591,,1.591,,0.335,,0.335,,,,,,,,,,,,,,,,,,,
Poland,1807,POL,9475428,,,,0.377,-0.143,-27.465,,,,,,,0.04,,,0.377,0.04,,,,,3.69,,3.69,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.043,,1.043,,0.36,,0.36,,,,,,,,,,,,,,,,,,,
Poland,1808,POL,9545366,,,,0.502,0.125,33.01,,,,,,,0.053,,,0.502,0.053,,,,,4.192,,4.192,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.414,,1.414,,0.395,,0.395,,,,,,,,,,,,,,,,,,,
Poland,1809,POL,9615821,,,,0.473,-0.029,-5.839,,,,,,,0.049,,,0.473,0.049,,,,,4.664,,4.664,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.301,,1.301,,0.425,,0.425,,,,,,,,,,,,,,,,,,,
Poland,1810,POL,9687319,,,,0.568,0.095,20.155,,,,,,,0.059,,,0.568,0.059,,,,,5.232,,5.232,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.438,,1.438,,0.46,,0.46,,,,,,,,,,,,,,,,,,,
Poland,1811,POL,9758821,,,,0.59,0.022,3.871,,,,,,,0.06,,,0.59,0.06,,,,,5.822,,5.822,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.468,,1.468,,0.495,,0.495,,,,,,,,,,,,,,,,,,,
Poland,1812,POL,9830851,,,,0.454,-0.136,-22.981,,,,,,,0.046,,,0.454,0.046,,,,,6.276,,6.276,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.113,,1.113,,0.515,,0.515,,,,,,,,,,,,,,,,,,,
Poland,1813,POL,9903413,,,,0.381,-0.073,-16.129,,,,,,,0.038,,,0.381,0.038,,,,,6.657,,6.657,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.925,,0.925,,0.529,,0.529,,,,,,,,,,,,,,,,,,,
Poland,1814,POL,9976510,,,,0.502,0.121,31.731,,,,,,,0.05,,,0.502,0.05,,,,,7.159,,7.159,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.189,,1.189,,0.55,,0.55,,,,,,,,,,,,,,,,,,,
Poland,1815,POL,10050147,,,,0.59,0.088,17.518,,,,,,,0.059,,,0.59,0.059,,,,,7.749,,7.749,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.353,,1.353,,0.576,,0.576,,,,,,,,,,,,,,,,,,,
Poland,1816,POL,10124327,,,,0.678,0.088,14.907,,,,,,,0.067,,,0.678,0.067,,,,,8.427,,8.427,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.49,,1.49,,0.606,,0.606,,,,,,,,,,,,,,,,,,,
Poland,1817,POL,10199055,,,,0.744,0.066,9.73,,,,,,,0.073,,,0.744,0.073,,,,,9.171,,9.171,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.509,,1.509,,0.637,,0.637,,,,,,,,,,,,,,,,,,,
Poland,1818,POL,10274334,,,,0.923,0.18,24.138,,,,,,,0.09,,,0.923,0.09,,,,,10.094,,10.094,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.797,,1.797,,0.677,,0.677,,,,,,,,,,,,,,,,,,,
Poland,1819,POL,10350171,,,,0.758,-0.165,-17.857,,,,,,,0.073,,,0.758,0.073,,,,,10.853,,10.853,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.489,,1.489,,0.704,,0.704,,,,,,,,,,,,,,,,,,,
Poland,1820,POL,10426570,8528467968,,,0.747,-0.011,-1.449,,,,,,,0.072,0.088,,0.747,0.072,,,,,11.6,,11.6,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.473,,1.473,,0.728,,0.728,,,,,,,,,,,,,,,,,,,
Poland,1821,POL,10503535,,,,0.828,0.081,10.784,,,,,,,0.079,,,0.828,0.079,,,,,12.428,,12.428,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.591,,1.591,,0.756,,0.756,,,,,,,,,,,,,,,,,,,
Poland,1822,POL,10581070,,,,0.909,0.081,9.735,,,,,,,0.086,,,0.909,0.086,,,,,13.337,,13.337,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.682,,1.682,,0.785,,0.785,,,,,,,,,,,,,,,,,,,
Poland,1823,POL,10659180,,,,1.22,0.311,34.274,,,,,,,0.114,,,1.22,0.114,,,,,14.557,,14.557,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,2.165,,2.165,,0.829,,0.829,,,,,,,,,,,,,,,,,,,
Poland,1824,POL,10737866,,,,1.275,0.055,4.505,,,,,,,0.119,,,1.275,0.119,,,,,15.832,,15.832,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,2.214,,2.214,,0.873,,0.873,,,,,,,,,,,,,,,,,,,
Poland,1825,POL,10817133,,,,1.326,0.051,4.023,,,,,,,0.123,,,1.326,0.123,,,,,17.159,,17.159,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,2.184,,2.184,,0.916,,0.916,,,,,,,,,,,,,,,,,,,
Poland,1826,POL,10896985,,,,1.22,-0.106,-8.011,,,,,,,0.112,,,1.22,0.112,,,,,18.379,,18.379,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.988,,1.988,,0.95,,0.95,,,,,,,,,,,,,,,,,,,
