country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Portugal,1850,PRT,3820021,5609052160,,,,,,,,,,,,,,,,,,,,,,,,,,2.148,,,,,,,,,0.241,1.226,2.148,0.562,2.859,0.748,0.22,0.058,,,,,,,,,,,,,,,,0.081,,,,,0.081,,,,,,,,4.683,0.921,,
Portugal,1851,PRT,3835328,,,,,,,,,,,,,,,,,,,,,,,,,,,4.424,,,,,,,,,0.242,1.228,2.276,0.593,2.88,0.751,0.224,0.058,,,,,,,,,,,,,,,,0.081,,,,,0.081,,,0.096,0,0,0,0,4.71,0.928,,
Portugal,1852,PRT,3852025,,,,,,,,,,,,,,,,,,,,,,,,,,,6.778,,,,,,,,,0.243,1.221,2.353,0.611,2.901,0.753,0.228,0.059,,,,,,,,,,,,,,,,0.082,,,,,0.082,,,0.095,0,0,0,0,4.704,0.935,,
Portugal,1853,PRT,3870122,,,,,,,,,,,,,,,,,,,,,,,,,,,9.186,,,,,,,,,0.243,1.216,2.408,0.622,2.922,0.755,0.232,0.06,,,,,,,,,,,,,,,,0.082,,,,,0.083,,,0.095,0,0,0,0,4.706,0.942,,
Portugal,1854,PRT,3888303,,,,,,,,,,,,,,,,,,,,,,,,,,,11.647,,,,,,,,,0.244,1.215,2.461,0.633,2.943,0.757,0.236,0.061,,,,,,,,,,,,,,,,0.082,,,,,0.084,,,0.094,0,0,0,0,4.722,0.949,,
Portugal,1855,PRT,3906571,5665155072,,,,,,,,,,,,,,,,,,,,,,,,,,14.143,,,,,,,,,0.245,1.211,2.496,0.639,2.965,0.759,0.239,0.061,,,,,,,,,,,,,,,,0.083,,,,,0.087,,,0.094,0,0,0,0,4.731,0.955,,
Portugal,1856,PRT,3924924,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,,,,,,,,,0.245,1.21,2.536,0.646,2.986,0.761,0.242,0.062,,,,,,,,,,,,,,,,0.083,,,,,0.085,,,0.094,0,0,0,0,4.749,0.962,,
Portugal,1857,PRT,3943363,,,,,,,,,,,,,,,,,,,,,,,,,,,19.244,,,,,,,,,0.246,1.207,2.564,0.65,3.007,0.763,0.245,0.062,,,,,,,,,,,,,,,,0.084,,,,,0.087,,,0.094,0,0,0,0,4.76,0.969,,
Portugal,1858,PRT,3961889,,,,,,,,,,,,,,,,,,,,,,,,,,,21.834,,,,,,,,,0.247,1.206,2.59,0.654,3.03,0.765,0.247,0.062,,,,,,,,,,,,,,,,0.084,,,,,0.087,,,0.094,0,0,0,0,4.777,0.977,,
Portugal,1859,PRT,3983036,,,,,,,,,,,,,,,,,,,,,,,,,,,24.441,,,,,,,,,0.247,1.202,2.607,0.655,3.052,0.766,0.249,0.062,,,,,,,,,,,,,,,,0.084,,,,,0.086,,,0.094,0,0,0,0,4.787,0.985,,
