country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Qatar,1850,QAT,14092,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.446,1.742,0,-0.005,0.011,0.756,0.014,1.002,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0.025,0.02,,
Qatar,1851,QAT,14079,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.463,1.763,0,-0.005,0.011,0.759,0.014,1.018,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.025,0.021,,
Qatar,1852,QAT,14065,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.481,1.783,0,-0.005,0.011,0.763,0.015,1.034,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.025,0.021,,
Qatar,1853,QAT,14052,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.497,1.804,0,-0.005,0.011,0.767,0.015,1.049,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.025,0.021,,
Qatar,1854,QAT,14039,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.513,1.823,0,-0.005,0.011,0.77,0.015,1.064,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.026,0.021,,
Qatar,1855,QAT,14025,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1.529,1.84,0,-0.008,0.011,0.774,0.015,1.079,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.026,0.021,,
Qatar,1856,QAT,14012,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,1.544,1.858,0,-0.008,0.011,0.778,0.015,1.092,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.026,0.022,,
Qatar,1857,QAT,13999,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,1.558,1.875,0,-0.008,0.011,0.781,0.015,1.105,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.026,0.022,,
Qatar,1858,QAT,13985,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,1.57,1.889,0,-0.008,0.011,0.785,0.016,1.116,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.026,0.022,,
Qatar,1859,QAT,13972,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001,,,,,,,,,1.582,1.904,0,-0.008,0.011,0.788,0.016,1.126,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.027,0.022,,
