country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Romania,1850,ROU,7997430,,,,,,,,,,,,,,,,,,,,,,,,,,,23.804,,,,,,,,,0.317,2.886,23.804,2.976,9.667,1.209,0.451,0.056,,,,,,,,,,,,,,,,0.902,,,,,0.902,,,,,,,,23.078,2.535,,
Romania,1851,ROU,8054479,,,,,,,,,,,,,,,,,,,,,,,,,,,47.889,,,,,,,,,0.317,2.865,24.086,2.99,9.738,1.209,0.459,0.057,,,,,,,,,,,,,,,,0.877,,,,,0.854,,,0.5,0,0,0,0,23.078,2.555,,
Romania,1852,ROU,8110934,,,,,,,,,,,,,,,,,,,,,,,,,,,72.392,,,,,,,,,0.317,2.871,24.503,3.021,9.809,1.209,0.466,0.057,,,,,,,,,,,,,,,,0.871,,,,,0.858,,,0.5,0,0,0,0,23.29,2.574,,
Romania,1853,ROU,8166784,,,,,,,,,,,,,,,,,,,,,,,,,,,97.214,,,,,,,,,0.318,2.868,24.821,3.039,9.88,1.21,0.473,0.058,,,,,,,,,,,,,,,,0.866,,,,,0.854,,,0.499,0,0,0,0,23.422,2.593,,
Romania,1854,ROU,8223019,,,,,,,,,,,,,,,,,,,,,,,,,,,121.772,,,,,,,,,0.318,2.796,24.558,2.987,9.951,1.21,0.479,0.058,,,,,,,,,,,,,,,,0.861,,,,,0.843,,,0.494,0,0,0,0,22.988,2.613,,
Romania,1855,ROU,8279640,,,,,,,,,,,,,,,,,,,,,,,,,,,146.181,,,,,,,,,0.318,2.74,24.409,2.948,10.022,1.21,0.486,0.059,,,,,,,,,,,,,,,,0.859,,,,,0.848,,,0.491,0,0,0,0,22.682,2.632,,
Romania,1856,ROU,8336652,,,,,,,,,,,,,,,,,,,,,,,,,,,170.789,,,,,,,,,0.318,2.728,24.608,2.952,10.093,1.211,0.492,0.059,,,,,,,,,,,,,,,,0.855,,,,,0.829,,,0.487,0,0,0,0,22.74,2.651,,
Romania,1857,ROU,8394056,,,,,,,,,,,,,,,,,,,,,,,,,,,195.58,,,,,,,,,0.318,2.716,24.791,2.953,10.164,1.211,0.497,0.059,,,,,,,,,,,,,,,,0.853,,,,,0.84,,,0.484,0,0,0,0,22.794,2.67,,
Romania,1858,ROU,8451855,,,,0.004,,,24.646,,,2.916,,,0,,,0,0,,,,,0.004,24.646,0,,0,220.223,0.004,,,,,,0,0,0.319,2.666,24.643,2.916,10.237,1.211,0.501,0.059,0.004,0,,,,,0.001,0.756,0,,0,0.088,0,,,0.85,1.923,,,,0.828,5.882,,0.481,0,0,0,0,22.534,2.695,,
Romania,1859,ROU,8510052,,,,0.004,0,0,24.721,0.075,0.305,2.905,,,0,,,0,0,,,,,0.007,49.368,0,,0,244.94,0.007,,,,,,0,0,0.319,2.644,24.718,2.905,10.308,1.211,0.505,0.059,0.004,0,,,,,0.001,0.74,0,,0,0.157,0,,,0.846,2.985,,,,0.813,6.667,,0.478,0,0,0,0,22.5,2.714,,
