country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Russia,1830,RUS,34361978,,,,0.011,,,,,,,,,0,,,0.011,0,,,,,0.011,,0.011,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.013,,0.013,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Russia,1831,RUS,34679300,,,,0.013,0.002,20,,,,,,,0,,,0.013,0,,,,,0.025,,0.025,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.016,,0.016,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Russia,1832,RUS,34999553,,,,0.009,-0.004,-33.333,,,,,,,0,,,0.009,0,,,,,0.034,,0.034,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.011,,0.011,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Russia,1833,RUS,35322763,,,,0.011,0.002,25,,,,,,,0,,,0.011,0,,,,,0.045,,0.045,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.013,,0.013,,0.002,,0.002,,,,,,,,,,,,,,,,,,,
Russia,1850,RUS,41297296,,,,0.069,,,550.095,,,13.32,,,0.002,,,0.069,0.002,,,,,0.114,550.095,0.114,0,0,550.025,0,,,,0,0,0,0,0.991,10.143,550.025,13.319,80.623,1.952,10.058,0.244,0,0,,,,,0.035,19.401,0.035,,0.002,19.401,0.002,,,20.845,,,,,20.845,,,,,,,,418.861,40.939,,
Russia,1851,RUS,41672597,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.571,,,,,,,,,0.992,11.839,630.546,15.131,81.713,1.961,10.237,0.246,,,,,,,,,,,,,,,,21.629,,,,,22.362,,,12.214,0,0,0,0,493.347,41.355,,
Russia,1852,RUS,42051308,,,,,,,,,,,,,,,,,,,,,,,,,,,1799.199,,,,,,,,,0.995,11.391,618.628,14.711,82.818,1.969,10.412,0.248,,,,,,,,,,,,,,,,21.636,,,,,21.649,,,11.963,0,0,0,0,479.007,41.856,,
Russia,1853,RUS,42433459,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.23,,,,,,,,,0.998,11.425,626.031,14.753,83.927,1.978,10.58,0.249,,,,,,,,,,,,,,,,21.613,,,,,21.546,,,11.861,0,0.001,0.001,0,484.812,42.36,,
Russia,1854,RUS,42819083,,,,,,,,,,,,,,,,,,,,,,,,,,,3088.004,,,,,,,,,1.001,12.158,662.774,15.478,85.04,1.986,10.74,0.251,,,,,,,,,,,,,,,,21.845,,,,,22.738,,,11.966,0,0.001,0.001,0,520.604,42.869,,
Russia,1855,RUS,43208210,,,,0.211,,,601.583,,,13.923,,,0.005,,,0.211,0.005,,,,,0.325,1151.677,0.325,0,0,3689.376,0,,,,0,0,0,0,1.01,10.628,601.372,13.918,86.193,1.995,10.889,0.252,0,0,,,,,0.081,19.166,0.081,,0.005,6.276,0.005,,,21.683,0,,,,20.892,0,,11.755,0,0.001,0.001,0,459.195,43.626,,
Russia,1856,RUS,43600872,,,,,,,,,,,,,,,,,,,,,,,,,,,4369.802,,,,,,,,,1.007,12.339,680.426,15.606,87.28,2.002,11.024,0.253,,,,,,,,,,,,,,,,21.867,,,,,22.919,,,11.869,0,0.001,0.001,0,537.988,43.898,,
Russia,1857,RUS,43997102,,,,,,,,,,,,,,,,,,,,,,,,,,,4979.229,,,,,,,,,1.01,10.619,609.427,13.852,88.407,2.009,11.144,0.253,,,,,,,,,,,,,,,,21.71,,,,,20.651,,,11.719,0,0.001,0.002,0,467.224,44.418,,
Russia,1858,RUS,44396932,,,,0.296,,,612.129,,,13.788,,,0.007,,,0.296,0.007,,,,,0.62,1763.807,0.62,0,0,5591.062,0,,,,0,0,0,0,1.02,10.595,611.834,13.781,89.587,2.018,11.245,0.253,0,0,,,,,0.104,18.775,0.104,,0.009,6.279,0.009,,,21.579,0,,,,20.567,0,,11.607,0,0.001,0.002,0,470.383,45.287,,
Russia,1859,RUS,44800394,,,,0.314,0.018,6.061,602.74,-9.39,-1.534,13.454,,,0.007,,,0.314,0.007,,,,,0.934,2366.547,0.934,0,0,6193.489,0,,,,0,0,0,0,1.023,10.304,602.426,13.447,90.726,2.025,11.326,0.253,0,0,,,,,0.104,18.039,0.104,,0.013,7.529,0.013,,,21.395,0,,,,19.825,0,,11.469,0,0.002,0.002,0,461.62,45.836,,
Russia,1860,RUS,45207522,,,,0.414,0.101,32.143,537.698,-65.042,-10.791,11.894,,,0.009,,,0.408,0.009,,,,,1.348,2904.244,1.342,0,0,6730.772,0.007,,,,0,0,0,0,1.028,9.058,537.283,11.885,91.887,2.033,11.384,0.252,0.007,0,,,,,0.125,17.272,0.123,,0.018,8.407,0.018,,,21.213,1.32,,,,19.321,2.504,,11.294,0,0.002,0.002,0,409.483,46.49,,
Russia,1861,RUS,45618348,,,,0.526,0.112,27.027,643.278,105.58,19.636,14.101,,,0.012,,,0.52,0.011,,,,,1.875,3547.522,1.861,0,0,7373.523,0.014,,,,0,0,0,0,1.033,11.363,642.751,14.09,92.791,2.034,11.427,0.25,0.007,0,,,,,0.151,20.641,0.149,,0.024,9.42,0.024,,,21.375,0.936,,,,23.226,0.725,,11.378,0,0.002,0.002,0,518.384,47.119,,
