country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Rwanda,1850,RWA,1501243,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988,,,,,,,,,0.079,0.753,0.988,0.658,0.173,0.115,0.071,0.047,,,,,,,,,,,,,,,,0.037,,,,,0.037,,,,,,,,1.13,0.118,,
Rwanda,1851,RWA,1511643,,,,,,,,,,,,,,,,,,,,,,,,,,,1.963,,,,,,,,,0.079,0.741,0.975,0.645,0.173,0.115,0.072,0.047,,,,,,,,,,,,,,,,0.036,,,,,0.035,,,0.024,0,0,0,0,1.12,0.119,,
Rwanda,1852,RWA,1517518,,,,,,,,,,,,,,,,,,,,,,,,,,,2.993,,,,,,,,,0.079,0.748,1.03,0.679,0.173,0.114,0.073,0.048,,,,,,,,,,,,,,,,0.036,,,,,0.036,,,0.024,0,0,0,0,1.136,0.12,,
Rwanda,1853,RWA,1518791,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,0.08,0.739,0.987,0.65,0.174,0.114,0.074,0.048,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.024,0,0,0,0,1.122,0.121,,
Rwanda,1854,RWA,1520066,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,,,,,,,,,0.08,0.738,0.98,0.645,0.174,0.115,0.075,0.049,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.024,0,0,0,0,1.122,0.122,,
Rwanda,1855,RWA,1521342,,,,,,,,,,,,,,,,,,,,,,,,,,,5.937,,,,,,,,,0.081,0.735,0.977,0.642,0.175,0.115,0.075,0.05,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.024,0,0,0,0,1.118,0.123,,
Rwanda,1856,RWA,1522619,,,,,,,,,,,,,,,,,,,,,,,,,,,6.956,,,,,,,,,0.081,0.741,1.019,0.669,0.175,0.115,0.076,0.05,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.024,0,0,0,0,1.128,0.124,,
Rwanda,1857,RWA,1523896,,,,,,,,,,,,,,,,,,,,,,,,,,,7.955,,,,,,,,,0.082,0.739,0.999,0.656,0.175,0.115,0.077,0.051,,,,,,,,,,,,,,,,0.035,,,,,0.034,,,0.024,0,0,0,0,1.127,0.124,,
Rwanda,1858,RWA,1525175,,,,,,,,,,,,,,,,,,,,,,,,,,,8.948,,,,,,,,,0.082,0.737,0.993,0.651,0.176,0.115,0.078,0.051,,,,,,,,,,,,,,,,0.035,,,,,0.033,,,0.024,0,0,0,0,1.124,0.125,,
Rwanda,1859,RWA,1526455,,,,,,,,,,,,,,,,,,,,,,,,,,,9.941,,,,,,,,,0.083,0.736,0.994,0.651,0.176,0.115,0.078,0.051,,,,,,,,,,,,,,,,0.034,,,,,0.033,,,0.023,0,0,0,0,1.124,0.126,,
Rwanda,1860,RWA,1527736,,,,,,,,,,,,,,,,,,,,,,,,,,,10.939,,,,,,,,,0.083,0.737,0.998,0.653,0.177,0.116,0.079,0.052,,,,,,,,,,,,,,,,0.034,,,,,0.036,,,0.023,0,0,0,0,1.125,0.127,,
Rwanda,1861,RWA,1529018,,,,,,,,,,,,,,,,,,,,,,,,,,,11.941,,,,,,,,,0.083,0.737,1.002,0.655,0.177,0.116,0.079,0.052,,,,,,,,,,,,,,,,0.035,,,,,0.036,,,0.024,0,0,0,0,1.127,0.128,,
