country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Saint Kitts and Nevis,1850,KNA,28683,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,2.476,3.025,0.021,0.715,0.08,2.795,0,0.009,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.087,0.071,,
Saint Kitts and Nevis,1851,KNA,29205,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,2.365,2.836,0.014,0.482,0.078,2.679,0,0.009,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.083,0.069,,
Saint Kitts and Nevis,1852,KNA,29736,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,,,,,,,,,2.273,2.701,0.011,0.355,0.077,2.58,0,0.009,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.08,0.068,,
Saint Kitts and Nevis,1853,KNA,30277,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,2.222,2.621,0.008,0.271,0.076,2.524,0,0.009,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.079,0.067,,
Saint Kitts and Nevis,1854,KNA,30827,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,2.173,2.549,0.006,0.21,0.076,2.47,0,0.009,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.079,0.067,,
Saint Kitts and Nevis,1855,KNA,31388,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,,,,,,,,,2.125,2.481,0.005,0.163,0.076,2.416,0,0.009,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.078,0.067,,
Saint Kitts and Nevis,1856,KNA,31958,,,,,,,,,,,,,,,,,,,,,,,,,,,0.069,,,,,,,,,2.131,2.47,0.004,0.126,0.077,2.417,0,0.009,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.079,0.068,,
Saint Kitts and Nevis,1857,KNA,32539,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,,,,,,,,2.137,2.462,0.003,0.096,0.079,2.417,0,0.009,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.08,0.07,,
Saint Kitts and Nevis,1858,KNA,33131,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,,,,,,,2.143,2.455,0.002,0.071,0.08,2.418,0,0.008,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.081,0.071,,
Saint Kitts and Nevis,1859,KNA,33728,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,,,,,,,,2.149,2.45,0.002,0.051,0.082,2.42,0,0.008,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.083,0.072,,
