country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Saint Lucia,1850,LCA,24171,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,,,,0.049,0.489,0.021,0.867,0.001,0.053,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.012,0.001,,
Saint Lucia,1851,LCA,24379,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,0.049,0.501,0.021,0.873,0.001,0.052,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1852,LCA,24647,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,,,,,0.048,0.494,0.021,0.861,0.001,0.051,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1853,LCA,24975,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,0.047,0.498,0.021,0.858,0.001,0.05,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1854,LCA,25308,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106,,,,,,,,,0.047,0.488,0.021,0.843,0.001,0.049,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1855,LCA,25645,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,,0.046,0.478,0.021,0.829,0.001,0.048,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1856,LCA,25987,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,,,,,0.046,0.478,0.021,0.823,0.001,0.048,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1857,LCA,26332,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,0.046,0.474,0.021,0.815,0.001,0.047,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1858,LCA,26683,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192,,,,,,,,,0.045,0.463,0.021,0.801,0.001,0.046,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1859,LCA,27067,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,,,0.045,0.431,0.021,0.763,0.001,0.046,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1860,LCA,27485,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,,,,,,,,,0.045,0.451,0.022,0.793,0.001,0.045,0.001,0.023,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1861,LCA,27940,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257,,,,,,,,,0.044,0.473,0.023,0.814,0.001,0.045,0.001,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1862,LCA,28430,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278,,,,,,,,,0.044,0.415,0.021,0.751,0.001,0.044,0.001,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.012,0.001,,
Saint Lucia,1863,LCA,28959,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301,,,,,,,,,0.043,0.437,0.022,0.769,0.001,0.043,0.001,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1864,LCA,29497,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,,0.042,0.426,0.022,0.752,0.001,0.042,0.001,0.022,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1865,LCA,30046,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,,,,,,,,,0.041,0.422,0.022,0.741,0.001,0.041,0.001,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1866,LCA,30604,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,,,,,,,,,0.041,0.412,0.022,0.726,0.001,0.04,0.001,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1867,LCA,31173,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,0.04,0.411,0.022,0.718,0.001,0.039,0.001,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1868,LCA,31752,,,,,,,,,,,,,,,,,,,,,,,,,,,0.412,,,,,,,,,0.039,0.405,0.022,0.705,0.001,0.038,0.001,0.021,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1869,LCA,32361,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,,,,,,,,,0.038,0.399,0.022,0.692,0.001,0.037,0.001,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1870,LCA,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,,,,,,,,,0.038,0.38,0.022,0.672,0.001,0.036,0.001,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1871,LCA,33671,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,,,,,,,,,0.037,0.379,0.022,0.664,0.001,0.036,0.001,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1872,LCA,34373,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,,,,,,,,,0.037,0.375,0.022,0.651,0.001,0.036,0.001,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
Saint Lucia,1873,LCA,35110,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524,,,,,,,,,0.037,0.374,0.023,0.642,0.001,0.035,0.001,0.02,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0,0,0,0,0,0.013,0.001,,
