country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Saint Vincent and the Grenadines,1850,VCT,30026,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.579,0.99,0.01,0.336,0.025,0.825,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,0.03,0.017,,
Saint Vincent and the Grenadines,1851,VCT,30167,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.569,0.983,0.01,0.335,0.025,0.814,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1852,VCT,30317,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.561,0.975,0.01,0.334,0.024,0.806,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1853,VCT,30476,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,0.559,0.973,0.01,0.332,0.024,0.803,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1854,VCT,30636,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,,,,,,,,,0.557,0.97,0.01,0.33,0.025,0.8,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1855,VCT,30797,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,0.554,0.968,0.01,0.328,0.025,0.797,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1856,VCT,30959,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,0.56,0.973,0.01,0.327,0.025,0.803,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.017,,
Saint Vincent and the Grenadines,1857,VCT,31121,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,,0.567,0.978,0.01,0.325,0.025,0.808,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.03,0.018,,
Saint Vincent and the Grenadines,1858,VCT,31284,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,0.573,0.982,0.01,0.323,0.025,0.814,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.031,0.018,,
Saint Vincent and the Grenadines,1859,VCT,31482,,,,,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,,,,,0.579,0.985,0.01,0.32,0.026,0.819,0,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.031,0.018,,
Saint Vincent and the Grenadines,1860,VCT,31716,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,0.584,0.991,0.01,0.327,0.026,0.823,0,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.031,0.019,,
Saint Vincent and the Grenadines,1861,VCT,31985,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,,,,,,,,,0.585,0.992,0.011,0.329,0.026,0.823,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.032,0.019,,
Saint Vincent and the Grenadines,1862,VCT,32290,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,,,,,,,,,0.586,0.988,0.011,0.326,0.027,0.822,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.032,0.019,,
Saint Vincent and the Grenadines,1863,VCT,32633,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,0.586,0.986,0.011,0.324,0.027,0.821,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.032,0.019,,
Saint Vincent and the Grenadines,1864,VCT,32979,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154,,,,,,,,,0.586,0.983,0.011,0.321,0.027,0.819,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.032,0.019,,
Saint Vincent and the Grenadines,1865,VCT,33328,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,,,,,,,,,0.581,0.976,0.011,0.319,0.027,0.813,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.019,,
Saint Vincent and the Grenadines,1866,VCT,33682,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,0.577,0.968,0.011,0.315,0.027,0.806,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.019,,
Saint Vincent and the Grenadines,1867,VCT,34038,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,,,,,,,,,0.572,0.961,0.011,0.313,0.027,0.8,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.019,,
Saint Vincent and the Grenadines,1868,VCT,34399,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,,,,,,,,0.568,0.954,0.011,0.31,0.027,0.794,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.02,,
Saint Vincent and the Grenadines,1869,VCT,34772,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,,,,,0.561,0.945,0.011,0.307,0.027,0.786,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.02,,
Saint Vincent and the Grenadines,1870,VCT,35158,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,,,0.555,0.937,0.011,0.304,0.027,0.777,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.019,,
Saint Vincent and the Grenadines,1871,VCT,35557,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228,,,,,,,,,0.551,0.931,0.011,0.301,0.027,0.772,0,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.02,,
Saint Vincent and the Grenadines,1872,VCT,35969,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,0.546,0.924,0.011,0.297,0.028,0.766,0.001,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.02,,
Saint Vincent and the Grenadines,1873,VCT,36394,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.542,0.918,0.011,0.295,0.028,0.759,0.001,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.033,0.02,,
Saint Vincent and the Grenadines,1874,VCT,36825,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,0.538,0.912,0.011,0.292,0.028,0.753,0.001,0.014,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1875,VCT,37260,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271,,,,,,,,,0.533,0.906,0.011,0.288,0.028,0.746,0.001,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1876,VCT,37701,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,,,0.528,0.9,0.011,0.285,0.028,0.739,0.001,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1877,VCT,38146,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,,,,,,,,,0.523,0.893,0.011,0.281,0.028,0.733,0.001,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1878,VCT,38597,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,,,,,,,,,0.518,0.887,0.011,0.278,0.028,0.725,0.001,0.015,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1879,VCT,38950,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,,,,,,,,,0.514,0.879,0.011,0.272,0.028,0.72,0.001,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.034,0.02,,
Saint Vincent and the Grenadines,1880,VCT,39203,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,,,,,0.512,0.881,0.011,0.275,0.028,0.717,0.001,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.035,0.02,,
Saint Vincent and the Grenadines,1881,VCT,39357,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336,,,,,,,,,0.51,0.884,0.011,0.276,0.028,0.715,0.001,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.035,0.02,,
Saint Vincent and the Grenadines,1882,VCT,39409,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346,,,,,,,,,0.516,0.89,0.011,0.273,0.028,0.722,0.001,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.035,0.02,,
Saint Vincent and the Grenadines,1883,VCT,39359,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357,,,,,,,,,0.521,0.899,0.011,0.274,0.029,0.727,0.001,0.016,,,,,,,,,,,,,,,,0,,,,,0,,,0,0,0,0,0,0.035,0.02,,
