country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Samoa,1850,WSM,46707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,,,,,,,,,0.087,3.881,0.031,0.665,0.011,0.231,0.003,0.06,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.181,0.004,,
Samoa,1851,WSM,46555,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,0.088,3.059,0.029,0.628,0.011,0.234,0.003,0.062,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.142,0.004,,
Samoa,1852,WSM,46339,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,,,,,,,,,0.089,2.719,0.026,0.571,0.011,0.236,0.003,0.063,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.126,0.004,,
Samoa,1853,WSM,46060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,0.091,2.513,0.024,0.527,0.011,0.24,0.003,0.065,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.116,0.004,,
Samoa,1854,WSM,45782,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,,,,,,,,,0.093,2.366,0.023,0.498,0.011,0.243,0.003,0.066,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.108,0.004,,
Samoa,1855,WSM,45507,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156,,,,,,,,,0.094,2.255,0.022,0.477,0.011,0.246,0.003,0.068,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.103,0.004,,
Samoa,1856,WSM,45233,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176,,,,,,,,,0.096,2.167,0.021,0.46,0.011,0.25,0.003,0.069,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.098,0.004,,
Samoa,1857,WSM,44960,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,,,,,,,,,0.098,2.098,0.02,0.447,0.011,0.253,0.003,0.07,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.003,0,0,0,0,0.094,0.004,,
Samoa,1858,WSM,44690,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,,,,,,,,,0.099,2.043,0.02,0.437,0.011,0.257,0.003,0.071,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.091,0.004,,
Samoa,1859,WSM,44420,,,,,,,,,,,,,,,,,,,,,,,,,,,0.235,,,,,,,,,0.101,2.001,0.019,0.429,0.012,0.26,0.003,0.072,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.089,0.004,,
Samoa,1860,WSM,44153,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,0.103,2.003,0.015,0.334,0.012,0.264,0.003,0.073,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.088,0.005,,
Samoa,1861,WSM,43887,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268,,,,,,,,,0.105,2.088,0.018,0.417,0.012,0.269,0.003,0.073,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.092,0.005,,
Samoa,1862,WSM,43622,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,0.108,2.135,0.022,0.499,0.012,0.275,0.003,0.074,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.093,0.005,,
Samoa,1863,WSM,43359,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,,,,,,,,,0.11,2.173,0.025,0.566,0.012,0.28,0.003,0.075,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.094,0.005,,
Samoa,1864,WSM,43098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,,,,,,,,,0.113,2.207,0.027,0.62,0.012,0.286,0.003,0.075,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.095,0.005,,
Samoa,1865,WSM,42838,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,0.116,2.239,0.028,0.664,0.013,0.292,0.003,0.076,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.096,0.005,,
Samoa,1866,WSM,42580,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399,,,,,,,,,0.118,2.273,0.03,0.703,0.013,0.298,0.003,0.076,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.097,0.005,,
Samoa,1867,WSM,42323,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431,,,,,,,,,0.121,2.308,0.031,0.738,0.013,0.304,0.003,0.077,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.098,0.005,,
Samoa,1868,WSM,42067,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,,,,,,,,,0.124,2.344,0.032,0.769,0.013,0.31,0.003,0.077,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.099,0.005,,
Samoa,1869,WSM,41814,,,,,,,,,,,,,,,,,,,,,,,,,,,0.496,,,,,,,,,0.127,2.38,0.033,0.797,0.013,0.316,0.003,0.078,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.1,0.005,,
Samoa,1870,WSM,41561,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,,,,,,,,0.13,2.458,0.041,0.985,0.013,0.322,0.003,0.079,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.102,0.005,,
Samoa,1871,WSM,41310,,,,,,,,,,,,,,,,,,,,,,,,,,,0.578,,,,,,,,,0.133,2.493,0.041,0.993,0.014,0.329,0.003,0.08,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.103,0.005,,
Samoa,1872,WSM,41061,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,,,,,,,,,0.136,2.528,0.041,0.988,0.014,0.336,0.003,0.084,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.104,0.006,,
Samoa,1873,WSM,40813,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,,,,,,,,,0.14,2.568,0.04,0.988,0.014,0.343,0.004,0.089,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.105,0.006,,
