country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
San Marino,1850,SMR,6923,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,,,,,,,,,0.014,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1851,SMR,6976,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1852,SMR,7030,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1853,SMR,7083,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1854,SMR,7137,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1855,SMR,7192,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1856,SMR,7247,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1857,SMR,7302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1858,SMR,7358,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1859,SMR,7415,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,,,,
San Marino,1860,SMR,7471,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0,,,,,,,,,,,
San Marino,1861,SMR,7528,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1862,SMR,7586,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1863,SMR,7644,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1864,SMR,7702,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1865,SMR,7761,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1866,SMR,7821,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1867,SMR,7881,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1868,SMR,7941,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1869,SMR,8002,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1870,SMR,8063,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
San Marino,1871,SMR,8124,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,
