country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Sao Tome and Principe,1850,STP,28098,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,,,,,,,,,0.121,1.891,0.121,4.308,0.004,0.154,0,0.016,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,,,,,,0.053,0.003,,
Sao Tome and Principe,1851,STP,28304,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191,,,,,,,,,0.122,0.061,0.07,2.479,0.004,0.155,0,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.002,,,0,0,0,0,0,0.002,0.003,,
Sao Tome and Principe,1852,STP,28512,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289,,,,,,,,,0.122,1.035,0.098,3.447,0.004,0.155,0,0.016,,,,,,,,,,,,,,,,0.003,,,,,0.003,,,0,0,0,0,0,0.03,0.003,,
Sao Tome and Principe,1853,STP,28721,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355,,,,,,,,,0.123,-0.114,0.066,2.287,0.004,0.156,0,0.016,,,,,,,,,,,,,,,,0.003,,,,,0.002,,,0,0,0,0,0,-0.003,0.004,,
Sao Tome and Principe,1854,STP,28931,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,,,,,,,,,0.123,3.141,0.16,5.529,0.005,0.156,0,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.091,0.004,,
Sao Tome and Principe,1855,STP,29143,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,,,,,,,,,0.123,0.66,0.088,3.034,0.005,0.156,0,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.019,0.004,,
Sao Tome and Principe,1856,STP,29357,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,,,,,,,,,0.124,2.206,0.134,4.564,0.005,0.157,0,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.065,0.004,,
Sao Tome and Principe,1857,STP,29572,,,,,,,,,,,,,,,,,,,,,,,,,,,0.859,,,,,,,,,0.124,1.766,0.122,4.11,0.005,0.157,0,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.052,0.004,,
Sao Tome and Principe,1858,STP,29789,,,,,,,,,,,,,,,,,,,,,,,,,,,0.963,,,,,,,,,0.124,1.164,0.104,3.492,0.005,0.158,0,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.035,0.004,,
Sao Tome and Principe,1859,STP,30007,,,,,,,,,,,,,,,,,,,,,,,,,,,1.081,,,,,,,,,0.124,1.612,0.118,3.923,0.005,0.158,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.048,0.004,,
Sao Tome and Principe,1860,STP,30227,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,0.125,1.239,0.109,3.615,0.005,0.158,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.037,0.004,,
Sao Tome and Principe,1861,STP,30448,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,0.125,0.573,0.09,2.96,0.005,0.159,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.017,0.004,,
Sao Tome and Principe,1862,STP,30671,,,,,,,,,,,,,,,,,,,,,,,,,,,1.387,,,,,,,,,0.125,1.088,0.107,3.474,0.005,0.159,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.033,0.004,,
Sao Tome and Principe,1863,STP,30896,,,,,,,,,,,,,,,,,,,,,,,,,,,1.471,,,,,,,,,0.126,0.356,0.085,2.736,0.005,0.16,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.011,0.004,,
Sao Tome and Principe,1864,STP,31122,,,,,,,,,,,,,,,,,,,,,,,,,,,1.611,,,,,,,,,0.126,2.119,0.14,4.489,0.005,0.16,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.066,0.004,,
Sao Tome and Principe,1865,STP,31351,,,,,,,,,,,,,,,,,,,,,,,,,,,1.706,,,,,,,,,0.126,0.657,0.095,3.015,0.005,0.16,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.021,0.004,,
Sao Tome and Principe,1866,STP,31580,,,,,,,,,,,,,,,,,,,,,,,,,,,1.842,,,,,,,,,0.126,1.968,0.136,4.313,0.005,0.161,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.062,0.004,,
Sao Tome and Principe,1867,STP,31812,,,,,,,,,,,,,,,,,,,,,,,,,,,1.921,,,,,,,,,0.127,0.161,0.079,2.492,0.005,0.161,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.005,0.004,,
Sao Tome and Principe,1868,STP,32045,,,,,,,,,,,,,,,,,,,,,,,,,,,2.034,,,,,,,,,0.127,1.199,0.113,3.516,0.005,0.162,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.038,0.004,,
Sao Tome and Principe,1869,STP,32280,,,,,,,,,,,,,,,,,,,,,,,,,,,2.123,,,,,,,,,0.127,0.456,0.089,2.756,0.005,0.162,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.015,0.004,,
Sao Tome and Principe,1870,STP,32516,,,,,,,,,,,,,,,,,,,,,,,,,,,2.266,,,,,,,,,0.127,2.087,0.143,4.4,0.005,0.162,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.068,0.004,,
Sao Tome and Principe,1871,STP,32754,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,0.128,1.479,0.124,3.784,0.005,0.163,0.001,0.016,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.048,0.004,,
Sao Tome and Principe,1872,STP,32994,,,,,,,,,,,,,,,,,,,,,,,,,,,2.517,,,,,,,,,0.128,1.574,0.128,3.867,0.005,0.163,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.052,0.004,,
Sao Tome and Principe,1873,STP,33236,,,,,,,,,,,,,,,,,,,,,,,,,,,2.595,,,,,,,,,0.129,0.052,0.077,2.331,0.005,0.164,0.001,0.017,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.002,0.004,,
Sao Tome and Principe,1874,STP,33480,,,,,,,,,,,,,,,,,,,,,,,,,,,2.764,,,,,,,,,0.129,2.788,0.169,5.052,0.005,0.164,0.001,0.018,,,,,,,,,,,,,,,,0.004,,,,,0.005,,,0.001,0,0,0,0,0.093,0.004,,
Sao Tome and Principe,1875,STP,33725,,,,,,,,,,,,,,,,,,,,,,,,,,,2.908,,,,,,,,,0.13,2.033,0.144,4.281,0.006,0.165,0.001,0.019,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.069,0.004,,
Sao Tome and Principe,1876,STP,33972,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023,,,,,,,,,0.13,1.16,0.115,3.39,0.006,0.165,0.001,0.019,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.039,0.004,,
Sao Tome and Principe,1877,STP,34221,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,0.131,0.892,0.106,3.106,0.006,0.165,0.001,0.02,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.031,0.004,,
Sao Tome and Principe,1878,STP,34472,,,,,,,,,,,,,,,,,,,,,,,,,,,3.261,,,,,,,,,0.131,1.627,0.132,3.823,0.006,0.166,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.056,0.005,,
Sao Tome and Principe,1879,STP,34724,,,,,,,,,,,,,,,,,,,,,,,,,,,3.379,,,,,,,,,0.131,1.194,0.117,3.373,0.006,0.166,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.041,0.005,,
Sao Tome and Principe,1880,STP,34979,,,,,,,,,,,,,,,,,,,,,,,,,,,3.484,,,,,,,,,0.132,0.837,0.106,3.024,0.006,0.166,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.029,0.005,,
Sao Tome and Principe,1881,STP,35235,,,,,,,,,,,,,,,,,,,,,,,,,,,3.613,,,,,,,,,0.132,1.461,0.128,3.64,0.006,0.167,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.051,0.005,,
Sao Tome and Principe,1882,STP,35493,,,,,,,,,,,,,,,,,,,,,,,,,,,3.716,,,,,,,,,0.132,0.748,0.103,2.914,0.006,0.167,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.027,0.005,,
Sao Tome and Principe,1883,STP,35753,,,,,,,,,,,,,,,,,,,,,,,,,,,3.844,,,,,,,,,0.133,1.44,0.128,3.591,0.006,0.168,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.052,0.005,,
Sao Tome and Principe,1884,STP,36015,,,,,,,,,,,,,,,,,,,,,,,,,,,3.977,,,,,,,,,0.133,1.538,0.132,3.674,0.006,0.168,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.004,,,0.001,0,0,0,0,0.055,0.005,,
Sao Tome and Principe,1885,STP,36279,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,0.133,1.266,0.123,3.385,0.006,0.169,0.001,0.021,,,,,,,,,,,,,,,,0.004,,,,,0.003,,,0.001,0,0,0,0,0.046,0.005,,
