country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Saudi Arabia,1850,SAU,2235890,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.256,,,,,,,,,0.252,-0.309,-0.256,-0.115,0.808,0.362,0.097,0.043,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,,,,,,-0.69,0.563,,
Saudi Arabia,1851,SAU,2234035,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.521,,,,,,,,,0.253,-0.254,-0.264,-0.118,0.81,0.363,0.098,0.044,,,,,,,,,,,,,,,,-0.01,,,,,-0.009,,,-0.025,0,0,0,0,-0.568,0.565,,
Saudi Arabia,1852,SAU,2232160,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.793,,,,,,,,,0.254,-0.193,-0.272,-0.122,0.811,0.363,0.1,0.045,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.023,0,0,0,0,-0.431,0.567,,
Saudi Arabia,1853,SAU,2230265,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.072,,,,,,,,,0.255,-0.139,-0.279,-0.125,0.813,0.364,0.101,0.045,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.021,0,0,0,0,-0.31,0.569,,
Saudi Arabia,1854,SAU,2228351,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.357,,,,,,,,,0.256,-0.092,-0.286,-0.128,0.814,0.365,0.103,0.046,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.02,0,0,0,0,-0.204,0.571,,
Saudi Arabia,1855,SAU,2226417,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,,,,,,,,,0.257,-0.051,-0.292,-0.131,0.816,0.366,0.104,0.047,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.018,0,0,0,0,-0.113,0.573,,
Saudi Arabia,1856,SAU,2224463,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.948,,,,,,,,,0.258,-0.015,-0.299,-0.134,0.817,0.367,0.105,0.047,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.017,0,0,0,0,-0.034,0.575,,
Saudi Arabia,1857,SAU,2222490,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.253,,,,,,,,,0.259,0.016,-0.304,-0.137,0.819,0.368,0.107,0.048,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.016,0,0,0,0,0.035,0.577,,
Saudi Arabia,1858,SAU,2220496,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.562,,,,,,,,,0.26,0.043,-0.31,-0.14,0.82,0.369,0.108,0.049,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.015,0,0,0,0,0.095,0.578,,
Saudi Arabia,1859,SAU,2218483,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.877,,,,,,,,,0.261,0.067,-0.315,-0.142,0.822,0.37,0.109,0.049,,,,,,,,,,,,,,,,-0.01,,,,,-0.01,,,-0.014,0,0,0,0,0.148,0.58,,
Saudi Arabia,1860,SAU,2216449,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.203,,,,,,,,,0.262,0.087,-0.325,-0.147,0.823,0.371,0.11,0.049,,,,,,,,,,,,,,,,-0.01,,,,,-0.012,,,-0.013,0,0,0,0,0.192,0.582,,
Saudi Arabia,1861,SAU,2214395,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.535,,,,,,,,,0.263,0.104,-0.333,-0.15,0.825,0.372,0.11,0.05,,,,,,,,,,,,,,,,-0.01,,,,,-0.012,,,-0.013,0,0,0,0,0.231,0.583,,
Saudi Arabia,1862,SAU,2212321,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.874,,,,,,,,,0.264,0.12,-0.338,-0.153,0.826,0.374,0.111,0.05,,,,,,,,,,,,,,,,-0.01,,,,,-0.012,,,-0.012,0,0,0,0,0.265,0.585,,
Saudi Arabia,1863,SAU,2210227,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.216,,,,,,,,,0.265,0.133,-0.343,-0.155,0.828,0.375,0.112,0.051,,,,,,,,,,,,,,,,-0.011,,,,,-0.013,,,-0.011,0,0,0,0,0.295,0.586,,
Saudi Arabia,1864,SAU,2208112,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.564,,,,,,,,,0.266,0.146,-0.347,-0.157,0.829,0.376,0.112,0.051,,,,,,,,,,,,,,,,-0.011,,,,,-0.013,,,-0.011,0,0,0,0,0.322,0.588,,
Saudi Arabia,1865,SAU,2205977,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.915,,,,,,,,,0.267,0.157,-0.351,-0.159,0.831,0.377,0.113,0.051,,,,,,,,,,,,,,,,-0.011,,,,,-0.014,,,-0.01,0,0,0,0,0.346,0.589,,
Saudi Arabia,1866,SAU,2203821,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.27,,,,,,,,,0.268,0.166,-0.355,-0.161,0.832,0.378,0.114,0.052,,,,,,,,,,,,,,,,-0.011,,,,,-0.014,,,-0.01,0,0,0,0,0.367,0.591,,
Saudi Arabia,1867,SAU,2201644,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.628,,,,,,,,,0.269,0.175,-0.358,-0.163,0.834,0.379,0.114,0.052,,,,,,,,,,,,,,,,-0.011,,,,,-0.014,,,-0.009,0,0,0,0,0.385,0.592,,
Saudi Arabia,1868,SAU,2199447,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.989,,,,,,,,,0.27,0.183,-0.362,-0.164,0.835,0.38,0.115,0.052,,,,,,,,,,,,,,,,-0.011,,,,,-0.014,,,-0.009,0,0,0,0,0.402,0.594,,
Saudi Arabia,1869,SAU,2197229,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.354,,,,,,,,,0.271,0.19,-0.365,-0.166,0.837,0.381,0.116,0.053,,,,,,,,,,,,,,,,-0.011,,,,,-0.014,,,-0.009,0,0,0,0,0.417,0.595,,
Saudi Arabia,1870,SAU,2194990,1938201984,,,,,,,,,,,,,,,,,,,,,,,,,,-6.701,,,,,,,,,0.272,0.197,-0.347,-0.158,0.838,0.382,0.117,0.053,,,,,,,,,,,,,,,,-0.012,,,,,-0.012,,,-0.008,0,0,0,0,0.433,0.597,,
Saudi Arabia,1871,SAU,2192730,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.039,,,,,,,,,0.273,0.202,-0.338,-0.154,0.841,0.383,0.118,0.054,,,,,,,,,,,,,,,,-0.012,,,,,-0.012,,,-0.008,0,0,0,0,0.443,0.599,,
Saudi Arabia,1872,SAU,2190449,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.371,,,,,,,,,0.275,0.206,-0.332,-0.151,0.843,0.385,0.121,0.055,,,,,,,,,,,,,,,,-0.011,,,,,-0.011,,,-0.007,0,0,0,0,0.452,0.602,,
Saudi Arabia,1873,SAU,2188147,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.698,,,,,,,,,0.277,0.211,-0.328,-0.15,0.846,0.387,0.124,0.057,,,,,,,,,,,,,,,,-0.011,,,,,-0.011,,,-0.007,0,0,0,0,0.461,0.606,,
Saudi Arabia,1874,SAU,2185824,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.023,,,,,,,,,0.279,0.215,-0.325,-0.149,0.848,0.388,0.129,0.059,,,,,,,,,,,,,,,,-0.011,,,,,-0.01,,,-0.007,0,0,0,0,0.471,0.61,,
Saudi Arabia,1875,SAU,2183479,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.345,,,,,,,,,0.281,0.22,-0.323,-0.148,0.851,0.39,0.133,0.061,,,,,,,,,,,,,,,,-0.011,,,,,-0.01,,,-0.006,0,0,0,0,0.48,0.614,,
Saudi Arabia,1876,SAU,2181113,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.666,,,,,,,,,0.284,0.225,-0.321,-0.147,0.853,0.391,0.138,0.063,,,,,,,,,,,,,,,,-0.011,,,,,-0.01,,,-0.006,0,0,0,0,0.49,0.619,,
Saudi Arabia,1877,SAU,2178725,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.986,,,,,,,,,0.286,0.229,-0.32,-0.147,0.856,0.393,0.143,0.066,,,,,,,,,,,,,,,,-0.011,,,,,-0.01,,,-0.006,0,0,0,0,0.5,0.623,,
