country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Senegal,1850,SEN,936513,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778,,,,,,,,,0.444,1.959,0.778,0.831,1.272,1.358,0.145,0.154,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,,,,,,1.835,0.416,,
Senegal,1851,SEN,938556,,,,,,,,,,,,,,,,,,,,,,,,,,,1.592,,,,,,,,,0.444,1.971,0.814,0.867,1.273,1.357,0.147,0.157,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,0.024,0,0,0,0,1.85,0.417,,
Senegal,1852,SEN,942237,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,,0.444,1.969,0.828,0.878,1.275,1.353,0.15,0.16,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,0.024,0,0,0,0,1.856,0.418,,
Senegal,1853,SEN,947560,,,,,,,,,,,,,,,,,,,,,,,,,,,3.251,,,,,,,,,0.442,1.959,0.831,0.877,1.277,1.347,0.153,0.162,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,0.024,0,0,0,0,1.856,0.419,,
Senegal,1854,SEN,952913,,,,,,,,,,,,,,,,,,,,,,,,,,,4.081,,,,,,,,,0.441,1.948,0.83,0.871,1.278,1.341,0.156,0.163,,,,,,,,,,,,,,,,0.029,,,,,0.028,,,0.024,0,0,0,0,1.856,0.42,,
Senegal,1855,SEN,958296,,,,,,,,,,,,,,,,,,,,,,,,,,,4.906,,,,,,,,,0.44,1.936,0.825,0.861,1.28,1.335,0.158,0.165,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,0.024,0,0,0,0,1.855,0.421,,
Senegal,1856,SEN,963709,,,,,,,,,,,,,,,,,,,,,,,,,,,5.726,,,,,,,,,0.438,1.924,0.82,0.851,1.281,1.33,0.16,0.166,,,,,,,,,,,,,,,,0.029,,,,,0.028,,,0.024,0,0,0,0,1.854,0.422,,
Senegal,1857,SEN,969153,,,,,,,,,,,,,,,,,,,,,,,,,,,6.538,,,,,,,,,0.437,1.911,0.812,0.838,1.283,1.324,0.162,0.167,,,,,,,,,,,,,,,,0.029,,,,,0.028,,,0.024,0,0,0,0,1.852,0.423,,
Senegal,1858,SEN,974628,,,,,,,,,,,,,,,,,,,,,,,,,,,7.342,,,,,,,,,0.435,1.898,0.805,0.826,1.285,1.318,0.164,0.168,,,,,,,,,,,,,,,,0.028,,,,,0.027,,,0.024,0,0,0,0,1.85,0.424,,
Senegal,1859,SEN,980527,,,,,,,,,,,,,,,,,,,,,,,,,,,8.141,,,,,,,,,0.434,1.885,0.799,0.815,1.286,1.312,0.165,0.168,,,,,,,,,,,,,,,,0.028,,,,,0.026,,,0.023,0,0,0,0,1.848,0.425,,
Senegal,1860,SEN,986857,,,,,,,,,,,,,,,,,,,,,,,,,,,8.935,,,,,,,,,0.432,1.877,0.794,0.804,1.288,1.305,0.165,0.167,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.852,0.426,,
Senegal,1861,SEN,993623,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716,,,,,,,,,0.43,1.866,0.781,0.787,1.291,1.299,0.166,0.167,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.854,0.427,,
Senegal,1862,SEN,1000831,,,,,,,,,,,,,,,,,,,,,,,,,,,10.488,,,,,,,,,0.428,1.854,0.772,0.772,1.293,1.292,0.166,0.166,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.855,0.428,,
Senegal,1863,SEN,1008484,,,,,,,,,,,,,,,,,,,,,,,,,,,11.254,,,,,,,,,0.426,1.841,0.765,0.759,1.296,1.285,0.166,0.165,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.856,0.429,,
Senegal,1864,SEN,1016197,,,,,,,,,,,,,,,,,,,,,,,,,,,12.014,,,,,,,,,0.424,1.828,0.76,0.748,1.299,1.278,0.166,0.164,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.857,0.431,,
Senegal,1865,SEN,1023968,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,,,,,,,,,0.422,1.816,0.756,0.739,1.302,1.271,0.166,0.162,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.859,0.432,,
Senegal,1866,SEN,1031798,,,,,,,,,,,,,,,,,,,,,,,,,,,13.523,,,,,,,,,0.42,1.803,0.753,0.73,1.305,1.265,0.166,0.161,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.861,0.433,,
Senegal,1867,SEN,1039688,,,,,,,,,,,,,,,,,,,,,,,,,,,14.273,,,,,,,,,0.417,1.791,0.75,0.721,1.308,1.258,0.167,0.16,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.862,0.434,,
Senegal,1868,SEN,1047638,,,,,,,,,,,,,,,,,,,,,,,,,,,15.02,,,,,,,,,0.415,1.779,0.747,0.713,1.311,1.251,0.167,0.159,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.864,0.435,,
Senegal,1869,SEN,1056288,,,,,,,,,,,,,,,,,,,,,,,,,,,15.764,,,,,,,,,0.413,1.766,0.744,0.704,1.313,1.243,0.167,0.158,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.865,0.436,,
Senegal,1870,SEN,1065648,,,,,,,,,,,,,,,,,,,,,,,,,,,16.571,,,,,,,,,0.41,1.777,0.807,0.758,1.316,1.235,0.167,0.157,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.893,0.437,,
Senegal,1871,SEN,1075732,,,,,,,,,,,,,,,,,,,,,,,,,,,17.408,,,,,,,,,0.408,1.777,0.838,0.779,1.319,1.226,0.17,0.158,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.912,0.439,,
Senegal,1872,SEN,1086550,,,,,,,,,,,,,,,,,,,,,,,,,,,18.265,,,,,,,,,0.405,1.776,0.856,0.788,1.322,1.217,0.177,0.163,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.93,0.44,,
Senegal,1873,SEN,1098117,,,,,,,,,,,,,,,,,,,,,,,,,,,19.132,,,,,,,,,0.402,1.773,0.867,0.79,1.325,1.207,0.187,0.17,,,,,,,,,,,,,,,,0.028,,,,,0.029,,,0.024,0,0,0,0,1.947,0.442,,
Senegal,1874,SEN,1109806,,,,,,,,,,,,,,,,,,,,,,,,,,,20.006,,,,,,,,,0.399,1.771,0.875,0.788,1.328,1.196,0.199,0.18,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.024,0,0,0,0,1.965,0.443,,
Senegal,1875,SEN,1121620,,,,,,,,,,,,,,,,,,,,,,,,,,,20.886,,,,,,,,,0.397,1.768,0.88,0.784,1.331,1.186,0.213,0.19,,,,,,,,,,,,,,,,0.028,,,,,0.027,,,0.024,0,0,0,0,1.983,0.445,,
