country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Serbia,1850,SRB,2020891,,,,,,,,,,,,,,,,,,,,,,,,,,,14.548,,,,,,,,,0.064,4.517,14.548,7.199,2.186,1.082,0.189,0.094,,,,,,,,,,,,,,,,0.551,,,,,0.551,,,,,,,,9.128,0.13,,
Serbia,1851,SRB,2013862,,,,,,,,,,,,,,,,,,,,,,,,,,,29.436,,,,,,,,,0.065,4.6,14.888,7.393,2.199,1.092,0.193,0.096,,,,,,,,,,,,,,,,0.539,,,,,0.528,,,0.209,0,0,0,0,9.264,0.131,,
Serbia,1852,SRB,2006853,,,,,,,,,,,,,,,,,,,,,,,,,,,44.635,,,,,,,,,0.066,4.671,15.199,7.573,2.212,1.102,0.196,0.098,,,,,,,,,,,,,,,,0.537,,,,,0.532,,,0.21,0,0,0,0,9.374,0.132,,
Serbia,1853,SRB,1999864,,,,,,,,,,,,,,,,,,,,,,,,,,,60.144,,,,,,,,,0.067,4.749,15.509,7.755,2.225,1.113,0.199,0.1,,,,,,,,,,,,,,,,0.536,,,,,0.534,,,0.21,0,0,0,0,9.497,0.133,,
Serbia,1854,SRB,1992895,,,,,,,,,,,,,,,,,,,,,,,,,,,75.803,,,,,,,,,0.067,4.754,15.659,7.857,2.239,1.123,0.202,0.101,,,,,,,,,,,,,,,,0.536,,,,,0.537,,,0.209,0,0,0,0,9.475,0.134,,
Serbia,1855,SRB,1985946,,,,,,,,,,,,,,,,,,,,,,,,,,,91.626,,,,,,,,,0.068,4.76,15.823,7.967,2.252,1.134,0.205,0.103,,,,,,,,,,,,,,,,0.539,,,,,0.55,,,0.208,0,0,0,0,9.452,0.135,,
Serbia,1856,SRB,1979017,,,,,,,,,,,,,,,,,,,,,,,,,,,107.766,,,,,,,,,0.069,4.851,16.14,8.156,2.265,1.144,0.208,0.105,,,,,,,,,,,,,,,,0.539,,,,,0.544,,,0.208,0,0,0,0,9.6,0.136,,
Serbia,1857,SRB,1972108,,,,,,,,,,,,,,,,,,,,,,,,,,,124.022,,,,,,,,,0.07,4.849,16.256,8.243,2.278,1.155,0.21,0.106,,,,,,,,,,,,,,,,0.541,,,,,0.551,,,0.207,0,0,0,0,9.562,0.137,,
Serbia,1858,SRB,1965219,,,,,,,,,,,,,,,,,,,,,,,,,,,140.396,,,,,,,,,0.07,4.855,16.374,8.332,2.291,1.166,0.212,0.108,,,,,,,,,,,,,,,,0.542,,,,,0.55,,,0.207,0,0,0,0,9.54,0.138,,
Serbia,1859,SRB,1958349,,,,,,,,,,,,,,,,,,,,,,,,,,,156.962,,,,,,,,,0.071,4.904,16.566,8.459,2.305,1.177,0.213,0.109,,,,,,,,,,,,,,,,0.542,,,,,0.545,,,0.206,0,0,0,0,9.604,0.139,,
Serbia,1860,SRB,1951500,,,,,,,,,,,,,,,,,,,,,,,,,,,173.568,,,,,,,,,0.072,4.96,16.605,8.509,2.318,1.188,0.214,0.11,,,,,,,,,,,,,,,,0.547,,,,,0.597,,,0.206,0,0,0,0,9.68,0.14,,
Serbia,1861,SRB,1944669,,,,,,,,,,,,,,,,,,,,,,,,,,,190.071,,,,,,,,,0.073,4.901,16.503,8.486,2.343,1.205,0.215,0.111,,,,,,,,,,,,,,,,0.551,,,,,0.596,,,0.207,0,0,0,0,9.531,0.141,,
Serbia,1862,SRB,1937859,,,,,,,,,,,,,,,,,,,,,,,,,,,206.571,,,,,,,,,0.074,4.889,16.5,8.514,2.368,1.222,0.216,0.111,,,,,,,,,,,,,,,,0.555,,,,,0.602,,,0.207,0,0,0,0,9.475,0.143,,
Serbia,1863,SRB,1931068,,,,,,,,,,,,,,,,,,,,,,,,,,,223.135,,,,,,,,,0.074,4.914,16.565,8.578,2.393,1.239,0.217,0.112,,,,,,,,,,,,,,,,0.559,,,,,0.612,,,0.207,0,0,0,0,9.49,0.144,,
Serbia,1864,SRB,1924297,,,,,,,,,,,,,,,,,,,,,,,,,,,239.762,,,,,,,,,0.075,4.939,16.626,8.64,2.418,1.256,0.217,0.113,,,,,,,,,,,,,,,,0.563,,,,,0.635,,,0.208,0,0,0,0,9.504,0.145,,
Serbia,1865,SRB,1917545,,,,,,,,,,,,,,,,,,,,,,,,,,,256.605,,,,,,,,,0.076,5.047,16.843,8.784,2.443,1.274,0.218,0.114,,,,,,,,,,,,,,,,0.569,,,,,0.655,,,0.208,0,0,0,0,9.678,0.146,,
Serbia,1866,SRB,1910812,,,,,,,,,,,,,,,,,,,,,,,,,,,273.508,,,,,,,,,0.077,5.075,16.903,8.846,2.468,1.291,0.219,0.114,,,,,,,,,,,,,,,,0.573,,,,,0.648,,,0.209,0,0,0,0,9.698,0.147,,
Serbia,1867,SRB,1904099,,,,,,,,,,,,,,,,,,,,,,,,,,,290.547,,,,,,,,,0.078,5.145,17.038,8.948,2.493,1.309,0.219,0.115,,,,,,,,,,,,,,,,0.577,,,,,0.663,,,0.209,0,0,0,0,9.796,0.149,,
Serbia,1868,SRB,1897405,,,,,,,,,,,,,,,,,,,,,,,,,,,307.555,,,,,,,,,0.079,5.128,17.008,8.964,2.518,1.327,0.22,0.116,,,,,,,,,,,,,,,,0.582,,,,,0.67,,,0.21,0,0,0,0,9.731,0.15,,
Serbia,1869,SRB,1890731,,,,,,,,,,,,,,,,,,,,,,,,,,,324.544,,,,,,,,,0.08,5.119,16.989,8.986,2.543,1.345,0.221,0.117,,,,,,,,,,,,,,,,0.585,,,,,0.657,,,0.21,0,0,0,0,9.679,0.151,,
Serbia,1870,SRB,1884075,,,,,,,,,,,,,,,,,,,,,,,,,,,341.515,,,,,,,,,0.081,5.152,16.97,9.007,2.568,1.363,0.221,0.118,,,,,,,,,,,,,,,,0.586,,,,,0.599,,,0.21,0,0,0,0,9.707,0.152,,
Serbia,1871,SRB,1877439,,,,,,,,,,,,,,,,,,,,,,,,,,,358.55,,,,,,,,,0.082,5.205,17.035,9.074,2.595,1.382,0.225,0.12,,,,,,,,,,,,,,,,0.587,,,,,0.597,,,0.21,0,0,0,0,9.773,0.154,,
Serbia,1872,SRB,1870822,,,,,,,,,,,,,,,,,,,,,,,,,,,375.646,,,,,,,,,0.083,5.254,17.096,9.138,2.623,1.402,0.232,0.124,,,,,,,,,,,,,,,,0.585,,,,,0.56,,,0.209,0,0,0,0,9.829,0.156,,
Serbia,1873,SRB,1864224,,,,,,,,,,,,,,,,,,,,,,,,,,,392.829,,,,,,,,,0.085,5.317,17.183,9.217,2.651,1.422,0.242,0.13,,,,,,,,,,,,,,,,0.585,,,,,0.577,,,0.208,0,0,0,0,9.913,0.158,,
Serbia,1874,SRB,1857645,,,,,,,,,,,,,,,,,,,,,,,,,,,409.932,,,,,,,,,0.086,5.291,17.103,9.207,2.678,1.442,0.254,0.137,,,,,,,,,,,,,,,,0.583,,,,,0.538,,,0.207,0,0,0,0,9.829,0.16,,
Serbia,1875,SRB,1851085,,,,,,,,,,,,,,,,,,,,,,,,,,,427.003,,,,,,,,,0.088,5.292,17.071,9.222,2.706,1.462,0.268,0.145,,,,,,,,,,,,,,,,0.58,,,,,0.523,,,0.206,0,0,0,0,9.796,0.162,,
Serbia,1876,SRB,1844544,,,,,,,,,,,,,,,,,,,,,,,,,,,444.26,,,,,,,,,0.089,5.411,17.258,9.356,2.734,1.482,0.282,0.153,,,,,,,,,,,,,,,,0.578,,,,,0.526,,,0.205,0,0,0,0,9.981,0.164,,
Serbia,1877,SRB,1838022,,,,,,,,,,,,,,,,,,,,,,,,,,,461.453,,,,,,,,,0.091,5.393,17.192,9.354,2.761,1.502,0.295,0.16,,,,,,,,,,,,,,,,0.576,,,,,0.54,,,0.204,0,0,0,0,9.913,0.167,,
Serbia,1878,SRB,1831519,,,,,,,,,,,,,,,,,,,,,,,,,,,478.623,,,,,,,,,0.092,5.399,17.171,9.375,2.789,1.523,0.306,0.167,,,,,,,,,,,,,,,,0.574,,,,,0.524,,,0.203,0,0,0,0,9.888,0.169,,
Serbia,1879,SRB,1830467,,,,,,,,,,,,,,,,,,,,,,,,,,,495.869,,,,,,,,,0.093,5.441,17.245,9.421,2.817,1.539,0.316,0.172,,,,,,,,,,,,,,,,0.573,,,,,0.527,,,0.202,0,0,0,0,9.959,0.171,,
Serbia,1880,SRB,1834900,,,,,,,,,,,,,,,,,,,,,,,,,,,513.108,,,,,,,,,0.094,5.507,17.239,9.395,2.844,1.55,0.321,0.175,,,,,,,,,,,,,,,,0.57,,,,,0.51,,,0.201,0,0,0,0,10.105,0.172,,
Serbia,1881,SRB,1844854,,,,,,,,,,,,,,,,,,,,,,,,,,,530.129,,,,,,,,,0.094,5.384,17.022,9.227,2.875,1.558,0.325,0.176,,,,,,,,,,,,,,,,0.568,,,,,0.504,,,0.199,0,0,0,0,9.932,0.174,,
Serbia,1882,SRB,1860363,,,,,,,,,,,,,,,,,,,,,,,,,,,547.034,,,,,,,,,0.094,5.292,16.905,9.087,2.906,1.562,0.328,0.176,,,,,,,,,,,,,,,,0.564,,,,,0.475,,,0.198,0,0,0,0,9.845,0.175,,
Serbia,1883,SRB,1881462,,,,,,,,,,,,,,,,,,,,,,,,,,,563.964,,,,,,,,,0.094,5.26,16.93,8.998,2.936,1.561,0.33,0.176,,,,,,,,,,,,,,,,0.562,,,,,0.487,,,0.196,0,0,0,0,9.896,0.177,,
Serbia,1884,SRB,1902796,,,,,,,,,,,,,,,,,,,,,,,,,,,580.847,,,,,,,,,0.094,5.188,16.882,8.872,2.967,1.559,0.333,0.175,,,,,,,,,,,,,,,,0.558,,,,,0.465,,,0.195,0,0,0,0,9.872,0.178,,
Serbia,1885,SRB,1924367,,,,0.013,,,17.089,,,8.88,,,0.007,,,0.013,0.007,,,,,0.013,17.089,0.013,0,0,597.922,0,,,,0,0,0,0,0.1,5.248,17.076,8.873,2.998,1.558,0.335,0.174,0,0,,,,,0.001,0.368,0.001,,0,0.013,0,,0,0.555,0,,,0,0.47,0,,0.193,0,0,0,0,10.099,0.193,,
Serbia,1886,SRB,1946178,,,,,,,,,,,,,,,,,,,,,,,,,,,615.014,,,,,,,,,0.093,5.201,17.092,8.782,3.028,1.556,0.337,0.173,,,,,,,,,,,,,,,,0.553,,,,,0.482,,,0.192,0,0,0,0,10.122,0.181,,
Serbia,1887,SRB,1968231,,,,,,,,,,,,,,,,,,,,,,,,,,,632.197,,,,,,,,,0.093,5.199,17.183,8.73,3.059,1.554,0.339,0.172,,,,,,,,,,,,,,,,0.55,,,,,0.465,,,0.191,0,0,0,0,10.233,0.183,,
Serbia,1888,SRB,1990530,,,,,,,,,,,,,,,,,,,,,,,,,,,649.27,,,,,,,,,0.093,5.097,17.074,8.577,3.09,1.552,0.341,0.171,,,,,,,,,,,,,,,,0.548,,,,,0.479,,,0.19,0,0,0,0,10.146,0.184,,
Serbia,1889,SRB,2013685,,,,,,,,,,,,,,,,,,,,,,,,,,,666.248,,,,,,,,,0.092,5.009,16.978,8.431,3.12,1.549,0.344,0.171,,,,,,,,,,,,,,,,0.545,,,,,0.462,,,0.188,0,0,0,0,10.086,0.186,,
Serbia,1890,SRB,2037713,,,,0.039,,,16.906,,,8.297,,,0.019,,,0.039,0.019,,,,,0.052,33.995,0.052,0,0,683.115,0,,,,0,0,0,0,0.111,4.951,16.867,8.277,3.151,1.546,0.372,0.183,0,0,,,,,0.003,0.322,0.003,,0,0.023,0,,0,0.542,0,,,0,0.427,0,,0.187,0,0,0,0,10.088,0.227,,
Serbia,1891,SRB,2062631,,,,0.046,0.007,16.668,16.901,-0.005,-0.03,8.194,,,0.022,,,0.046,0.022,,,,,0.098,50.896,0.098,0,0,699.97,0,,,,0,0,0,0,0.114,4.921,16.855,8.172,3.185,1.544,0.355,0.172,0,0,,,,,0.003,0.306,0.003,,0,0.033,0,,0,0.537,0,,,0,0.405,0,,0.185,0,0,0,0,10.151,0.235,,
Serbia,1892,SRB,2088455,,,,0.051,0.005,10.713,16.92,0.019,0.115,8.102,,,0.024,,,0.051,0.024,,,,,0.149,67.816,0.149,0,0,716.839,0,,,,0,0,0,0,0.116,4.897,16.87,8.078,3.219,1.541,0.339,0.163,0,0,,,,,0.004,0.309,0.004,,0,0.042,0,,0,0.534,0,,,0,0.411,0,,0.183,0,0,0,0,10.227,0.242,,
Serbia,1893,SRB,2115203,,,,0.09,0.039,77.421,16.982,0.061,0.363,8.028,,,0.043,,,0.09,0.043,,,,,0.239,84.798,0.239,0,0,733.731,0,,,,0,0,0,0,0.134,4.89,16.892,7.986,3.253,1.538,0.324,0.153,0,0,,,,,0.007,0.3,0.007,,0.001,0.051,0.001,,0,0.529,0,,,0,0.394,0,,0.182,0,0,0,0,10.343,0.283,,
Serbia,1894,SRB,2142288,,,,0.172,0.082,90.909,16.896,-0.086,-0.507,7.887,,,0.08,,,0.172,0.08,,,,,0.411,101.694,0.411,0,0,750.455,0,,,,0,0,0,0,0.171,4.814,16.724,7.807,3.287,1.535,0.311,0.145,0,0,,,,,0.012,0.296,0.013,,0.001,0.059,0.001,,0,0.525,0,,,0,0.389,0,,0.18,0,0,0,0,10.313,0.367,,
