country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Slovakia,1850,SVK,2392070,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171,,,,,,,,,0.357,2.497,5.171,2.162,2.05,0.857,0.151,0.063,,,,,,,,,,,,,,,,0.196,,,,,0.196,,,,,,,,5.974,0.855,,
Slovakia,1851,SVK,2400733,,,,,,,,,,,,,,,,,,,,,,,,,,,10.228,,,,,,,,,0.358,2.432,5.056,2.106,2.062,0.859,0.153,0.064,,,,,,,,,,,,,,,,0.187,,,,,0.179,,,0.127,0,0,0,0,5.838,0.86,,
Slovakia,1852,SVK,2409427,,,,,,,,,,,,,,,,,,,,,,,,,,,15.289,,,,,,,,,0.359,2.417,5.062,2.101,2.074,0.861,0.155,0.064,,,,,,,,,,,,,,,,0.184,,,,,0.177,,,0.126,0,0,0,0,5.823,0.866,,
Slovakia,1853,SVK,2418153,,,,,,,,,,,,,,,,,,,,,,,,,,,20.372,,,,,,,,,0.36,2.409,5.083,2.102,2.086,0.863,0.157,0.065,,,,,,,,,,,,,,,,0.182,,,,,0.175,,,0.125,0,0,0,0,5.825,0.871,,
Slovakia,1854,SVK,2426910,,,,,,,,,,,,,,,,,,,,,,,,,,,25.385,,,,,,,,,0.361,2.365,5.013,2.065,2.098,0.865,0.159,0.066,,,,,,,,,,,,,,,,0.18,,,,,0.172,,,0.123,0,0,0,0,5.741,0.876,,
Slovakia,1855,SVK,2435699,,,,,,,,,,,,,,,,,,,,,,,,,,,30.345,,,,,,,,,0.362,2.328,4.96,2.036,2.111,0.866,0.161,0.066,,,,,,,,,,,,,,,,0.178,,,,,0.172,,,0.122,0,0,0,0,5.67,0.882,,
Slovakia,1856,SVK,2444519,,,,,,,,,,,,,,,,,,,,,,,,,,,35.271,,,,,,,,,0.363,2.298,4.926,2.015,2.123,0.868,0.163,0.067,,,,,,,,,,,,,,,,0.176,,,,,0.166,,,0.121,0,0,0,0,5.618,0.887,,
Slovakia,1857,SVK,2453372,,,,,,,,,,,,,,,,,,,,,,,,,,,40.162,,,,,,,,,0.364,2.269,4.891,1.994,2.135,0.87,0.165,0.067,,,,,,,,,,,,,,,,0.175,,,,,0.166,,,0.12,0,0,0,0,5.568,0.892,,
Slovakia,1858,SVK,2462257,,,,,,,,,,,,,,,,,,,,,,,,,,,45.038,,,,,,,,,0.365,2.249,4.876,1.98,2.147,0.872,0.166,0.067,,,,,,,,,,,,,,,,0.174,,,,,0.164,,,0.119,0,0,0,0,5.538,0.898,,
Slovakia,1859,SVK,2471173,,,,,,,,,,,,,,,,,,,,,,,,,,,49.951,,,,,,,,,0.365,2.25,4.913,1.988,2.159,0.874,0.168,0.068,,,,,,,,,,,,,,,,0.173,,,,,0.162,,,0.118,0,0,0,0,5.56,0.903,,
