country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Solomon Islands,1850,SLB,78702,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932,,,,,,,,,0.053,8.152,0.932,11.847,0.017,0.215,0.001,0.01,,,,,,,,,,,,,,,,0.035,,,,,0.035,,,,,,,,0.642,0.004,,
Solomon Islands,1851,SLB,79533,,,,,,,,,,,,,,,,,,,,,,,,,,,1.104,,,,,,,,,0.053,0.922,0.171,2.155,0.017,0.215,0.001,0.01,,,,,,,,,,,,,,,,0.02,,,,,0.006,,,0.002,0,0,0,0,0.073,0.004,,
Solomon Islands,1852,SLB,80372,,,,,,,,,,,,,,,,,,,,,,,,,,,1.333,,,,,,,,,0.054,2.358,0.229,2.853,0.017,0.215,0.001,0.01,,,,,,,,,,,,,,,,0.016,,,,,0.008,,,0.003,0,0,0,0,0.189,0.004,,
Solomon Islands,1853,SLB,81221,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075,,,,,,,,,0.054,-3.335,-0.258,-3.182,0.017,0.214,0.001,0.01,,,,,,,,,,,,,,,,0.01,,,,,-0.009,,,0,0,0,0,0,-0.271,0.004,,
Solomon Islands,1854,SLB,82078,,,,,,,,,,,,,,,,,,,,,,,,,,,1.029,,,,,,,,,0.055,-0.515,-0.046,-0.56,0.018,0.214,0.001,0.01,,,,,,,,,,,,,,,,0.007,,,,,-0.002,,,0,0,0,0,0,-0.042,0.005,,
Solomon Islands,1855,SLB,82944,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722,,,,,,,,,0.055,-3.529,-0.307,-3.702,0.018,0.214,0.001,0.01,,,,,,,,,,,,,,,,0.004,,,,,-0.011,,,-0.002,0,0,0,0,-0.293,0.005,,
Solomon Islands,1856,SLB,83820,,,,,,,,,,,,,,,,,,,,,,,,,,,1.371,,,,,,,,,0.056,7.019,0.649,7.745,0.018,0.213,0.001,0.01,,,,,,,,,,,,,,,,0.007,,,,,0.022,,,0.001,0,0,0,0,0.588,0.005,,
Solomon Islands,1857,SLB,84704,,,,,,,,,,,,,,,,,,,,,,,,,,,1.448,,,,,,,,,0.057,0.944,0.077,0.911,0.018,0.213,0.001,0.01,,,,,,,,,,,,,,,,0.006,,,,,0.003,,,0.001,0,0,0,0,0.08,0.005,,
Solomon Islands,1858,SLB,85598,,,,,,,,,,,,,,,,,,,,,,,,,,,1.214,,,,,,,,,0.057,-2.488,-0.234,-2.739,0.018,0.213,0.001,0.01,,,,,,,,,,,,,,,,0.005,,,,,-0.008,,,0,0,0,0,0,-0.213,0.005,,
Solomon Islands,1859,SLB,86502,,,,,,,,,,,,,,,,,,,,,,,,,,,2.017,,,,,,,,,0.058,9.646,0.803,9.287,0.018,0.212,0.001,0.01,,,,,,,,,,,,,,,,0.007,,,,,0.026,,,0.002,0,0,0,0,0.834,0.005,,
Solomon Islands,1860,SLB,87415,,,,,,,,,,,,,,,,,,,,,,,,,,,1.988,,,,,,,,,0.058,0.221,-0.029,-0.331,0.019,0.212,0.001,0.01,,,,,,,,,,,,,,,,0.006,,,,,-0.001,,,0.002,0,0,0,0,0.019,0.005,,
Solomon Islands,1861,SLB,88337,,,,,,,,,,,,,,,,,,,,,,,,,,,2.049,,,,,,,,,0.059,1.339,0.061,0.69,0.019,0.211,0.001,0.01,,,,,,,,,,,,,,,,0.006,,,,,0.002,,,0.002,0,0,0,0,0.118,0.005,,
Solomon Islands,1862,SLB,89270,,,,,,,,,,,,,,,,,,,,,,,,,,,2.219,,,,,,,,,0.059,2.624,0.17,1.909,0.019,0.211,0.001,0.01,,,,,,,,,,,,,,,,0.006,,,,,0.006,,,0.002,0,0,0,0,0.234,0.005,,
Solomon Islands,1863,SLB,90212,,,,,,,,,,,,,,,,,,,,,,,,,,,2.261,,,,,,,,,0.059,1.234,0.042,0.467,0.019,0.21,0.001,0.01,,,,,,,,,,,,,,,,0.006,,,,,0.002,,,0.002,0,0,0,0,0.111,0.005,,
Solomon Islands,1864,SLB,91164,,,,,,,,,,,,,,,,,,,,,,,,,,,2.278,,,,,,,,,0.06,0.987,0.016,0.178,0.019,0.209,0.001,0.01,,,,,,,,,,,,,,,,0.005,,,,,0.001,,,0.002,0,0,0,0,0.09,0.005,,
Solomon Islands,1865,SLB,92126,,,,,,,,,,,,,,,,,,,,,,,,,,,2.396,,,,,,,,,0.06,2.132,0.119,1.289,0.019,0.208,0.001,0.01,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,0.003,0,0,0,0,0.196,0.006,,
Solomon Islands,1866,SLB,93098,,,,,,,,,,,,,,,,,,,,,,,,,,,2.085,,,,,,,,,0.06,-2.474,-0.312,-3.346,0.019,0.208,0.001,0.009,,,,,,,,,,,,,,,,0.004,,,,,-0.012,,,0.002,0,0,0,0,-0.23,0.006,,
Solomon Islands,1867,SLB,94081,,,,,,,,,,,,,,,,,,,,,,,,,,,2.291,,,,,,,,,0.061,3.09,0.206,2.191,0.019,0.207,0.001,0.009,,,,,,,,,,,,,,,,0.005,,,,,0.008,,,0.002,0,0,0,0,0.291,0.006,,
Solomon Islands,1868,SLB,95074,,,,,,,,,,,,,,,,,,,,,,,,,,,2.771,,,,,,,,,0.061,5.97,0.48,5.049,0.02,0.206,0.001,0.009,,,,,,,,,,,,,,,,0.005,,,,,0.019,,,0.003,0,0,0,0,0.568,0.006,,
Solomon Islands,1869,SLB,96077,,,,,,,,,,,,,,,,,,,,,,,,,,,2.808,,,,,,,,,0.061,1.329,0.037,0.388,0.02,0.206,0.001,0.009,,,,,,,,,,,,,,,,0.005,,,,,0.001,,,0.003,0,0,0,0,0.128,0.006,,
