country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Somalia,1850,SOM,1464409,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335,,,,,,,,,0.1,2.362,0.335,0.229,3.223,2.201,0.233,0.159,,,,,,,,,,,,,,,,0.013,,,,,0.013,,,,,,,,3.459,0.146,,
Somalia,1851,SOM,1471377,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,,,,,,,,,0.1,2.363,0.332,0.225,3.237,2.2,0.238,0.162,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.054,0,0,0,0,3.476,0.147,,
Somalia,1852,SOM,1474586,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996,,,,,,,,,0.1,2.369,0.329,0.223,3.25,2.204,0.242,0.164,,,,,,,,,,,,,,,,0.012,,,,,0.012,,,0.053,0,0,0,0,3.493,0.148,,
Somalia,1853,SOM,1473992,,,,,,,,,,,,,,,,,,,,,,,,,,,1.322,,,,,,,,,0.101,2.382,0.327,0.222,3.264,2.214,0.247,0.167,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.053,0,0,0,0,3.511,0.149,,
Somalia,1854,SOM,1473398,,,,,,,,,,,,,,,,,,,,,,,,,,,1.646,,,,,,,,,0.102,2.394,0.324,0.22,3.278,2.225,0.251,0.17,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.053,0,0,0,0,3.528,0.15,,
Somalia,1855,SOM,1472804,,,,,,,,,,,,,,,,,,,,,,,,,,,1.968,,,,,,,,,0.103,2.407,0.321,0.218,3.292,2.235,0.255,0.173,,,,,,,,,,,,,,,,0.012,,,,,0.011,,,0.053,0,0,0,0,3.545,0.151,,
Somalia,1856,SOM,1472211,,,,,,,,,,,,,,,,,,,,,,,,,,,2.287,,,,,,,,,0.104,2.419,0.319,0.217,3.306,2.246,0.258,0.175,,,,,,,,,,,,,,,,0.011,,,,,0.011,,,0.053,0,0,0,0,3.561,0.153,,
Somalia,1857,SOM,1471617,,,,,,,,,,,,,,,,,,,,,,,,,,,2.603,,,,,,,,,0.105,2.431,0.316,0.215,3.32,2.256,0.261,0.177,,,,,,,,,,,,,,,,0.011,,,,,0.011,,,0.053,0,0,0,0,3.577,0.154,,
Somalia,1858,SOM,1471023,,,,,,,,,,,,,,,,,,,,,,,,,,,2.916,,,,,,,,,0.105,2.443,0.313,0.213,3.334,2.266,0.263,0.179,,,,,,,,,,,,,,,,0.011,,,,,0.011,,,0.053,0,0,0,0,3.593,0.155,,
Somalia,1859,SOM,1470429,,,,,,,,,,,,,,,,,,,,,,,,,,,3.226,,,,,,,,,0.106,2.454,0.311,0.211,3.348,2.277,0.265,0.18,,,,,,,,,,,,,,,,0.011,,,,,0.01,,,0.053,0,0,0,0,3.608,0.156,,
