country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
South Africa,1850,ZAF,2986678,,,,,,,,,,,,,,,,,,,,,,,,,,,2.774,,,,,,,,,0.326,0.989,2.774,0.929,0.518,0.173,1.252,0.419,,,,,,,,,,,,,,,,0.105,,,,,0.105,,,,,,,,2.952,0.974,,
South Africa,1851,ZAF,3033196,,,,,,,,,,,,,,,,,,,,,,,,,,,5.779,,,,,,,,,0.328,1.031,3.005,0.991,0.565,0.186,1.272,0.419,,,,,,,,,,,,,,,,0.106,,,,,0.107,,,0.079,0,0,0,0,3.127,0.994,,
South Africa,1852,ZAF,3073171,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,,,0.33,1.064,3.182,1.035,0.612,0.199,1.292,0.42,,,,,,,,,,,,,,,,0.108,,,,,0.111,,,0.082,0,0,0,0,3.271,1.015,,
South Africa,1853,ZAF,3106364,,,,,,,,,,,,,,,,,,,,,,,,,,,12.242,,,,,,,,,0.334,1.088,3.282,1.056,0.66,0.212,1.311,0.422,,,,,,,,,,,,,,,,0.109,,,,,0.113,,,0.085,0,0,0,0,3.379,1.036,,
South Africa,1854,ZAF,3139915,,,,,,,,,,,,,,,,,,,,,,,,,,,15.62,,,,,,,,,0.337,1.11,3.378,1.076,0.707,0.225,1.329,0.423,,,,,,,,,,,,,,,,0.11,,,,,0.116,,,0.087,0,0,0,0,3.486,1.057,,
South Africa,1855,ZAF,3173826,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,,,,,,0.34,1.131,3.48,1.096,0.755,0.238,1.346,0.424,,,,,,,,,,,,,,,,0.112,,,,,0.121,,,0.09,0,0,0,0,3.589,1.078,,
South Africa,1856,ZAF,3208102,,,,,,,,,,,,,,,,,,,,,,,,,,,22.667,,,,,,,,,0.343,1.15,3.567,1.112,0.802,0.25,1.362,0.425,,,,,,,,,,,,,,,,0.113,,,,,0.12,,,0.092,0,0,0,0,3.689,1.099,,
South Africa,1857,ZAF,3242747,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31,,,,,,,,,0.345,1.166,3.643,1.124,0.85,0.262,1.376,0.424,,,,,,,,,,,,,,,,0.115,,,,,0.123,,,0.095,0,0,0,0,3.782,1.12,,
South Africa,1858,ZAF,3277764,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,,,,,,,,,0.348,1.18,3.7,1.129,0.898,0.274,1.389,0.424,,,,,,,,,,,,,,,,0.116,,,,,0.124,,,0.098,0,0,0,0,3.869,1.141,,
South Africa,1859,ZAF,3313158,,,,,,,,,,,,,,,,,,,,,,,,,,,33.763,,,,,,,,,0.351,1.193,3.752,1.133,0.946,0.286,1.4,0.422,,,,,,,,,,,,,,,,0.117,,,,,0.123,,,0.1,0,0,0,0,3.952,1.161,,
South Africa,1860,ZAF,3348933,,,,,,,,,,,,,,,,,,,,,,,,,,,38.433,,,,,,,,,0.353,1.316,4.671,1.395,0.994,0.297,1.408,0.42,,,,,,,,,,,,,,,,0.121,,,,,0.168,,,0.104,0,0,0,0,4.408,1.182,,
South Africa,1861,ZAF,3385092,,,,,,,,,,,,,,,,,,,,,,,,,,,43.548,,,,,,,,,0.355,1.376,5.114,1.511,1.042,0.308,1.415,0.418,,,,,,,,,,,,,,,,0.126,,,,,0.185,,,0.108,0,0,0,0,4.659,1.203,,
South Africa,1862,ZAF,3421640,,,,,,,,,,,,,,,,,,,,,,,,,,,49.002,,,,,,,,,0.358,1.417,5.455,1.594,1.089,0.318,1.422,0.416,,,,,,,,,,,,,,,,0.132,,,,,0.199,,,0.111,0,0,0,0,4.848,1.223,,
South Africa,1863,ZAF,3458580,,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,,,,,,,,0.36,1.442,5.698,1.647,1.136,0.329,1.428,0.413,,,,,,,,,,,,,,,,0.137,,,,,0.21,,,0.115,0,0,0,0,4.988,1.244,,
South Africa,1864,ZAF,3495918,,,,,,,,,,,,,,,,,,,,,,,,,,,60.575,,,,,,,,,0.362,1.462,5.874,1.68,1.184,0.339,1.434,0.41,,,,,,,,,,,,,,,,0.142,,,,,0.224,,,0.119,0,0,0,0,5.11,1.265,,
South Africa,1865,ZAF,3533658,,,,,,,,,,,,,,,,,,,,,,,,,,,66.582,,,,,,,,,0.364,1.477,6.007,1.7,1.232,0.349,1.441,0.408,,,,,,,,,,,,,,,,0.148,,,,,0.234,,,0.123,0,0,0,0,5.219,1.286,,
South Africa,1866,ZAF,3571803,,,,,,,,,,,,,,,,,,,,,,,,,,,72.752,,,,,,,,,0.366,1.495,6.171,1.728,1.279,0.358,1.447,0.405,,,,,,,,,,,,,,,,0.152,,,,,0.237,,,0.126,0,0,0,0,5.339,1.307,,
South Africa,1867,ZAF,3610358,,,,,,,,,,,,,,,,,,,,,,,,,,,78.974,,,,,,,,,0.368,1.503,6.222,1.723,1.327,0.368,1.453,0.402,,,,,,,,,,,,,,,,0.157,,,,,0.242,,,0.13,0,0,0,0,5.427,1.328,,
South Africa,1868,ZAF,3649328,,,,,,,,,,,,,,,,,,,,,,,,,,,85.283,,,,,,,,,0.37,1.513,6.309,1.729,1.376,0.377,1.46,0.4,,,,,,,,,,,,,,,,0.161,,,,,0.249,,,0.133,0,0,0,0,5.523,1.35,,
South Africa,1869,ZAF,3688717,,,,,,,,,,,,,,,,,,,,,,,,,,,91.658,,,,,,,,,0.372,1.521,6.375,1.728,1.424,0.386,1.466,0.398,,,,,,,,,,,,,,,,0.165,,,,,0.247,,,0.136,0,0,0,0,5.609,1.371,,
South Africa,1870,ZAF,3728529,3275441920,,,,,,,,,,,,,,,,,,,,,,,,,,104.927,,,,,,,,,0.374,2.29,13.269,3.559,1.472,0.395,1.473,0.395,,,,,,,,,,,,,,,,0.18,,,,,0.468,,,0.142,0,0,0,0,8.539,1.393,,
South Africa,1871,ZAF,3768768,,,,,,,,,,,,,,,,,,,,,,,,,,,121.791,,,,,,,,,0.379,2.689,16.864,4.475,1.582,0.42,1.492,0.396,,,,,,,,,,,,,,,,0.199,,,,,0.591,,,0.15,0,0,0,0,10.135,1.428,,
South Africa,1872,ZAF,3809441,,,,,,,,,,,,,,,,,,,,,,,,,,,140.972,,,,,,,,,0.385,2.929,19.181,5.035,1.693,0.444,1.532,0.402,,,,,,,,,,,,,,,,0.22,,,,,0.628,,,0.157,0,0,0,0,11.16,1.465,,
South Africa,1873,ZAF,3850550,,,,,,,,,,,,,,,,,,,,,,,,,,,161.761,,,,,,,,,0.391,3.078,20.789,5.399,1.804,0.468,1.586,0.412,,,,,,,,,,,,,,,,0.241,,,,,0.698,,,0.164,0,0,0,0,11.85,1.504,,
South Africa,1874,ZAF,3892102,,,,,,,,,,,,,,,,,,,,,,,,,,,183.851,,,,,,,,,0.397,3.206,22.09,5.676,1.915,0.492,1.651,0.424,,,,,,,,,,,,,,,,0.261,,,,,0.695,,,0.171,0,0,0,0,12.477,1.544,,
South Africa,1875,ZAF,3934099,,,,,,,,,,,,,,,,,,,,,,,,,,,206.968,,,,,,,,,0.403,3.315,23.117,5.876,2.026,0.515,1.723,0.438,,,,,,,,,,,,,,,,0.281,,,,,0.709,,,0.178,0,0,0,0,13.042,1.585,,
South Africa,1876,ZAF,3976549,,,,,,,,,,,,,,,,,,,,,,,,,,,230.828,,,,,,,,,0.409,3.401,23.859,6,2.137,0.537,1.796,0.452,,,,,,,,,,,,,,,,0.3,,,,,0.727,,,0.185,0,0,0,0,13.525,1.627,,
South Africa,1877,ZAF,4019454,,,,,,,,,,,,,,,,,,,,,,,,,,,255.433,,,,,,,,,0.415,3.483,24.606,6.122,2.249,0.559,1.866,0.464,,,,,,,,,,,,,,,,0.319,,,,,0.773,,,0.192,0,0,0,0,14.001,1.668,,
South Africa,1878,ZAF,4062820,,,,,,,,,,,,,,,,,,,,,,,,,,,280.66,,,,,,,,,0.421,3.553,25.226,6.209,2.36,0.581,1.928,0.475,,,,,,,,,,,,,,,,0.337,,,,,0.77,,,0.198,0,0,0,0,14.434,1.709,,
South Africa,1879,ZAF,4106653,,,,,,,,,,,,,,,,,,,,,,,,,,,306.273,,,,,,,,,0.426,3.599,25.613,6.237,2.472,0.602,1.977,0.482,,,,,,,,,,,,,,,,0.354,,,,,0.783,,,0.204,0,0,0,0,14.78,1.748,,
South Africa,1880,ZAF,4150956,,,,,,,,,,,,,,,,,,,,,,,,,,,327.801,,,,,,,,,0.43,3.173,21.528,5.186,2.585,0.623,2.01,0.484,,,,,,,,,,,,,,,,0.364,,,,,0.637,,,0.209,0,0,0,0,13.17,1.786,,
South Africa,1881,ZAF,4195735,,,,,,,,,,,,,,,,,,,,,,,,,,,347.234,,,,,,,,,0.432,2.954,19.433,4.632,2.642,0.63,2.03,0.484,,,,,,,,,,,,,,,,0.372,,,,,0.575,,,0.212,0,0,0,0,12.396,1.813,,
South Africa,1882,ZAF,4240996,,,,,,,,,,,,,,,,,,,,,,,,,,,365.432,,,,,,,,,0.434,2.836,18.198,4.291,2.699,0.637,2.049,0.483,,,,,,,,,,,,,,,,0.377,,,,,0.512,,,0.214,0,0,0,0,12.029,1.84,,
South Africa,1883,ZAF,4286743,,,,,,,,,,,,,,,,,,,,,,,,,,,382.818,,,,,,,,,0.435,2.772,17.386,4.056,2.757,0.643,2.065,0.482,,,,,,,,,,,,,,,,0.381,,,,,0.5,,,0.217,0,0,0,0,11.883,1.866,,
