country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
South Korea,1850,KOR,9548156,,,,,,,,,,,,,,,,,,,,,,,,,,,0.894,,,,,,,,,0.677,1.125,0.894,0.094,7.544,0.79,0.161,0.017,,,,,,,,,,,,,,,,0.034,,,,,0.034,,,,,,,,10.743,6.467,,
South Korea,1851,KOR,9552157,,,,,,,,,,,,,,,,,,,,,,,,,,,1.805,,,,,,,,,0.678,1.135,0.911,0.095,7.552,0.791,0.164,0.017,,,,,,,,,,,,,,,,0.033,,,,,0.032,,,0.147,0,0,0,0,10.838,6.475,,
South Korea,1852,KOR,9557208,,,,,,,,,,,,,,,,,,,,,,,,,,,2.507,,,,,,,,,0.678,1.119,0.702,0.073,7.561,0.791,0.167,0.017,,,,,,,,,,,,,,,,0.03,,,,,0.025,,,0.144,0,0,0,0,10.699,6.484,,
South Korea,1853,KOR,9563310,,,,,,,,,,,,,,,,,,,,,,,,,,,3.388,,,,,,,,,0.679,1.144,0.881,0.092,7.57,0.792,0.17,0.018,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,0.145,0,0,0,0,10.939,6.492,,
South Korea,1854,KOR,9569414,,,,,,,,,,,,,,,,,,,,,,,,,,,4.258,,,,,,,,,0.679,1.147,0.87,0.091,7.579,0.792,0.172,0.018,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,0.144,0,0,0,0,10.98,6.5,,
South Korea,1855,KOR,9575520,,,,,,,,,,,,,,,,,,,,,,,,,,,5.116,,,,,,,,,0.68,1.149,0.858,0.09,7.588,0.792,0.174,0.018,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,0.145,0,0,0,0,11.006,6.508,,
South Korea,1856,KOR,9581627,,,,,,,,,,,,,,,,,,,,,,,,,,,6.044,,,,,,,,,0.68,1.16,0.928,0.097,7.597,0.793,0.177,0.018,,,,,,,,,,,,,,,,0.03,,,,,0.031,,,0.145,0,0,0,0,11.11,6.516,,
South Korea,1857,KOR,9587737,,,,,,,,,,,,,,,,,,,,,,,,,,,6.882,,,,,,,,,0.68,1.152,0.838,0.087,7.606,0.793,0.179,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.028,,,0.144,0,0,0,0,11.046,6.524,,
South Korea,1858,KOR,9593849,,,,,,,,,,,,,,,,,,,,,,,,,,,7.833,,,,,,,,,0.681,1.165,0.951,0.099,7.614,0.794,0.18,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.032,,,0.144,0,0,0,0,11.174,6.532,,
South Korea,1859,KOR,9599963,,,,,,,,,,,,,,,,,,,,,,,,,,,8.627,,,,,,,,,0.681,1.148,0.794,0.083,7.623,0.794,0.181,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.026,,,0.144,0,0,0,0,11.025,6.54,,
South Korea,1860,KOR,9606079,,,,,,,,,,,,,,,,,,,,,,,,,,,9.376,,,,,,,,,0.682,1.145,0.749,0.078,7.632,0.795,0.182,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.027,,,0.144,0,0,0,0,10.995,6.547,,
South Korea,1861,KOR,9612197,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21,,,,,,,,,0.682,1.154,0.834,0.087,7.641,0.795,0.183,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,0.144,0,0,0,0,11.09,6.555,,
South Korea,1862,KOR,9618317,,,,,,,,,,,,,,,,,,,,,,,,,,,11.109,,,,,,,,,0.682,1.16,0.899,0.093,7.65,0.795,0.184,0.019,,,,,,,,,,,,,,,,0.03,,,,,0.033,,,0.145,0,0,0,0,11.16,6.562,,
