country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Spain,1830,ESP,13041601,21678788608,,,0.004,,,,,,,,,0,0,,0.004,0,,,,,0.004,,0.004,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0,,0,,,,,,,,,,,,,,,,,,,
Spain,1831,ESP,13128533,21732431872,,,0.004,0,0,,,,,,,0,0,,0.004,0,,,,,0.007,,0.007,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0,,0,,,,,,,,,,,,,,,,,,,
Spain,1832,ESP,13216052,20508915712,,,0.004,0,0,,,,,,,0,0,,0.004,0,,,,,0.011,,0.011,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0,,0,,,,,,,,,,,,,,,,,,,
Spain,1833,ESP,13304164,21151356928,,,0.004,0,0,,,,,,,0,0,,0.004,0,,,,,0.015,,0.015,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Spain,1834,ESP,13392863,20952487936,,,0.004,0,0,,,,,,,0,0,,0.004,0,,,,,0.018,,0.018,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Spain,1835,ESP,13482154,21218117632,,,0.004,0,0,,,,,,,0,0,,0.004,0,,,,,0.022,,0.022,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Spain,1836,ESP,13572039,20867338240,,,0.022,0.018,500,,,,,,,0.002,0.001,,0.022,0.002,,,,,0.044,,0.044,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.021,,0.021,,0.002,,0.002,,,,,,,,,,,,,,,,,,,
Spain,1837,ESP,13662525,21171808256,,,0.037,0.015,66.667,,,,,,,0.003,0.002,,0.037,0.003,,,,,0.081,,0.081,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.035,,0.035,,0.003,,0.003,,,,,,,,,,,,,,,,,,,
Spain,1838,ESP,13753613,21121165312,,,0.026,-0.011,-30,,,,,,,0.002,0.001,,0.026,0.002,,,,,0.106,,0.106,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.024,,0.024,,0.004,,0.004,,,,,,,,,,,,,,,,,,,
Spain,1839,ESP,13845298,21810671616,,,0.048,0.022,85.714,,,,,,,0.003,0.002,,0.048,0.003,,,,,0.154,,0.154,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.043,,0.043,,0.005,,0.005,,,,,,,,,,,,,,,,,,,
