country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Sri Lanka,1850,LKA,2169961,1993083008,,,,,,,,,,,,,,,,,,,,,,,,,,23.412,,,,,,,,,0.202,6.102,23.412,10.789,1.229,0.566,0.374,0.172,,,,,,,,,,,,,,,,0.887,,,,,0.887,,,,,,,,13.242,0.439,,
Sri Lanka,1851,LKA,2168520,,,,,,,,,,,,,,,,,,,,,,,,,,,45.146,,,,,,,,,0.194,5.857,21.733,10.022,1.221,0.563,0.381,0.176,,,,,,,,,,,,,,,,0.827,,,,,0.771,,,0.326,0,0,0,0,12.7,0.421,,
Sri Lanka,1852,LKA,2151774,,,,,,,,,,,,,,,,,,,,,,,,,,,65.833,,,,,,,,,0.198,5.686,20.687,9.614,1.237,0.575,0.389,0.181,,,,,,,,,,,,,,,,0.792,,,,,0.724,,,0.319,0,0,0,0,12.234,0.427,,
Sri Lanka,1853,LKA,2119618,,,,,,,,,,,,,,,,,,,,,,,,,,,85.805,,,,,,,,,0.204,5.698,19.973,9.423,1.253,0.591,0.396,0.187,,,,,,,,,,,,,,,,0.765,,,,,0.687,,,0.313,0,0,0,0,12.078,0.433,,
Sri Lanka,1854,LKA,2087941,,,,,,,,,,,,,,,,,,,,,,,,,,,105.919,,,,,,,,,0.21,5.954,20.114,9.633,1.269,0.608,0.402,0.193,,,,,,,,,,,,,,,,0.749,,,,,0.69,,,0.311,0,0,0,0,12.433,0.438,,
Sri Lanka,1855,LKA,2056737,,,,,,,,,,,,,,,,,,,,,,,,,,,125.904,,,,,,,,,0.215,5.995,19.985,9.717,1.284,0.624,0.408,0.198,,,,,,,,,,,,,,,,0.74,,,,,0.694,,,0.31,0,0,0,0,12.329,0.443,,
Sri Lanka,1856,LKA,2025998,,,,,,,,,,,,,,,,,,,,,,,,,,,145.923,,,,,,,,,0.221,5.996,20.019,9.881,1.299,0.641,0.414,0.204,,,,,,,,,,,,,,,,0.73,,,,,0.674,,,0.307,0,0,0,0,12.148,0.448,,
Sri Lanka,1857,LKA,1995717,,,,,,,,,,,,,,,,,,,,,,,,,,,165.597,,,,,,,,,0.227,6.152,19.674,9.858,1.314,0.658,0.418,0.21,,,,,,,,,,,,,,,,0.722,,,,,0.667,,,0.305,0,0,0,0,12.279,0.453,,
Sri Lanka,1858,LKA,1965888,,,,,,,,,,,,,,,,,,,,,,,,,,,185.012,,,,,,,,,0.233,6.264,19.415,9.876,1.33,0.677,0.422,0.215,,,,,,,,,,,,,,,,0.714,,,,,0.653,,,0.304,0,0,0,0,12.314,0.459,,
Sri Lanka,1859,LKA,1957494,,,,,,,,,,,,,,,,,,,,,,,,,,,205.386,,,,,,,,,0.238,6.517,20.373,10.408,1.347,0.688,0.425,0.217,,,,,,,,,,,,,,,,0.709,,,,,0.67,,,0.303,0,0,0,0,12.758,0.465,,
