country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Sudan,1850,SDN,4687944,,,,,,,,,,,,,,,,,,,,,,,,,,,1.415,,,,,,,,,0.457,2.719,1.415,0.302,11.663,2.488,0.35,0.075,,,,,,,,,,,,,,,,0.054,,,,,0.054,,,,,,,,12.745,2.144,,
Sudan,1851,SDN,4697753,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,0.459,2.717,1.335,0.284,11.703,2.491,0.357,0.076,,,,,,,,,,,,,,,,0.05,,,,,0.047,,,0.172,0,0,0,0,12.764,2.156,,
Sudan,1852,SDN,4707556,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,0.461,2.718,1.3,0.276,11.743,2.495,0.363,0.077,,,,,,,,,,,,,,,,0.049,,,,,0.045,,,0.172,0,0,0,0,12.793,2.169,,
Sudan,1853,SDN,4717354,,,,,,,,,,,,,,,,,,,,,,,,,,,5.314,,,,,,,,,0.463,2.719,1.264,0.268,11.784,2.498,0.37,0.078,,,,,,,,,,,,,,,,0.047,,,,,0.044,,,0.171,0,0,0,0,12.825,2.182,,
Sudan,1854,SDN,4727145,,,,,,,,,,,,,,,,,,,,,,,,,,,6.553,,,,,,,,,0.464,2.717,1.239,0.262,11.824,2.501,0.376,0.079,,,,,,,,,,,,,,,,0.046,,,,,0.043,,,0.17,0,0,0,0,12.844,2.195,,
Sudan,1855,SDN,4736930,,,,,,,,,,,,,,,,,,,,,,,,,,,7.767,,,,,,,,,0.466,2.715,1.214,0.256,11.864,2.505,0.381,0.08,,,,,,,,,,,,,,,,0.046,,,,,0.042,,,0.17,0,0,0,0,12.862,2.208,,
Sudan,1856,SDN,4746708,,,,,,,,,,,,,,,,,,,,,,,,,,,8.972,,,,,,,,,0.468,2.718,1.206,0.254,11.904,2.508,0.386,0.081,,,,,,,,,,,,,,,,0.045,,,,,0.041,,,0.169,0,0,0,0,12.9,2.221,,
Sudan,1857,SDN,4756479,,,,,,,,,,,,,,,,,,,,,,,,,,,10.137,,,,,,,,,0.47,2.716,1.164,0.245,11.945,2.511,0.39,0.082,,,,,,,,,,,,,,,,0.044,,,,,0.039,,,0.169,0,0,0,0,12.918,2.234,,
Sudan,1858,SDN,4766243,,,,,,,,,,,,,,,,,,,,,,,,,,,11.278,,,,,,,,,0.471,2.717,1.141,0.239,11.985,2.515,0.394,0.083,,,,,,,,,,,,,,,,0.044,,,,,0.038,,,0.169,0,0,0,0,12.948,2.247,,
Sudan,1859,SDN,4776000,,,,,,,,,,,,,,,,,,,,,,,,,,,12.405,,,,,,,,,0.473,2.721,1.127,0.236,12.026,2.518,0.396,0.083,,,,,,,,,,,,,,,,0.043,,,,,0.037,,,0.168,0,0,0,0,12.997,2.26,,
Sudan,1860,SDN,4785749,,,,,,,,,,,,,,,,,,,,,,,,,,,13.495,,,,,,,,,0.475,2.713,1.091,0.228,12.067,2.521,0.398,0.083,,,,,,,,,,,,,,,,0.043,,,,,0.039,,,0.169,0,0,0,0,12.985,2.273,,
Sudan,1861,SDN,4795490,,,,,,,,,,,,,,,,,,,,,,,,,,,14.555,,,,,,,,,0.477,2.717,1.059,0.221,12.118,2.527,0.399,0.083,,,,,,,,,,,,,,,,0.042,,,,,0.038,,,0.169,0,0,0,0,13.028,2.287,,
Sudan,1862,SDN,4805223,,,,,,,,,,,,,,,,,,,,,,,,,,,15.605,,,,,,,,,0.479,2.714,1.05,0.218,12.17,2.533,0.4,0.083,,,,,,,,,,,,,,,,0.042,,,,,0.038,,,0.17,0,0,0,0,13.042,2.302,,
Sudan,1863,SDN,4814948,,,,,,,,,,,,,,,,,,,,,,,,,,,16.653,,,,,,,,,0.481,2.721,1.049,0.218,12.221,2.538,0.401,0.083,,,,,,,,,,,,,,,,0.042,,,,,0.039,,,0.171,0,0,0,0,13.1,2.316,,
Sudan,1864,SDN,4824663,,,,,,,,,,,,,,,,,,,,,,,,,,,17.695,,,,,,,,,0.483,2.723,1.041,0.216,12.273,2.544,0.402,0.083,,,,,,,,,,,,,,,,0.042,,,,,0.04,,,0.171,0,0,0,0,13.138,2.331,,
Sudan,1865,SDN,4834370,,,,,,,,,,,,,,,,,,,,,,,,,,,18.728,,,,,,,,,0.485,2.729,1.033,0.214,12.325,2.549,0.403,0.083,,,,,,,,,,,,,,,,0.041,,,,,0.04,,,0.172,0,0,0,0,13.195,2.345,,
Sudan,1866,SDN,4844068,,,,,,,,,,,,,,,,,,,,,,,,,,,19.741,,,,,,,,,0.487,2.732,1.013,0.209,12.377,2.555,0.404,0.083,,,,,,,,,,,,,,,,0.041,,,,,0.039,,,0.173,0,0,0,0,13.234,2.36,,
Sudan,1867,SDN,4853755,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74,,,,,,,,,0.489,2.734,0.999,0.206,12.429,2.561,0.405,0.083,,,,,,,,,,,,,,,,0.041,,,,,0.039,,,0.174,0,0,0,0,13.269,2.374,,
Sudan,1868,SDN,4863433,,,,,,,,,,,,,,,,,,,,,,,,,,,21.728,,,,,,,,,0.491,2.738,0.989,0.203,12.481,2.566,0.406,0.083,,,,,,,,,,,,,,,,0.041,,,,,0.039,,,0.175,0,0,0,0,13.316,2.389,,
Sudan,1869,SDN,4873101,,,,,,,,,,,,,,,,,,,,,,,,,,,22.729,,,,,,,,,0.493,2.741,1,0.205,12.533,2.572,0.407,0.084,,,,,,,,,,,,,,,,0.041,,,,,0.039,,,0.175,0,0,0,0,13.358,2.404,,
Sudan,1870,SDN,4882759,,,,,,,,,,,,,,,,,,,,,,,,,,,23.784,,,,,,,,,0.495,2.751,1.055,0.216,12.585,2.578,0.408,0.084,,,,,,,,,,,,,,,,0.041,,,,,0.037,,,0.175,0,0,0,0,13.432,2.419,,
Sudan,1871,SDN,4891117,,,,,,,,,,,,,,,,,,,,,,,,,,,24.879,,,,,,,,,0.498,2.76,1.095,0.224,12.639,2.584,0.415,0.085,,,,,,,,,,,,,,,,0.041,,,,,0.038,,,0.176,0,0,0,0,13.498,2.434,,
Sudan,1872,SDN,4900750,,,,,,,,,,,,,,,,,,,,,,,,,,,25.985,,,,,,,,,0.5,2.772,1.106,0.226,12.693,2.59,0.429,0.088,,,,,,,,,,,,,,,,0.04,,,,,0.036,,,0.175,0,0,0,0,13.583,2.45,,
Sudan,1873,SDN,4910372,,,,,,,,,,,,,,,,,,,,,,,,,,,27.078,,,,,,,,,0.502,2.784,1.093,0.223,12.748,2.596,0.45,0.092,,,,,,,,,,,,,,,,0.04,,,,,0.037,,,0.175,0,0,0,0,13.67,2.467,,
Sudan,1874,SDN,4919982,,,,,,,,,,,,,,,,,,,,,,,,,,,28.176,,,,,,,,,0.505,2.79,1.098,0.223,12.802,2.602,0.475,0.097,,,,,,,,,,,,,,,,0.04,,,,,0.035,,,0.174,0,0,0,0,13.725,2.483,,
Sudan,1875,SDN,4929581,,,,,,,,,,,,,,,,,,,,,,,,,,,29.269,,,,,,,,,0.507,2.8,1.093,0.222,12.856,2.608,0.503,0.102,,,,,,,,,,,,,,,,0.04,,,,,0.034,,,0.174,0,0,0,0,13.804,2.5,,
Sudan,1876,SDN,4939168,,,,,,,,,,,,,,,,,,,,,,,,,,,30.363,,,,,,,,,0.51,2.808,1.094,0.221,12.91,2.614,0.532,0.108,,,,,,,,,,,,,,,,0.039,,,,,0.033,,,0.173,0,0,0,0,13.868,2.517,,
Sudan,1877,SDN,4948742,,,,,,,,,,,,,,,,,,,,,,,,,,,31.459,,,,,,,,,0.512,2.823,1.095,0.221,12.965,2.62,0.559,0.113,,,,,,,,,,,,,,,,0.039,,,,,0.034,,,0.173,0,0,0,0,13.968,2.534,,
Sudan,1878,SDN,4958303,,,,,,,,,,,,,,,,,,,,,,,,,,,32.545,,,,,,,,,0.514,2.837,1.086,0.219,13.02,2.626,0.583,0.118,,,,,,,,,,,,,,,,0.039,,,,,0.033,,,0.173,0,0,0,0,14.065,2.551,,
Sudan,1879,SDN,4967851,,,,,,,,,,,,,,,,,,,,,,,,,,,33.627,,,,,,,,,0.517,2.858,1.083,0.218,13.074,2.632,0.602,0.121,,,,,,,,,,,,,,,,0.039,,,,,0.033,,,0.172,0,0,0,0,14.197,2.568,,
Sudan,1880,SDN,4977386,,,,,,,,,,,,,,,,,,,,,,,,,,,34.768,,,,,,,,,0.519,2.881,1.141,0.229,13.129,2.638,0.613,0.123,,,,,,,,,,,,,,,,0.039,,,,,0.034,,,0.172,0,0,0,0,14.339,2.584,,
Sudan,1881,SDN,4986907,,,,,,,,,,,,,,,,,,,,,,,,,,,35.944,,,,,,,,,0.521,2.897,1.175,0.236,13.185,2.644,0.62,0.124,,,,,,,,,,,,,,,,0.038,,,,,0.035,,,0.171,0,0,0,0,14.445,2.601,,
