country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Suriname,1850,SUR,85225,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,,,,,,,,,0.19,3.18,0.233,2.739,0.069,0.805,0.007,0.087,,,,,,,,,,,,,,,,0.009,,,,,0.009,,,,,,,,0.271,0.016,,
Suriname,1851,SUR,85290,,,,,,,,,,,,,,,,,,,,,,,,,,,0.451,,,,,,,,,0.191,3.068,0.217,2.547,0.069,0.81,0.008,0.088,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.006,0,0,0,0,0.262,0.016,,
Suriname,1852,SUR,85355,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663,,,,,,,,,0.193,3.024,0.212,2.482,0.07,0.815,0.008,0.089,,,,,,,,,,,,,,,,0.008,,,,,0.007,,,0.006,0,0,0,0,0.258,0.016,,
Suriname,1853,SUR,85420,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874,,,,,,,,,0.194,3.044,0.211,2.473,0.07,0.82,0.008,0.09,,,,,,,,,,,,,,,,0.008,,,,,0.007,,,0.006,0,0,0,0,0.26,0.017,,
Suriname,1854,SUR,85485,,,,,,,,,,,,,,,,,,,,,,,,,,,1.085,,,,,,,,,0.196,3.054,0.211,2.466,0.071,0.825,0.008,0.091,,,,,,,,,,,,,,,,0.008,,,,,0.007,,,0.006,0,0,0,0,0.261,0.017,,
Suriname,1855,SUR,85549,,,,,,,,,,,,,,,,,,,,,,,,,,,1.301,,,,,,,,,0.197,3.113,0.217,2.533,0.071,0.83,0.008,0.092,,,,,,,,,,,,,,,,0.008,,,,,0.008,,,0.006,0,0,0,0,0.266,0.017,,
Suriname,1856,SUR,85614,,,,,,,,,,,,,,,,,,,,,,,,,,,1.512,,,,,,,,,0.198,3.076,0.211,2.467,0.072,0.835,0.008,0.093,,,,,,,,,,,,,,,,0.008,,,,,0.007,,,0.006,0,0,0,0,0.263,0.017,,
Suriname,1857,SUR,85679,,,,,,,,,,,,,,,,,,,,,,,,,,,1.724,,,,,,,,,0.2,3.095,0.212,2.471,0.072,0.84,0.008,0.094,,,,,,,,,,,,,,,,0.008,,,,,0.007,,,0.006,0,0,0,0,0.265,0.017,,
Suriname,1858,SUR,85744,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936,,,,,,,,,0.201,3.105,0.212,2.472,0.072,0.845,0.008,0.094,,,,,,,,,,,,,,,,0.007,,,,,0.007,,,0.006,0,0,0,0,0.266,0.017,,
Suriname,1859,SUR,85808,,,,,,,,,,,,,,,,,,,,,,,,,,,2.147,,,,,,,,,0.203,3.09,0.211,2.461,0.073,0.85,0.008,0.095,,,,,,,,,,,,,,,,0.007,,,,,0.007,,,0.006,0,0,0,0,0.265,0.017,,
