country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Sweden,1834,SWE,2972567,4521862144,,,0.033,,,,,,,,,0.011,0.007,,0.033,0.011,,,,,0.033,,0.033,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.037,,0.037,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Sweden,1839,SWE,3098887,4789508096,,,0.044,,,,,,,,,0.014,0.009,,0.044,0.014,,,,,0.077,,0.077,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.04,,0.04,,0.002,,0.002,,,,,,,,,,,,,,,,,,,
Sweden,1840,SWE,3127143,4896864256,,,0.04,-0.004,-8.333,,,,,,,0.013,0.008,,0.04,0.013,,,,,0.117,,0.117,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.034,,0.034,,0.004,,0.004,,,,,,,,,,,,,,,,,,,
Sweden,1841,SWE,3156963,4888644096,,,0.04,0,0,,,,,,,0.013,0.008,,0.04,0.013,,,,,0.158,,0.158,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.033,,0.033,,0.005,,0.005,,,,,,,,,,,,,,,,,,,
Sweden,1842,SWE,3188373,4708440064,,,0.081,0.04,100,,,,,,,0.025,0.017,,0.081,0.025,,,,,0.238,,0.238,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.062,,0.062,,0.007,,0.007,,,,,,,,,,,,,,,,,,,
Sweden,1843,SWE,3221400,4857268224,,,0.059,-0.022,-27.273,,,,,,,0.018,0.012,,0.059,0.018,,,,,0.297,,0.297,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.044,,0.044,,0.008,,0.008,,,,,,,,,,,,,,,,,,,
Sweden,1844,SWE,3254769,5121688064,,,0.099,0.04,68.75,,,,,,,0.03,0.019,,0.099,0.03,,,,,0.396,,0.396,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.07,,0.07,,0.011,,0.011,,,,,,,,,,,,,,,,,,,
Sweden,1845,SWE,3288483,5306560000,,,0.088,-0.011,-11.111,,,,,,,0.027,0.017,,0.088,0.027,,,,,0.484,,0.484,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.057,,0.057,,0.012,,0.012,,,,,,,,,,,,,,,,,,,
Sweden,1846,SWE,3322547,5174819840,,,0.081,-0.007,-8.333,,,,,,,0.024,0.016,,0.081,0.024,,,,,0.564,,0.564,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.051,,0.051,,0.014,,0.014,,,,,,,,,,,,,,,,,,,
Sweden,1847,SWE,3356964,5343088128,,,0.081,0,0,,,,,,,0.024,0.015,,0.081,0.024,,,,,0.645,,0.645,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.047,,0.047,,0.015,,0.015,,,,,,,,,,,,,,,,,,,
