country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Switzerland,1850,CHE,2376868,,,,,,,,,,,,,,,,,,,,,,,,,,,3.702,,,,,,,,,0.149,2.17,3.702,1.558,1.922,0.808,0.244,0.103,,,,,,,,,,,,,,,,0.14,,,,,0.14,,,,,,,,5.158,0.355,,
Switzerland,1851,CHE,2391043,5863698432,,,,,,,,,,,,,,,,,,,,,,,,,,7.348,,,,,,,,,0.15,2.151,3.645,1.525,1.932,0.808,0.248,0.104,,,,,,,,,,,,,,,,0.135,,,,,0.129,,,0.116,0,0,0,0,5.144,0.359,,
Switzerland,1852,CHE,2404559,5884720640,,,,,,,,,,,,,,,,,,,,,,,,,,11.002,,,,,,,,,0.15,2.145,3.655,1.52,1.942,0.807,0.252,0.105,,,,,,,,,,,,,,,,0.132,,,,,0.128,,,0.116,0,0,0,0,5.159,0.361,,
Switzerland,1853,CHE,2417406,5738822144,,,,,,,,,,,,,,,,,,,,,,,,,,14.821,,,,,,,,,0.15,2.203,3.819,1.58,1.951,0.807,0.256,0.106,,,,,,,,,,,,,,,,0.132,,,,,0.131,,,0.116,0,0,0,0,5.326,0.363,,
Switzerland,1854,CHE,2430322,5494258688,,,,,,,,,,,,,,,,,,,,,,,,,,18.419,,,,,,,,,0.151,2.103,3.598,1.48,1.961,0.807,0.26,0.107,,,,,,,,,,,,,,,,0.13,,,,,0.123,,,0.114,0,0,0,0,5.11,0.366,,
Switzerland,1855,CHE,2443307,5794497536,,,,,,,,,,,,,,,,,,,,,,,,,,22.251,,,,,,,,,0.151,2.191,3.832,1.568,1.971,0.807,0.263,0.108,,,,,,,,,,,,,,,,0.131,,,,,0.133,,,0.115,0,0,0,0,5.352,0.369,,
Switzerland,1856,CHE,2456362,5944148992,,,,,,,,,,,,,,,,,,,,,,,,,,25.912,,,,,,,,,0.152,2.114,3.662,1.491,1.981,0.806,0.266,0.108,,,,,,,,,,,,,,,,0.13,,,,,0.123,,,0.114,0,0,0,0,5.192,0.372,,
Switzerland,1857,CHE,2469486,6883699712,,,,,,,,,,,,,,,,,,,,,,,,,,29.351,,,,,,,,,0.152,2.017,3.438,1.392,1.99,0.806,0.269,0.109,,,,,,,,,,,,,,,,0.128,,,,,0.117,,,0.112,0,0,0,0,4.981,0.375,,
Switzerland,1858,CHE,2482681,7108380160,,,0.147,,,3.571,,,1.438,0.502,,0.059,0.021,,0.147,0.059,,,,,0.147,3.571,0.147,,0,32.775,0,,,,,,0,0,0.211,2.065,3.424,1.379,2,0.806,0.272,0.109,0,0,,,,,0.051,0.11,0.051,,0.002,0.013,0.002,,,0.126,0,,,,0.115,0,,0.111,0,0,0,0,5.127,0.524,,
Switzerland,1859,CHE,2496075,7226973696,,,0.205,0.059,40,3.349,-0.222,-6.218,1.342,0.463,,0.082,0.028,,0.205,0.082,,,,,0.352,6.92,0.352,,0,35.919,0,,,,,,0,0,0.234,1.97,3.144,1.259,2.01,0.805,0.274,0.11,0,0,,,,,0.068,0.1,0.068,,0.005,0.022,0.005,,,0.124,0,,,,0.103,0,,0.11,0,0,0,0,4.918,0.585,,
