country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Syria,1850,SYR,1479045,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773,,,,,,,,,0.638,1.798,0.773,0.523,1.275,0.862,0.072,0.049,,,,,,,,,,,,,,,,0.029,,,,,0.029,,,,,,,,2.659,0.944,,
Syria,1851,SYR,1484168,,,,,,,,,,,,,,,,,,,,,,,,,,,1.549,,,,,,,,,0.637,1.798,0.776,0.523,1.278,0.861,0.074,0.05,,,,,,,,,,,,,,,,0.028,,,,,0.028,,,0.048,0,0,0,0,2.668,0.946,,
Syria,1852,SYR,1489310,,,,,,,,,,,,,,,,,,,,,,,,,,,2.325,,,,,,,,,0.637,1.797,0.776,0.521,1.281,0.86,0.075,0.051,,,,,,,,,,,,,,,,0.028,,,,,0.027,,,0.048,0,0,0,0,2.677,0.948,,
Syria,1853,SYR,1494469,,,,,,,,,,,,,,,,,,,,,,,,,,,3.101,,,,,,,,,0.636,1.797,0.776,0.519,1.284,0.859,0.077,0.051,,,,,,,,,,,,,,,,0.028,,,,,0.027,,,0.048,0,0,0,0,2.685,0.95,,
Syria,1854,SYR,1499646,,,,,,,,,,,,,,,,,,,,,,,,,,,3.876,,,,,,,,,0.635,1.796,0.775,0.517,1.287,0.858,0.078,0.052,,,,,,,,,,,,,,,,0.027,,,,,0.027,,,0.048,0,0,0,0,2.693,0.952,,
Syria,1855,SYR,1504840,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,0.634,1.794,0.774,0.514,1.29,0.857,0.079,0.053,,,,,,,,,,,,,,,,0.027,,,,,0.027,,,0.048,0,0,0,0,2.7,0.954,,
Syria,1856,SYR,1510053,,,,,,,,,,,,,,,,,,,,,,,,,,,5.423,,,,,,,,,0.633,1.792,0.773,0.512,1.293,0.857,0.08,0.053,,,,,,,,,,,,,,,,0.027,,,,,0.026,,,0.047,0,0,0,0,2.706,0.956,,
Syria,1857,SYR,1515284,,,,,,,,,,,,,,,,,,,,,,,,,,,6.194,,,,,,,,,0.633,1.79,0.771,0.509,1.296,0.856,0.081,0.053,,,,,,,,,,,,,,,,0.027,,,,,0.026,,,0.047,0,0,0,0,2.712,0.959,,
Syria,1858,SYR,1520533,,,,,,,,,,,,,,,,,,,,,,,,,,,6.963,,,,,,,,,0.632,1.787,0.769,0.506,1.299,0.855,0.082,0.054,,,,,,,,,,,,,,,,0.027,,,,,0.026,,,0.047,0,0,0,0,2.718,0.961,,
Syria,1859,SYR,1525800,,,,,,,,,,,,,,,,,,,,,,,,,,,7.731,,,,,,,,,0.631,1.785,0.768,0.503,1.302,0.854,0.082,0.054,,,,,,,,,,,,,,,,0.027,,,,,0.025,,,0.047,0,0,0,0,2.723,0.963,,
