country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Tajikistan,1830,TJK,511305,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Tajikistan,1831,TJK,515997,,,,0,0,20,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Tajikistan,1832,TJK,520732,,,,0,0,-33.333,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Tajikistan,1833,TJK,525510,,,,0,0,25,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Tajikistan,1850,TJK,613795,,,,0,,,0.536,,,0.874,,,0.001,,,0,0.001,,,,,0.001,0.536,0.001,0,0,0.536,0,,,,0,0,0,0,0.153,2.286,0.536,0.873,0.473,0.771,0.115,0.188,0,0,,,,,0,0.019,0,,0,0.019,0,,,0.02,,,,,0.02,,,,,,,,1.403,0.094,,
Tajikistan,1851,TJK,619281,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075,,,,,,,,,0.152,2.233,0.54,0.871,0.474,0.765,0.117,0.19,,,,,,,,,,,,,,,,0.02,,,,,0.019,,,0.026,0,0,0,0,1.383,0.094,,
Tajikistan,1852,TJK,624816,,,,,,,,,,,,,,,,,,,,,,,,,,,1.617,,,,,,,,,0.151,2.192,0.542,0.867,0.474,0.759,0.12,0.192,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.026,0,0,0,0,1.37,0.094,,
Tajikistan,1853,TJK,630401,,,,,,,,,,,,,,,,,,,,,,,,,,,2.161,,,,,,,,,0.15,2.163,0.544,0.863,0.475,0.753,0.122,0.193,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.026,0,0,0,0,1.364,0.094,,
Tajikistan,1854,TJK,636036,,,,,,,,,,,,,,,,,,,,,,,,,,,2.707,,,,,,,,,0.149,2.139,0.546,0.859,0.475,0.747,0.124,0.195,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.025,0,0,0,0,1.36,0.095,,
Tajikistan,1855,TJK,641721,,,,0.001,,,0.55,,,0.857,,,0.002,,,0.001,0.002,,,,,0.002,1.086,0.002,0,0,3.256,0,,,,0,0,0,0,0.15,2.117,0.549,0.855,0.476,0.742,0.126,0.196,0,0,,,,,0,0.018,0,,0,0.006,0,,,0.019,0,,,,0.019,0,,0.025,0,0,0,0,1.358,0.096,,
