country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Tanzania,1850,TZA,5400400,,,,,,,,,,,,,,,,,,,,,,,,,,,7.246,,,,,,,,,0.106,1.573,7.246,1.342,3.24,0.6,0.492,0.091,,,,,,,,,,,,,,,,0.275,,,,,0.275,,,,,,,,8.497,0.573,,
Tanzania,1851,TZA,5438857,,,,,,,,,,,,,,,,,,,,,,,,,,,14.177,,,,,,,,,0.106,1.549,6.931,1.274,3.245,0.597,0.501,0.092,,,,,,,,,,,,,,,,0.26,,,,,0.246,,,0.152,0,0,0,0,8.427,0.578,,
Tanzania,1852,TZA,5455214,,,,,,,,,,,,,,,,,,,,,,,,,,,21.151,,,,,,,,,0.107,1.548,6.974,1.278,3.251,0.596,0.511,0.094,,,,,,,,,,,,,,,,0.254,,,,,0.244,,,0.152,0,0,0,0,8.444,0.582,,
Tanzania,1853,TZA,5449060,,,,,,,,,,,,,,,,,,,,,,,,,,,27.832,,,,,,,,,0.108,1.534,6.681,1.226,3.257,0.598,0.52,0.095,,,,,,,,,,,,,,,,0.248,,,,,0.23,,,0.15,0,0,0,0,8.359,0.586,,
Tanzania,1854,TZA,5442913,,,,,,,,,,,,,,,,,,,,,,,,,,,34.363,,,,,,,,,0.109,1.526,6.531,1.2,3.263,0.599,0.529,0.097,,,,,,,,,,,,,,,,0.243,,,,,0.224,,,0.149,0,0,0,0,8.307,0.591,,
Tanzania,1855,TZA,5436773,,,,,,,,,,,,,,,,,,,,,,,,,,,40.861,,,,,,,,,0.109,1.524,6.497,1.195,3.269,0.601,0.536,0.099,,,,,,,,,,,,,,,,0.24,,,,,0.226,,,0.148,0,0,0,0,8.283,0.595,,
Tanzania,1856,TZA,5430640,,,,,,,,,,,,,,,,,,,,,,,,,,,47.253,,,,,,,,,0.11,1.518,6.392,1.177,3.275,0.603,0.544,0.1,,,,,,,,,,,,,,,,0.236,,,,,0.215,,,0.147,0,0,0,0,8.242,0.6,,
Tanzania,1857,TZA,5424513,,,,,,,,,,,,,,,,,,,,,,,,,,,53.562,,,,,,,,,0.111,1.517,6.309,1.163,3.281,0.605,0.55,0.101,,,,,,,,,,,,,,,,0.234,,,,,0.214,,,0.146,0,0,0,0,8.229,0.604,,
Tanzania,1858,TZA,5418393,,,,,,,,,,,,,,,,,,,,,,,,,,,59.803,,,,,,,,,0.112,1.516,6.241,1.152,3.287,0.607,0.555,0.102,,,,,,,,,,,,,,,,0.231,,,,,0.21,,,0.145,0,0,0,0,8.217,0.609,,
Tanzania,1859,TZA,5412280,,,,,,,,,,,,,,,,,,,,,,,,,,,66.489,,,,,,,,,0.113,1.565,6.686,1.235,3.294,0.609,0.558,0.103,,,,,,,,,,,,,,,,0.23,,,,,0.22,,,0.145,0,0,0,0,8.471,0.614,,
Tanzania,1860,TZA,5406174,,,,,,,,,,,,,,,,,,,,,,,,,,,73.318,,,,,,,,,0.114,1.558,6.83,1.263,3.3,0.61,0.561,0.104,,,,,,,,,,,,,,,,0.231,,,,,0.246,,,0.145,0,0,0,0,8.425,0.618,,
Tanzania,1861,TZA,5400075,,,,,,,,,,,,,,,,,,,,,,,,,,,79.973,,,,,,,,,0.115,1.553,6.655,1.232,3.311,0.613,0.562,0.104,,,,,,,,,,,,,,,,0.232,,,,,0.24,,,0.146,0,0,0,0,8.388,0.624,,
Tanzania,1862,TZA,5393982,,,,,,,,,,,,,,,,,,,,,,,,,,,86.697,,,,,,,,,0.117,1.56,6.723,1.246,3.321,0.616,0.563,0.104,,,,,,,,,,,,,,,,0.233,,,,,0.245,,,0.146,0,0,0,0,8.413,0.629,,
Tanzania,1863,TZA,5387897,,,,,,,,,,,,,,,,,,,,,,,,,,,93.471,,,,,,,,,0.118,1.562,6.774,1.257,3.331,0.618,0.564,0.105,,,,,,,,,,,,,,,,0.234,,,,,0.25,,,0.146,0,0,0,0,8.414,0.634,,
Tanzania,1864,TZA,5381818,,,,,,,,,,,,,,,,,,,,,,,,,,,100.108,,,,,,,,,0.119,1.559,6.637,1.233,3.342,0.621,0.565,0.105,,,,,,,,,,,,,,,,0.235,,,,,0.253,,,0.147,0,0,0,0,8.389,0.64,,
Tanzania,1865,TZA,5375746,,,,,,,,,,,,,,,,,,,,,,,,,,,107.328,,,,,,,,,0.12,1.626,7.22,1.343,3.353,0.624,0.566,0.105,,,,,,,,,,,,,,,,0.238,,,,,0.281,,,0.148,0,0,0,0,8.742,0.645,,
Tanzania,1866,TZA,5369680,,,,,,,,,,,,,,,,,,,,,,,,,,,114.185,,,,,,,,,0.121,1.589,6.857,1.277,3.363,0.626,0.567,0.106,,,,,,,,,,,,,,,,0.239,,,,,0.263,,,0.148,0,0,0,0,8.532,0.651,,
Tanzania,1867,TZA,5363622,,,,,,,,,,,,,,,,,,,,,,,,,,,121.179,,,,,,,,,0.122,1.596,6.994,1.304,3.374,0.629,0.568,0.106,,,,,,,,,,,,,,,,0.241,,,,,0.272,,,0.149,0,0,0,0,8.562,0.657,,
Tanzania,1868,TZA,5357570,,,,,,,,,,,,,,,,,,,,,,,,,,,128.054,,,,,,,,,0.124,1.59,6.875,1.283,3.385,0.632,0.569,0.106,,,,,,,,,,,,,,,,0.242,,,,,0.271,,,0.149,0,0,0,0,8.518,0.663,,
