country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Thailand,1850,THA,5233697,,,,,,,,,,,,,,,,,,,,,,,,,,,13.969,,,,,,,,,0.258,3.567,13.969,2.669,7.568,1.446,0.365,0.07,,,,,,,,,,,,,,,,0.529,,,,,0.529,,,,,,,,18.67,1.353,,
Thailand,1851,THA,5258401,,,,,,,,,,,,,,,,,,,,,,,,,,,29.763,,,,,,,,,0.259,3.565,15.794,3.004,7.607,1.447,0.372,0.071,,,,,,,,,,,,,,,,0.545,,,,,0.56,,,0.435,0,0,0,0,18.744,1.361,,
Thailand,1852,THA,5284426,,,,,,,,,,,,,,,,,,,,,,,,,,,50.816,,,,,,,,,0.259,4.232,21.053,3.984,7.646,1.447,0.378,0.072,,,,,,,,,,,,,,,,0.611,,,,,0.737,,,0.475,0,0,0,0,22.365,1.368,,
Thailand,1853,THA,5311786,,,,,,,,,,,,,,,,,,,,,,,,,,,72.294,,,,,,,,,0.259,4.317,21.478,4.044,7.685,1.447,0.384,0.072,,,,,,,,,,,,,,,,0.644,,,,,0.739,,,0.49,0,0,0,0,22.933,1.376,,
Thailand,1854,THA,5339287,,,,,,,,,,,,,,,,,,,,,,,,,,,92.989,,,,,,,,,0.259,4.095,20.695,3.876,7.724,1.447,0.39,0.073,,,,,,,,,,,,,,,,0.658,,,,,0.71,,,0.488,0,0,0,0,21.866,1.384,,
Thailand,1855,THA,5366930,,,,,,,,,,,,,,,,,,,,,,,,,,,115.398,,,,,,,,,0.259,4.292,22.409,4.175,7.763,1.446,0.395,0.074,,,,,,,,,,,,,,,,0.678,,,,,0.778,,,0.493,0,0,0,0,23.035,1.392,,
Thailand,1856,THA,5394716,,,,,,,,,,,,,,,,,,,,,,,,,,,136.691,,,,,,,,,0.259,4.145,21.293,3.947,7.802,1.446,0.4,0.074,,,,,,,,,,,,,,,,0.684,,,,,0.717,,,0.491,0,0,0,0,22.362,1.399,,
Thailand,1857,THA,5422646,,,,,,,,,,,,,,,,,,,,,,,,,,,158.83,,,,,,,,,0.259,4.337,22.139,4.083,7.841,1.446,0.404,0.075,,,,,,,,,,,,,,,,0.693,,,,,0.75,,,0.493,0,0,0,0,23.515,1.407,,
Thailand,1858,THA,5450720,,,,,,,,,,,,,,,,,,,,,,,,,,,179.07,,,,,,,,,0.259,3.927,20.24,3.713,7.88,1.446,0.408,0.075,,,,,,,,,,,,,,,,0.691,,,,,0.68,,,0.488,0,0,0,0,21.404,1.414,,
Thailand,1859,THA,5478939,,,,,,,,,,,,,,,,,,,,,,,,,,,200.219,,,,,,,,,0.259,4.068,21.149,3.86,7.919,1.445,0.411,0.075,,,,,,,,,,,,,,,,0.692,,,,,0.696,,,0.485,0,0,0,0,22.289,1.422,,
