country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Togo,1850,TGO,507119,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089,,,,,,,,,0.278,0.604,-0.089,-0.175,0.223,0.441,0.03,0.06,,,,,,,,,,,,,,,,-0.003,,,,,-0.003,,,,,,,,0.306,0.141,,
Togo,1851,TGO,510212,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.197,,,,,,,,,0.278,0.585,-0.108,-0.211,0.224,0.44,0.031,0.06,,,,,,,,,,,,,,,,-0.004,,,,,-0.004,,,0.004,0,0,0,0,0.298,0.142,,
Togo,1852,TGO,513500,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.338,,,,,,,,,0.278,0.554,-0.141,-0.275,0.225,0.439,0.031,0.061,,,,,,,,,,,,,,,,-0.004,,,,,-0.005,,,0.004,0,0,0,0,0.284,0.143,,
Togo,1853,TGO,516986,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.517,,,,,,,,,0.278,0.52,-0.179,-0.346,0.226,0.438,0.032,0.062,,,,,,,,,,,,,,,,-0.005,,,,,-0.006,,,0.003,0,0,0,0,0.269,0.144,,
Togo,1854,TGO,520496,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.735,,,,,,,,,0.278,0.487,-0.218,-0.418,0.227,0.437,0.032,0.062,,,,,,,,,,,,,,,,-0.005,,,,,-0.007,,,0.003,0,0,0,0,0.253,0.145,,
Togo,1855,TGO,524029,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.99,,,,,,,,,0.278,0.456,-0.256,-0.488,0.228,0.436,0.033,0.063,,,,,,,,,,,,,,,,-0.006,,,,,-0.009,,,0.003,0,0,0,0,0.239,0.146,,
Togo,1856,TGO,527586,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.282,,,,,,,,,0.278,0.427,-0.292,-0.554,0.229,0.435,0.033,0.063,,,,,,,,,,,,,,,,-0.006,,,,,-0.01,,,0.003,0,0,0,0,0.225,0.147,,
Togo,1857,TGO,531167,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.609,,,,,,,,,0.278,0.401,-0.327,-0.615,0.23,0.434,0.034,0.064,,,,,,,,,,,,,,,,-0.007,,,,,-0.011,,,0.003,0,0,0,0,0.213,0.148,,
Togo,1858,TGO,534771,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.969,,,,,,,,,0.278,0.376,-0.36,-0.672,0.231,0.433,0.034,0.064,,,,,,,,,,,,,,,,-0.008,,,,,-0.012,,,0.003,0,0,0,0,0.201,0.149,,
Togo,1859,TGO,538400,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.359,,,,,,,,,0.278,0.353,-0.391,-0.726,0.232,0.431,0.034,0.064,,,,,,,,,,,,,,,,-0.008,,,,,-0.013,,,0.003,0,0,0,0,0.19,0.15,,
