country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Tonga,1850,TON,18517,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,,,,,0.388,2.711,0.023,1.239,0.017,0.893,0.001,0.039,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,,,,,,0.05,0.007,,
Tonga,1851,TON,18558,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,,,,,,,,,0.39,2.716,0.023,1.228,0.017,0.896,0.001,0.04,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.05,0.007,,
Tonga,1852,TON,18605,,,,,,,,,,,,,,,,,,,,,,,,,,,0.068,,,,,,,,,0.391,2.717,0.022,1.209,0.017,0.898,0.001,0.041,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.051,0.007,,
Tonga,1853,TON,18658,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,0.392,2.72,0.022,1.194,0.017,0.901,0.001,0.041,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.051,0.007,,
Tonga,1854,TON,18711,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,,,0.393,2.723,0.022,1.183,0.017,0.903,0.001,0.042,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.051,0.007,,
Tonga,1855,TON,18764,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,0.394,2.728,0.022,1.174,0.017,0.906,0.001,0.042,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.051,0.007,,
Tonga,1856,TON,18818,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157,,,,,,,,,0.395,2.733,0.022,1.164,0.017,0.908,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.051,0.007,,
Tonga,1857,TON,18871,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178,,,,,,,,,0.397,2.739,0.022,1.157,0.017,0.91,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.007,,
Tonga,1858,TON,18925,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,0.398,2.745,0.022,1.152,0.017,0.913,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1859,TON,18978,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,,,0.399,2.752,0.022,1.145,0.017,0.915,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1860,TON,19032,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,,,,,,,,,0.4,2.726,0.02,1.032,0.017,0.917,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1861,TON,19086,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,0.4,2.703,0.018,0.958,0.018,0.918,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1862,TON,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277,,,,,,,,,0.4,2.692,0.017,0.902,0.018,0.919,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1863,TON,19194,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294,,,,,,,,,0.401,2.685,0.016,0.855,0.018,0.919,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1864,TON,19248,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309,,,,,,,,,0.401,2.682,0.016,0.817,0.018,0.92,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1865,TON,19302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,,,,,,,,,0.401,2.681,0.015,0.782,0.018,0.92,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1866,TON,19357,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339,,,,,,,,,0.401,2.683,0.015,0.751,0.018,0.921,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1867,TON,19411,,,,,,,,,,,,,,,,,,,,,,,,,,,0.353,,,,,,,,,0.402,2.686,0.014,0.725,0.018,0.922,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1868,TON,19466,,,,,,,,,,,,,,,,,,,,,,,,,,,0.367,,,,,,,,,0.402,2.69,0.014,0.702,0.018,0.922,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.052,0.008,,
Tonga,1869,TON,19521,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,0.402,2.697,0.013,0.681,0.018,0.923,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.001,0,0,0,0,0.053,0.008,,
Tonga,1870,TON,19576,,,,,,,,,,,,,,,,,,,,,,,,,,,0.393,,,,,,,,,0.403,2.703,0.013,0.659,0.018,0.923,0.001,0.043,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.053,0.008,,
Tonga,1871,TON,19631,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405,,,,,,,,,0.403,2.712,0.013,0.642,0.018,0.924,0.001,0.044,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.053,0.008,,
Tonga,1872,TON,19686,,,,,,,,,,,,,,,,,,,,,,,,,,,0.418,,,,,,,,,0.403,2.723,0.012,0.625,0.018,0.925,0.001,0.045,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.054,0.008,,
Tonga,1873,TON,19742,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,0.404,2.737,0.012,0.611,0.018,0.925,0.001,0.048,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.054,0.008,,
Tonga,1874,TON,19797,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,,,,,,,,0.404,2.752,0.012,0.598,0.018,0.926,0.001,0.051,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.054,0.008,,
Tonga,1875,TON,19853,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453,,,,,,,,,0.405,2.768,0.012,0.585,0.018,0.927,0.001,0.054,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.055,0.008,,
Tonga,1876,TON,19908,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,,,0.406,2.785,0.011,0.574,0.018,0.927,0.001,0.058,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.055,0.008,,
Tonga,1877,TON,19964,,,,,,,,,,,,,,,,,,,,,,,,,,,0.476,,,,,,,,,0.406,2.803,0.011,0.565,0.019,0.928,0.001,0.061,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.056,0.008,,
Tonga,1878,TON,20020,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487,,,,,,,,,0.407,2.821,0.011,0.556,0.019,0.928,0.001,0.064,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.056,0.008,,
Tonga,1879,TON,20076,,,,,,,,,,,,,,,,,,,,,,,,,,,0.498,,,,,,,,,0.407,2.84,0.011,0.548,0.019,0.929,0.001,0.066,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.057,0.008,,
Tonga,1880,TON,20132,,,,,,,,,,,,,,,,,,,,,,,,,,,0.509,,,,,,,,,0.407,2.857,0.011,0.537,0.019,0.93,0.001,0.067,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.058,0.008,,
Tonga,1881,TON,20189,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,0.408,2.875,0.011,0.528,0.019,0.93,0.001,0.067,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.058,0.008,,
Tonga,1882,TON,20245,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,0.408,2.893,0.011,0.521,0.019,0.931,0.001,0.068,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.059,0.008,,
Tonga,1883,TON,20302,,,,,,,,,,,,,,,,,,,,,,,,,,,0.541,,,,,,,,,0.409,2.913,0.01,0.514,0.019,0.932,0.001,0.068,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.059,0.008,,
Tonga,1884,TON,20358,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551,,,,,,,,,0.409,2.932,0.01,0.508,0.019,0.932,0.001,0.069,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.06,0.008,,
Tonga,1885,TON,20415,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561,,,,,,,,,0.409,2.953,0.01,0.503,0.019,0.933,0.001,0.069,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.06,0.008,,
Tonga,1886,TON,20472,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571,,,,,,,,,0.41,2.974,0.01,0.498,0.019,0.934,0.001,0.069,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.061,0.008,,
Tonga,1887,TON,20529,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581,,,,,,,,,0.41,2.996,0.01,0.493,0.019,0.935,0.001,0.069,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.001,0,0,0,0,0.061,0.008,,
Tonga,1888,TON,20587,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591,,,,,,,,,0.411,3.018,0.01,0.488,0.019,0.935,0.001,0.07,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.062,0.008,,
Tonga,1889,TON,20644,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,,,,,,,,,0.411,3.042,0.01,0.485,0.019,0.936,0.001,0.07,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.063,0.008,,
Tonga,1890,TON,20701,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611,,,,,,,,,0.412,3.071,0.01,0.476,0.019,0.937,0.002,0.077,,,,,,,,,,,,,,,,0,,,,,0,,,0.001,0,0,0,0,0.064,0.009,,
