country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Trinidad and Tobago,1850,TTO,80585,,,,,,,,,,,,,,,,,,,,,,,,,,,1.069,,,,,,,,,0.711,7.691,1.069,13.264,0.051,0.638,0.018,0.229,,,,,,,,,,,,,,,,0.041,,,,,0.041,,,,,,,,0.62,0.057,,
Trinidad and Tobago,1851,TTO,81976,,,,,,,,,,,,,,,,,,,,,,,,,,,2.048,,,,,,,,,0.785,7.156,0.979,11.943,0.052,0.635,0.025,0.306,,,,,,,,,,,,,,,,0.038,,,,,0.035,,,0.014,0,0,0,0,0.587,0.064,,
Trinidad and Tobago,1852,TTO,83584,,,,,,,,,,,,,,,,,,,,,,,,,,,2.988,,,,,,,,,0.855,6.884,0.94,11.245,0.053,0.632,0.032,0.381,,,,,,,,,,,,,,,,0.036,,,,,0.033,,,0.014,0,0,0,0,0.575,0.071,,
Trinidad and Tobago,1853,TTO,85417,,,,,,,,,,,,,,,,,,,,,,,,,,,3.908,,,,,,,,,0.925,6.761,0.921,10.778,0.054,0.633,0.038,0.451,,,,,,,,,,,,,,,,0.035,,,,,0.032,,,0.014,0,0,0,0,0.577,0.079,,
Trinidad and Tobago,1854,TTO,87289,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,,,,,,,,,0.992,6.668,0.911,10.439,0.055,0.633,0.045,0.518,,,,,,,,,,,,,,,,0.034,,,,,0.031,,,0.014,0,0,0,0,0.582,0.087,,
Trinidad and Tobago,1855,TTO,89203,,,,,,,,,,,,,,,,,,,,,,,,,,,5.727,,,,,,,,,1.055,6.579,0.907,10.171,0.056,0.632,0.052,0.582,,,,,,,,,,,,,,,,0.034,,,,,0.032,,,0.014,0,0,0,0,0.587,0.094,,
Trinidad and Tobago,1856,TTO,91159,,,,,,,,,,,,,,,,,,,,,,,,,,,6.633,,,,,,,,,1.123,6.506,0.906,9.943,0.058,0.64,0.059,0.642,,,,,,,,,,,,,,,,0.033,,,,,0.031,,,0.014,0,0,0,0,0.593,0.102,,
Trinidad and Tobago,1857,TTO,93157,,,,,,,,,,,,,,,,,,,,,,,,,,,7.541,,,,,,,,,1.188,6.441,0.907,9.741,0.06,0.647,0.065,0.7,,,,,,,,,,,,,,,,0.033,,,,,0.031,,,0.014,0,0,0,0,0.6,0.111,,
Trinidad and Tobago,1858,TTO,95199,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,,,,,,,,,1.25,6.379,0.91,9.555,0.062,0.654,0.072,0.755,,,,,,,,,,,,,,,,0.033,,,,,0.031,,,0.014,0,0,0,0,0.607,0.119,,
Trinidad and Tobago,1859,TTO,97311,,,,,,,,,,,,,,,,,,,,,,,,,,,9.363,,,,,,,,,1.308,6.318,0.912,9.377,0.064,0.66,0.079,0.808,,,,,,,,,,,,,,,,0.032,,,,,0.03,,,0.014,0,0,0,0,0.615,0.127,,
Trinidad and Tobago,1860,TTO,99494,,,,,,,,,,,,,,,,,,,,,,,,,,,10.231,,,,,,,,,1.364,6.025,0.869,8.73,0.066,0.666,0.085,0.857,,,,,,,,,,,,,,,,0.032,,,,,0.031,,,0.014,0,0,0,0,0.599,0.136,,
Trinidad and Tobago,1861,TTO,101750,,,,,,,,,,,,,,,,,,,,,,,,,,,11.086,,,,,,,,,1.413,5.912,0.855,8.402,0.068,0.668,0.092,0.903,,,,,,,,,,,,,,,,0.032,,,,,0.031,,,0.014,0,0,0,0,0.602,0.144,,
Trinidad and Tobago,1862,TTO,104082,,,,,,,,,,,,,,,,,,,,,,,,,,,11.936,,,,,,,,,1.458,5.835,0.85,8.163,0.07,0.67,0.099,0.947,,,,,,,,,,,,,,,,0.032,,,,,0.031,,,0.014,0,0,0,0,0.607,0.152,,
Trinidad and Tobago,1863,TTO,106492,,,,,,,,,,,,,,,,,,,,,,,,,,,12.784,,,,,,,,,1.501,5.779,0.848,7.962,0.071,0.671,0.105,0.988,,,,,,,,,,,,,,,,0.032,,,,,0.031,,,0.014,0,0,0,0,0.615,0.16,,
Trinidad and Tobago,1864,TTO,108958,,,,,,,,,,,,,,,,,,,,,,,,,,,13.632,,,,,,,,,1.541,5.728,0.848,7.783,0.073,0.672,0.112,1.027,,,,,,,,,,,,,,,,0.032,,,,,0.032,,,0.014,0,0,0,0,0.624,0.168,,
Trinidad and Tobago,1865,TTO,111481,,,,,,,,,,,,,,,,,,,,,,,,,,,14.481,,,,,,,,,1.575,5.677,0.849,7.618,0.074,0.668,0.119,1.063,,,,,,,,,,,,,,,,0.032,,,,,0.033,,,0.015,0,0,0,0,0.633,0.176,,
Trinidad and Tobago,1866,TTO,114063,,,,,,,,,,,,,,,,,,,,,,,,,,,15.332,,,,,,,,,1.606,5.628,0.851,7.463,0.076,0.664,0.125,1.098,,,,,,,,,,,,,,,,0.032,,,,,0.033,,,0.015,0,0,0,0,0.642,0.183,,
Trinidad and Tobago,1867,TTO,116704,,,,,,,,,,,,,,,,,,,,,,,,,,,16.186,,,,,,,,,1.636,5.578,0.854,7.315,0.077,0.661,0.132,1.13,,,,,,,,,,,,,,,,0.032,,,,,0.033,,,0.015,0,0,0,0,0.651,0.191,,
Trinidad and Tobago,1868,TTO,119406,,,,,,,,,,,,,,,,,,,,,,,,,,,17.043,,,,,,,,,1.663,5.528,0.856,7.173,0.078,0.657,0.139,1.16,,,,,,,,,,,,,,,,0.032,,,,,0.034,,,0.015,0,0,0,0,0.66,0.199,,
Trinidad and Tobago,1869,TTO,122418,,,,,,,,,,,,,,,,,,,,,,,,,,,17.902,,,,,,,,,1.683,5.468,0.86,7.021,0.08,0.65,0.145,1.186,,,,,,,,,,,,,,,,0.032,,,,,0.033,,,0.015,0,0,0,0,0.669,0.206,,
Trinidad and Tobago,1870,TTO,125755,,,,,,,,,,,,,,,,,,,,,,,,,,,19.29,,,,,,,,,1.697,7.516,1.388,11.038,0.081,0.641,0.152,1.207,,,,,,,,,,,,,,,,0.033,,,,,0.049,,,0.015,0,0,0,0,0.945,0.213,,
Trinidad and Tobago,1871,TTO,129433,,,,,,,,,,,,,,,,,,,,,,,,,,,20.875,,,,,,,,,1.717,8.071,1.585,12.246,0.084,0.645,0.159,1.225,,,,,,,,,,,,,,,,0.034,,,,,0.056,,,0.016,0,0,0,0,1.045,0.222,,
Trinidad and Tobago,1872,TTO,133469,,,,,,,,,,,,,,,,,,,,,,,,,,,22.566,,,,,,,,,1.732,8.274,1.691,12.667,0.086,0.647,0.165,1.238,,,,,,,,,,,,,,,,0.035,,,,,0.055,,,0.016,0,0,0,0,1.104,0.231,,
Trinidad and Tobago,1873,TTO,137880,,,,,,,,,,,,,,,,,,,,,,,,,,,24.325,,,,,,,,,1.741,8.269,1.759,12.755,0.089,0.647,0.172,1.248,,,,,,,,,,,,,,,,0.036,,,,,0.059,,,0.017,0,0,0,0,1.14,0.24,,
Trinidad and Tobago,1874,TTO,142436,,,,,,,,,,,,,,,,,,,,,,,,,,,26.132,,,,,,,,,1.747,8.22,1.807,12.686,0.092,0.646,0.179,1.256,,,,,,,,,,,,,,,,0.037,,,,,0.057,,,0.017,0,0,0,0,1.171,0.249,,
