country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Turkey,1850,TUR,11072856,,,,,,,,,,,,,,,,,,,,,,,,,,,14.882,,,,,,,,,0.166,1.851,14.882,1.344,10.565,0.954,1.214,0.11,,,,,,,,,,,,,,,,0.564,,,,,0.564,,,,,,,,20.491,1.841,,
Turkey,1851,TUR,11105405,,,,,,,,,,,,,,,,,,,,,,,,,,,29.801,,,,,,,,,0.167,1.819,14.919,1.343,10.604,0.955,1.237,0.111,,,,,,,,,,,,,,,,0.546,,,,,0.529,,,0.372,0,0,0,0,20.195,1.852,,
Turkey,1852,TUR,11138049,,,,,,,,,,,,,,,,,,,,,,,,,,,44.734,,,,,,,,,0.167,1.789,14.933,1.341,10.644,0.956,1.26,0.113,,,,,,,,,,,,,,,,0.538,,,,,0.523,,,0.367,0,0,0,0,19.922,1.864,,
Turkey,1853,TUR,11170788,,,,,,,,,,,,,,,,,,,,,,,,,,,59.672,,,,,,,,,0.168,1.763,14.938,1.337,10.684,0.956,1.282,0.115,,,,,,,,,,,,,,,,0.532,,,,,0.514,,,0.361,0,0,0,0,19.691,1.875,,
Turkey,1854,TUR,11203623,,,,,,,,,,,,,,,,,,,,,,,,,,,74.604,,,,,,,,,0.168,1.739,14.932,1.333,10.723,0.957,1.303,0.116,,,,,,,,,,,,,,,,0.528,,,,,0.512,,,0.356,0,0,0,0,19.48,1.887,,
Turkey,1855,TUR,11236554,,,,,,,,,,,,,,,,,,,,,,,,,,,89.528,,,,,,,,,0.169,1.716,14.923,1.328,10.763,0.958,1.322,0.118,,,,,,,,,,,,,,,,0.526,,,,,0.518,,,0.352,0,0,0,0,19.283,1.899,,
Turkey,1856,TUR,11269582,,,,,,,,,,,,,,,,,,,,,,,,,,,104.467,,,,,,,,,0.169,1.696,14.94,1.326,10.803,0.959,1.339,0.119,,,,,,,,,,,,,,,,0.523,,,,,0.503,,,0.348,0,0,0,0,19.117,1.91,,
Turkey,1857,TUR,11302705,,,,,,,,,,,,,,,,,,,,,,,,,,,119.396,,,,,,,,,0.17,1.675,14.929,1.321,10.843,0.959,1.354,0.12,,,,,,,,,,,,,,,,0.521,,,,,0.506,,,0.344,0,0,0,0,18.936,1.922,,
Turkey,1858,TUR,11335926,,,,,,,,,,,,,,,,,,,,,,,,,,,134.323,,,,,,,,,0.17,1.656,14.927,1.317,10.883,0.96,1.366,0.12,,,,,,,,,,,,,,,,0.518,,,,,0.502,,,0.341,0,0,0,0,18.774,1.933,,
Turkey,1859,TUR,11369244,,,,,,,,,,,,,,,,,,,,,,,,,,,149.267,,,,,,,,,0.171,1.639,14.945,1.314,10.924,0.961,1.375,0.121,,,,,,,,,,,,,,,,0.516,,,,,0.492,,,0.337,0,0,0,0,18.633,1.945,,
