country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Turkmenistan,1830,TKM,402373,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Turkmenistan,1831,TKM,406065,,,,0,0,20,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Turkmenistan,1832,TKM,409791,,,,0,0,-33.333,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Turkmenistan,1833,TKM,413552,,,,0,0,25,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Turkmenistan,1850,TKM,483028,,,,0.001,,,0.524,,,1.085,,,0.002,,,0.001,0.002,,,,,0.002,0.524,0.002,0,0,0.523,0,,,,0,0,0,0,0.441,8.335,0.523,1.083,0.546,1.131,0.252,0.521,0,0,,,,,0,0.018,0,,0,0.018,0,,,0.02,,,,,0.02,,,,,,,,4.026,0.213,,
Turkmenistan,1851,TKM,487438,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052,,,,,,,,,0.437,8.311,0.528,1.084,0.547,1.122,0.256,0.525,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.089,0,0,0,0,4.051,0.213,,
Turkmenistan,1852,TKM,491888,,,,,,,,,,,,,,,,,,,,,,,,,,,1.583,,,,,,,,,0.435,8.281,0.532,1.081,0.548,1.114,0.26,0.529,,,,,,,,,,,,,,,,0.019,,,,,0.019,,,0.089,0,0,0,0,4.073,0.214,,
Turkmenistan,1853,TKM,496379,,,,,,,,,,,,,,,,,,,,,,,,,,,2.117,,,,,,,,,0.434,8.248,0.534,1.075,0.548,1.105,0.264,0.532,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.089,0,0,0,0,4.094,0.215,,
Turkmenistan,1854,TKM,500912,,,,,,,,,,,,,,,,,,,,,,,,,,,2.652,,,,,,,,,0.432,8.212,0.535,1.068,0.549,1.096,0.268,0.535,,,,,,,,,,,,,,,,0.019,,,,,0.018,,,0.088,0,0,0,0,4.113,0.216,,
Turkmenistan,1855,TKM,505485,,,,0.003,,,0.539,,,1.066,,,0.006,,,0.003,0.006,,,,,0.004,1.063,0.004,0,0,3.188,0,,,,0,0,0,0,0.436,8.18,0.536,1.061,0.55,1.088,0.271,0.537,0,0,,,,,0.001,0.017,0.001,,0,0.006,0,,,0.019,0,,,,0.019,0,,0.088,0,0,0,0,4.135,0.221,,
