country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Uganda,1850,UGA,2947359,,,,,,,,,,,,,,,,,,,,,,,,,,,4.856,,,,,,,,,0.159,1.858,4.856,1.648,1.395,0.473,0.222,0.075,,,,,,,,,,,,,,,,0.184,,,,,0.184,,,,,,,,5.475,0.469,,
Uganda,1851,UGA,2972646,,,,,,,,,,,,,,,,,,,,,,,,,,,9.435,,,,,,,,,0.159,1.811,4.579,1.54,1.399,0.471,0.226,0.076,,,,,,,,,,,,,,,,0.173,,,,,0.162,,,0.108,0,0,0,0,5.382,0.474,,
Uganda,1852,UGA,2993733,,,,,,,,,,,,,,,,,,,,,,,,,,,13.729,,,,,,,,,0.16,1.767,4.295,1.435,1.404,0.469,0.229,0.077,,,,,,,,,,,,,,,,0.165,,,,,0.15,,,0.106,0,0,0,0,5.289,0.478,,
Uganda,1853,UGA,3010534,,,,,,,,,,,,,,,,,,,,,,,,,,,17.904,,,,,,,,,0.16,1.735,4.175,1.387,1.408,0.468,0.233,0.077,,,,,,,,,,,,,,,,0.16,,,,,0.144,,,0.105,0,0,0,0,5.224,0.483,,
Uganda,1854,UGA,3027421,,,,,,,,,,,,,,,,,,,,,,,,,,,22.147,,,,,,,,,0.161,1.719,4.243,1.401,1.413,0.467,0.237,0.078,,,,,,,,,,,,,,,,0.157,,,,,0.146,,,0.104,0,0,0,0,5.205,0.487,,
Uganda,1855,UGA,3044395,,,,,,,,,,,,,,,,,,,,,,,,,,,26.264,,,,,,,,,0.161,1.696,4.117,1.352,1.417,0.465,0.24,0.079,,,,,,,,,,,,,,,,0.154,,,,,0.143,,,0.103,0,0,0,0,5.163,0.492,,
Uganda,1856,UGA,3061456,,,,,,,,,,,,,,,,,,,,,,,,,,,30.321,,,,,,,,,0.162,1.68,4.057,1.325,1.422,0.464,0.243,0.079,,,,,,,,,,,,,,,,0.152,,,,,0.137,,,0.102,0,0,0,0,5.144,0.496,,
Uganda,1857,UGA,3078605,,,,,,,,,,,,,,,,,,,,,,,,,,,34.31,,,,,,,,,0.163,1.666,3.989,1.296,1.426,0.463,0.246,0.08,,,,,,,,,,,,,,,,0.15,,,,,0.135,,,0.101,0,0,0,0,5.129,0.501,,
Uganda,1858,UGA,3095842,,,,,,,,,,,,,,,,,,,,,,,,,,,38.802,,,,,,,,,0.163,1.7,4.492,1.451,1.431,0.462,0.248,0.08,,,,,,,,,,,,,,,,0.15,,,,,0.151,,,0.101,0,0,0,0,5.264,0.506,,
Uganda,1859,UGA,3113168,,,,,,,,,,,,,,,,,,,,,,,,,,,43.049,,,,,,,,,0.164,1.654,4.247,1.364,1.436,0.461,0.25,0.08,,,,,,,,,,,,,,,,0.149,,,,,0.14,,,0.101,0,0,0,0,5.149,0.51,,
Uganda,1860,UGA,3130583,,,,,,,,,,,,,,,,,,,,,,,,,,,47.317,,,,,,,,,0.164,1.65,4.268,1.363,1.441,0.46,0.251,0.08,,,,,,,,,,,,,,,,0.149,,,,,0.153,,,0.101,0,0,0,0,5.166,0.515,,
Uganda,1861,UGA,3148087,,,,,,,,,,,,,,,,,,,,,,,,,,,51.382,,,,,,,,,0.165,1.618,4.065,1.291,1.447,0.46,0.252,0.08,,,,,,,,,,,,,,,,0.149,,,,,0.147,,,0.101,0,0,0,0,5.094,0.52,,
Uganda,1862,UGA,3165682,,,,,,,,,,,,,,,,,,,,,,,,,,,55.342,,,,,,,,,0.166,1.604,3.96,1.251,1.454,0.459,0.253,0.08,,,,,,,,,,,,,,,,0.149,,,,,0.144,,,0.101,0,0,0,0,5.077,0.525,,
Uganda,1863,UGA,3183367,,,,,,,,,,,,,,,,,,,,,,,,,,,59.256,,,,,,,,,0.167,1.597,3.914,1.23,1.461,0.459,0.253,0.08,,,,,,,,,,,,,,,,0.148,,,,,0.145,,,0.101,0,0,0,0,5.083,0.53,,
Uganda,1864,UGA,3201142,,,,,,,,,,,,,,,,,,,,,,,,,,,63.152,,,,,,,,,0.167,1.585,3.895,1.217,1.467,0.458,0.254,0.079,,,,,,,,,,,,,,,,0.148,,,,,0.149,,,0.101,0,0,0,0,5.073,0.536,,
Uganda,1865,UGA,3219009,,,,,,,,,,,,,,,,,,,,,,,,,,,67.183,,,,,,,,,0.168,1.585,4.032,1.252,1.474,0.458,0.255,0.079,,,,,,,,,,,,,,,,0.149,,,,,0.157,,,0.101,0,0,0,0,5.104,0.541,,
Uganda,1866,UGA,3236968,,,,,,,,,,,,,,,,,,,,,,,,,,,71.251,,,,,,,,,0.169,1.584,4.068,1.257,1.481,0.458,0.256,0.079,,,,,,,,,,,,,,,,0.149,,,,,0.156,,,0.101,0,0,0,0,5.129,0.547,,
Uganda,1867,UGA,3255018,,,,,,,,,,,,,,,,,,,,,,,,,,,75.292,,,,,,,,,0.17,1.569,4.042,1.242,1.488,0.457,0.256,0.079,,,,,,,,,,,,,,,,0.15,,,,,0.157,,,0.101,0,0,0,0,5.109,0.552,,
Uganda,1868,UGA,3273162,,,,,,,,,,,,,,,,,,,,,,,,,,,79.259,,,,,,,,,0.17,1.555,3.967,1.212,1.495,0.457,0.257,0.079,,,,,,,,,,,,,,,,0.15,,,,,0.156,,,0.101,0,0,0,0,5.09,0.558,,
Uganda,1869,UGA,3292059,,,,,,,,,,,,,,,,,,,,,,,,,,,83.214,,,,,,,,,0.171,1.551,3.955,1.201,1.502,0.456,0.258,0.078,,,,,,,,,,,,,,,,0.15,,,,,0.153,,,0.102,0,0,0,0,5.104,0.564,,
Uganda,1870,UGA,3311720,,,,,,,,,,,,,,,,,,,,,,,,,,,87.143,,,,,,,,,0.172,1.54,3.929,1.186,1.51,0.456,0.259,0.078,,,,,,,,,,,,,,,,0.15,,,,,0.139,,,0.101,0,0,0,0,5.101,0.569,,
Uganda,1871,UGA,3332154,,,,,,,,,,,,,,,,,,,,,,,,,,,91.135,,,,,,,,,0.173,1.539,3.992,1.198,1.517,0.455,0.263,0.079,,,,,,,,,,,,,,,,0.149,,,,,0.14,,,0.101,0,0,0,0,5.129,0.576,,
Uganda,1872,UGA,3353370,,,,,,,,,,,,,,,,,,,,,,,,,,,95.179,,,,,,,,,0.174,1.545,4.044,1.206,1.525,0.455,0.271,0.081,,,,,,,,,,,,,,,,0.148,,,,,0.132,,,0.1,0,0,0,0,5.182,0.582,,
Uganda,1873,UGA,3375379,,,,,,,,,,,,,,,,,,,,,,,,,,,99.276,,,,,,,,,0.175,1.542,4.097,1.214,1.532,0.454,0.283,0.084,,,,,,,,,,,,,,,,0.148,,,,,0.137,,,0.1,0,0,0,0,5.206,0.59,,
Uganda,1874,UGA,3397525,,,,,,,,,,,,,,,,,,,,,,,,,,,103.267,,,,,,,,,0.176,1.529,3.99,1.174,1.54,0.453,0.298,0.088,,,,,,,,,,,,,,,,0.147,,,,,0.126,,,0.099,0,0,0,0,5.193,0.597,,
Uganda,1875,UGA,3419807,,,,,,,,,,,,,,,,,,,,,,,,,,,107.266,,,,,,,,,0.177,1.527,3.999,1.169,1.548,0.453,0.314,0.092,,,,,,,,,,,,,,,,0.146,,,,,0.123,,,0.099,0,0,0,0,5.224,0.605,,
Uganda,1876,UGA,3442228,,,,,,,,,,,,,,,,,,,,,,,,,,,111.423,,,,,,,,,0.178,1.535,4.157,1.208,1.556,0.452,0.33,0.096,,,,,,,,,,,,,,,,0.145,,,,,0.127,,,0.098,0,0,0,0,5.284,0.613,,
Uganda,1877,UGA,3464787,,,,,,,,,,,,,,,,,,,,,,,,,,,115.521,,,,,,,,,0.179,1.525,4.099,1.183,1.564,0.451,0.346,0.1,,,,,,,,,,,,,,,,0.144,,,,,0.129,,,0.098,0,0,0,0,5.284,0.621,,
Uganda,1878,UGA,3487485,,,,,,,,,,,,,,,,,,,,,,,,,,,119.643,,,,,,,,,0.18,1.526,4.121,1.182,1.572,0.451,0.36,0.103,,,,,,,,,,,,,,,,0.144,,,,,0.126,,,0.097,0,0,0,0,5.32,0.628,,
Uganda,1879,UGA,3510324,,,,,,,,,,,,,,,,,,,,,,,,,,,123.669,,,,,,,,,0.181,1.515,4.027,1.147,1.58,0.45,0.37,0.106,,,,,,,,,,,,,,,,0.143,,,,,0.123,,,0.097,0,0,0,0,5.318,0.636,,
Uganda,1880,UGA,3533304,,,,,,,,,,,,,,,,,,,,,,,,,,,127.845,,,,,,,,,0.182,1.516,4.176,1.182,1.588,0.45,0.377,0.107,,,,,,,,,,,,,,,,0.142,,,,,0.124,,,0.096,0,0,0,0,5.357,0.644,,
Uganda,1881,UGA,3556427,,,,,,,,,,,,,,,,,,,,,,,,,,,132.164,,,,,,,,,0.183,1.522,4.319,1.214,1.597,0.449,0.381,0.107,,,,,,,,,,,,,,,,0.142,,,,,0.128,,,0.096,0,0,0,0,5.411,0.651,,
Uganda,1882,UGA,3579692,,,,,,,,,,,,,,,,,,,,,,,,,,,136.723,,,,,,,,,0.184,1.534,4.559,1.274,1.606,0.449,0.385,0.108,,,,,,,,,,,,,,,,0.141,,,,,0.128,,,0.095,0,0,0,0,5.491,0.658,,
Uganda,1883,UGA,3603101,,,,,,,,,,,,,,,,,,,,,,,,,,,141.397,,,,,,,,,0.185,1.547,4.674,1.297,1.614,0.448,0.388,0.108,,,,,,,,,,,,,,,,0.141,,,,,0.134,,,0.094,0,0,0,0,5.575,0.666,,
Uganda,1884,UGA,3626654,,,,,,,,,,,,,,,,,,,,,,,,,,,146.168,,,,,,,,,0.186,1.535,4.771,1.316,1.623,0.448,0.391,0.108,,,,,,,,,,,,,,,,0.14,,,,,0.131,,,0.094,0,0,0,0,5.566,0.673,,
Uganda,1885,UGA,3650353,,,,,,,,,,,,,,,,,,,,,,,,,,,150.73,,,,,,,,,0.187,1.52,4.562,1.25,1.632,0.447,0.393,0.108,,,,,,,,,,,,,,,,0.14,,,,,0.126,,,0.093,0,0,0,0,5.549,0.681,,
Uganda,1886,UGA,3674198,,,,,,,,,,,,,,,,,,,,,,,,,,,155.179,,,,,,,,,0.187,1.501,4.449,1.211,1.642,0.447,0.396,0.108,,,,,,,,,,,,,,,,0.14,,,,,0.125,,,0.093,0,0,0,0,5.516,0.689,,
Uganda,1887,UGA,3698191,,,,,,,,,,,,,,,,,,,,,,,,,,,159.952,,,,,,,,,0.188,1.516,4.773,1.291,1.651,0.446,0.398,0.108,,,,,,,,,,,,,,,,0.139,,,,,0.129,,,0.092,0,0,0,0,5.606,0.697,,
Uganda,1888,UGA,3722331,,,,,,,,,,,,,,,,,,,,,,,,,,,164.553,,,,,,,,,0.189,1.496,4.601,1.236,1.66,0.446,0.401,0.108,,,,,,,,,,,,,,,,0.139,,,,,0.129,,,0.092,0,0,0,0,5.567,0.705,,
Uganda,1889,UGA,3742102,,,,,,,,,,,,,,,,,,,,,,,,,,,169.039,,,,,,,,,0.191,1.481,4.486,1.199,1.67,0.446,0.404,0.108,,,,,,,,,,,,,,,,0.138,,,,,0.122,,,0.091,0,0,0,0,5.544,0.713,,
Uganda,1890,UGA,3757466,,,,,,,,,,,,,,,,,,,,,,,,,,,173.741,,,,,,,,,0.192,1.502,4.702,1.251,1.68,0.447,0.421,0.112,,,,,,,,,,,,,,,,0.138,,,,,0.119,,,0.09,0,0,0,0,5.644,0.723,,
Uganda,1891,UGA,3768385,,,,,,,,,,,,,,,,,,,,,,,,,,,178.443,,,,,,,,,0.194,1.503,4.701,1.248,1.69,0.448,0.425,0.113,,,,,,,,,,,,,,,,0.137,,,,,0.113,,,0.089,0,0,0,0,5.663,0.732,,
Uganda,1892,UGA,3774821,,,,,,,,,,,,,,,,,,,,,,,,,,,183.074,,,,,,,,,0.196,1.512,4.631,1.227,1.7,0.45,0.429,0.114,,,,,,,,,,,,,,,,0.136,,,,,0.113,,,0.089,0,0,0,0,5.708,0.741,,
Uganda,1893,UGA,3776735,,,,,,,,,,,,,,,,,,,,,,,,,,,188.011,,,,,,,,,0.199,1.527,4.937,1.307,1.71,0.453,0.434,0.115,,,,,,,,,,,,,,,,0.136,,,,,0.115,,,0.088,0,0,0,0,5.767,0.751,,
Uganda,1894,UGA,3778642,,,,,,,,,,,,,,,,,,,,,,,,,,,192.815,,,,,,,,,0.201,1.525,4.804,1.271,1.72,0.455,0.439,0.116,,,,,,,,,,,,,,,,0.135,,,,,0.112,,,0.087,0,0,0,0,5.762,0.76,,
Uganda,1895,UGA,3780541,,,,,,,,,,,,,,,,,,,,,,,,,,,198.012,,,,,,,,,0.204,1.567,5.197,1.375,1.731,0.458,0.443,0.117,,,,,,,,,,,,,,,,0.134,,,,,0.121,,,0.087,0,0,0,0,5.924,0.77,,
Uganda,1896,UGA,3782432,,,,,,,,,,,,,,,,,,,,,,,,,,,203.065,,,,,,,,,0.206,1.557,5.053,1.336,1.741,0.46,0.448,0.119,,,,,,,,,,,,,,,,0.134,,,,,0.119,,,0.086,0,0,0,0,5.89,0.78,,
Uganda,1897,UGA,3784316,,,,,,,,,,,,,,,,,,,,,,,,,,,208.107,,,,,,,,,0.209,1.58,5.043,1.332,1.752,0.463,0.453,0.12,,,,,,,,,,,,,,,,0.133,,,,,0.114,,,0.085,0,0,0,0,5.98,0.79,,
Uganda,1898,UGA,3786192,,,,,,,,,,,,,,,,,,,,,,,,,,,213.289,,,,,,,,,0.211,1.606,5.182,1.369,1.763,0.466,0.459,0.121,,,,,,,,,,,,,,,,0.133,,,,,0.119,,,0.085,0,0,0,0,6.079,0.8,,
Uganda,1899,UGA,3782763,,,,,,,,,,,,,,,,,,,,,,,,,,,218.193,,,,,,,,,0.214,1.62,4.904,1.296,1.774,0.469,0.464,0.123,,,,,,,,,,,,,,,,0.132,,,,,0.11,,,0.084,0,0,0,0,6.128,0.811,,
Uganda,1900,UGA,3774052,,,,,,,,,,,,,,,,,,,,,,,,,,,223.912,,,,,,,,,0.218,1.722,5.719,1.515,1.786,0.473,0.47,0.124,,,,,,,,,,,,,,,,0.132,,,,,0.127,,,0.084,0,0,0,0,6.501,0.821,,
Uganda,1901,UGA,3760084,,,,,,,,,,,,,,,,,,,,,,,,,,,229.246,,,,,,,,,0.222,1.698,5.334,1.419,1.802,0.479,0.475,0.126,,,,,,,,,,,,,,,,0.132,,,,,0.118,,,0.083,0,0,0,0,6.385,0.836,,
Uganda,1902,UGA,3740882,,,,,,,,,,,,,,,,,,,,,,,,,,,234.555,,,,,,,,,0.228,1.794,5.309,1.419,1.819,0.486,0.481,0.129,,,,,,,,,,,,,,,,0.131,,,,,0.115,,,0.083,0,0,0,0,6.712,0.851,,
Uganda,1903,UGA,3716470,,,,,,,,,,,,,,,,,,,,,,,,,,,240.02,,,,,,,,,0.21,1.836,5.466,1.471,1.749,0.471,0.487,0.131,,,,,,,,,,,,,,,,0.131,,,,,0.119,,,0.082,0,0,0,0,6.823,0.78,,
Uganda,1904,UGA,3692209,,,,,,,,,,,,,,,,,,,,,,,,,,,245.557,,,,,,,,,0.219,1.877,5.537,1.5,1.779,0.482,0.492,0.133,,,,,,,,,,,,,,,,0.131,,,,,0.118,,,0.082,0,0,0,0,6.929,0.81,,
Uganda,1905,UGA,3668098,,,,,,,,,,,,,,,,,,,,,,,,,,,251.232,,,,,,,,,0.229,1.946,5.675,1.547,1.812,0.494,0.499,0.136,,,,,,,,,,,,,,,,0.131,,,,,0.118,,,0.081,0,0,0,0,7.138,0.841,,
Uganda,1906,UGA,3644137,,,,,,,,,,,,,,,,,,,,,,,,,,,256.604,,,,,,,,,0.24,2.007,5.371,1.474,1.846,0.507,0.505,0.139,,,,,,,,,,,,,,,,0.13,,,,,0.111,,,0.081,0,0,0,0,7.313,0.874,,
Uganda,1907,UGA,3620325,,,,,,,,,,,,,,,,,,,,,,,,,,,262.165,,,,,,,,,0.251,2.046,5.561,1.536,1.882,0.52,0.512,0.141,,,,,,,,,,,,,,,,0.13,,,,,0.117,,,0.081,0,0,0,0,7.406,0.909,,
Uganda,1908,UGA,3596660,,,,,,,,,,,,,,,,,,,,,,,,,,,267.664,,,,,,,,,0.263,2.116,5.499,1.529,1.921,0.534,0.52,0.144,,,,,,,,,,,,,,,,0.129,,,,,0.114,,,0.08,0,0,0,0,7.611,0.947,,
Uganda,1909,UGA,3577396,,,,,,,,,,,,,,,,,,,,,,,,,,,273.06,,,,,,,,,0.276,2.194,5.396,1.508,1.961,0.548,0.528,0.148,,,,,,,,,,,,,,,,0.129,,,,,0.109,,,0.08,0,0,0,0,7.849,0.986,,
Uganda,1910,UGA,3562507,,,,,,,,,,,,,,,,,,,,,,,,,,,278.901,,,,,,,,,0.289,2.27,5.84,1.639,2.005,0.563,0.537,0.151,,,,,,,,,,,,,,,,0.129,,,,,0.123,,,0.08,0,0,0,0,8.087,1.028,,
