country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Ukraine,1830,UKR,12289274,,,,0.004,,,,,,,,,0,,,0.004,0,,,,,0.004,,0.004,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0,,0,,,,,,,,,,,,,,,,,,,
Ukraine,1831,UKR,12402048,,,,0.004,0.001,19.983,,,,,,,0,,,0.004,0,,,,,0.008,,0.008,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.005,,0.005,,0,,0,,,,,,,,,,,,,,,,,,,
Ukraine,1832,UKR,12515857,,,,0.003,-0.001,-33.333,,,,,,,0,,,0.003,0,,,,,0.011,,0.011,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.003,,0.003,,0,,0,,,,,,,,,,,,,,,,,,,
Ukraine,1833,UKR,12630710,,,,0.004,0.001,25.018,,,,,,,0,,,0.004,0,,,,,0.014,,0.014,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.004,,0.004,,0.001,,0.001,,,,,,,,,,,,,,,,,,,
Ukraine,1850,UKR,14752639,,,,0.022,,,50.314,,,3.411,,,0.001,,,0.022,0.001,,,,,0.036,50.314,0.036,0,0,50.292,0,,,,0,0,0,0,0.387,4.404,50.292,3.409,20.372,1.381,3.616,0.245,0,0,,,,,0.011,1.774,0.011,,0.001,1.774,0.001,,,1.906,,,,,1.906,,,,,,,,64.978,5.705,,
Ukraine,1851,UKR,14890411,,,,,,,,,,,,,,,,,,,,,,,,,,,104.953,,,,,,,,,0.387,4.511,54.661,3.671,20.669,1.388,3.683,0.247,,,,,,,,,,,,,,,,1.923,,,,,1.939,,,1.522,0,0,0,0,67.17,5.769,,
Ukraine,1852,UKR,15029469,,,,,,,,,,,,,,,,,,,,,,,,,,,162.86,,,,,,,,,0.39,4.599,57.908,3.853,20.972,1.395,3.749,0.249,,,,,,,,,,,,,,,,1.958,,,,,2.027,,,1.542,0,0,0,0,69.114,5.861,,
Ukraine,1853,UKR,15169825,,,,,,,,,,,,,,,,,,,,,,,,,,,223.31,,,,,,,,,0.393,4.654,60.45,3.985,21.277,1.403,3.812,0.251,,,,,,,,,,,,,,,,1.99,,,,,2.08,,,1.556,0,0,0,0,70.605,5.954,,
Ukraine,1854,UKR,15311492,,,,,,,,,,,,,,,,,,,,,,,,,,,286.124,,,,,,,,,0.395,4.709,62.814,4.102,21.583,1.41,3.872,0.253,,,,,,,,,,,,,,,,2.024,,,,,2.155,,,1.567,0,0,0,0,72.1,6.049,,
Ukraine,1855,UKR,15454481,,,,0.067,,,64.75,,,4.19,,,0.004,,,0.067,0.004,,,,,0.103,115.064,0.103,0,0,350.807,0,,,,0,0,0,0,0.403,4.746,64.683,4.185,21.905,1.417,3.927,0.254,0,0,,,,,0.026,2.063,0.026,,0.002,0.627,0.002,,,2.062,0,,,,2.247,0,,1.585,0,0,0,0,73.351,6.226,,
